t	src_conn	src_task	sink_conn	sink_task	offsets_endpoint	topic_end	pg_rows
0	RUNNING	RUNNING	RUNNING	RUNNING	[]	0	0
3	RUNNING	RUNNING	RUNNING	RUNNING	[]	0	0
5	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
7	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
10	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
12	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
15	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
17	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
20	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
22	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
24	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
27	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
29	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
32	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
35	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
37	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
40	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
42	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
44	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
47	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
49	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
52	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
54	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
57	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
59	RUNNING	RUNNING	RUNNING	RUNNING	[]	4	4
62	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
64	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
67	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
69	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
72	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
74	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
77	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
79	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
81	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
84	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
86	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
89	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
91	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
94	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
96	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
99	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
101	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
103	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
106	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
108	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
110	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
113	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
116	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
118	RUNNING	RUNNING	RUNNING	RUNNING	[{"partition":{"query":"query"},"offset":{"incrementing":4}}]	4	4
