2.9	local-env-connect-1	626.48%	5.756GiB / 15.6GiB
2.9	local-env-schema-registry-1	0.70%	228.9MiB / 15.6GiB
2.9	local-env-kafka-1	61.41%	1.924GiB / 15.6GiB
2.9	local-env-mysql-1	70.75%	726.9MiB / 15.6GiB
2.9	local-env-postgres-1	117.38%	211.5MiB / 15.6GiB
13.4	local-env-connect-1	505.21%	4.892GiB / 15.6GiB
13.4	local-env-schema-registry-1	0.39%	142.7MiB / 15.6GiB
13.4	local-env-kafka-1	63.75%	2.089GiB / 15.6GiB
13.4	local-env-mysql-1	118.20%	548.5MiB / 15.6GiB
13.4	local-env-postgres-1	82.08%	189.7MiB / 15.6GiB
23.8	local-env-connect-1	547.91%	5.929GiB / 15.6GiB
23.8	local-env-schema-registry-1	2.71%	160.4MiB / 15.6GiB
23.8	local-env-kafka-1	75.23%	2.086GiB / 15.6GiB
23.8	local-env-mysql-1	148.86%	581.8MiB / 15.6GiB
23.8	local-env-postgres-1	141.78%	250.8MiB / 15.6GiB
37.5	local-env-connect-1	490.54%	5.933GiB / 15.6GiB
37.5	local-env-schema-registry-1	0.42%	163.3MiB / 15.6GiB
37.5	local-env-kafka-1	44.24%	2.052GiB / 15.6GiB
37.5	local-env-mysql-1	107.54%	479.4MiB / 15.6GiB
37.5	local-env-postgres-1	174.45%	251.7MiB / 15.6GiB
48.2	local-env-connect-1	462.68%	5.934GiB / 15.6GiB
48.2	local-env-schema-registry-1	0.46%	164.5MiB / 15.6GiB
48.2	local-env-kafka-1	28.77%	2.109GiB / 15.6GiB
48.2	local-env-mysql-1	92.53%	486.1MiB / 15.6GiB
48.2	local-env-postgres-1	202.22%	248.7MiB / 15.6GiB
56.8	local-env-connect-1	100.76%	5.516GiB / 15.6GiB
56.8	local-env-schema-registry-1	0.44%	152.9MiB / 15.6GiB
56.8	local-env-kafka-1	4.02%	2.079GiB / 15.6GiB
56.8	local-env-mysql-1	3.39%	350.6MiB / 15.6GiB
56.8	local-env-postgres-1	165.22%	397.3MiB / 15.6GiB
73.2	local-env-connect-1	104.04%	5.516GiB / 15.6GiB
73.2	local-env-schema-registry-1	0.38%	153.3MiB / 15.6GiB
73.2	local-env-kafka-1	3.55%	2.294GiB / 15.6GiB
73.2	local-env-mysql-1	3.29%	355.3MiB / 15.6GiB
73.2	local-env-postgres-1	142.69%	396.2MiB / 15.6GiB
78.7	local-env-connect-1	88.71%	5.518GiB / 15.6GiB
78.7	local-env-schema-registry-1	0.38%	156.5MiB / 15.6GiB
78.7	local-env-kafka-1	2.13%	1.991GiB / 15.6GiB
78.7	local-env-mysql-1	2.87%	363.3MiB / 15.6GiB
78.7	local-env-postgres-1	111.91%	362.4MiB / 15.6GiB
84.3	projo-list-57446-web-1	0.12%	20.57MiB / 15.6GiB
84.3	projo-list-57446-api-1	7.03%	92.66MiB / 15.6GiB
84.3	local-env-connect-1	102.45%	5.52GiB / 15.6GiB
84.3	local-env-schema-registry-1	0.49%	157.8MiB / 15.6GiB
84.3	local-env-kafka-1	2.75%	1.992GiB / 15.6GiB
84.3	local-env-mysql-1	2.70%	361.3MiB / 15.6GiB
84.3	local-env-postgres-1	139.41%	348.2MiB / 15.6GiB
70.0	projo-list-57446-web-1	0.02%	19.82MiB / 15.6GiB
70.0	local-env-connect-1	143.47%	5.521GiB / 15.6GiB
70.0	local-env-schema-registry-1	0.34%	157.9MiB / 15.6GiB
70.0	local-env-kafka-1	1.86%	1.991GiB / 15.6GiB
70.0	local-env-mysql-1	1.98%	360.5MiB / 15.6GiB
70.0	local-env-postgres-1	199.80%	358.3MiB / 15.6GiB
70.0	projo-list-57446-api-1	43.61%	115.5MiB / 15.6GiB
93.1	local-env-connect-1	97.61%	5.521GiB / 15.6GiB
93.1	local-env-schema-registry-1	0.51%	159.3MiB / 15.6GiB
93.1	local-env-kafka-1	2.27%	1.991GiB / 15.6GiB
93.1	local-env-mysql-1	1.68%	360.8MiB / 15.6GiB
93.1	local-env-postgres-1	170.79%	353.5MiB / 15.6GiB
105.5	local-env-connect-1	128.16%	5.522GiB / 15.6GiB
105.5	local-env-schema-registry-1	0.28%	160.8MiB / 15.6GiB
105.5	local-env-kafka-1	1.96%	1.991GiB / 15.6GiB
105.5	local-env-mysql-1	1.66%	360.7MiB / 15.6GiB
105.5	local-env-postgres-1	193.78%	367.8MiB / 15.6GiB
117.1	local-env-connect-1	99.60%	5.497GiB / 15.6GiB
