t	post_gc_MiB	sum_R_MiB	excess_over_R
1.1	364	2642.8	0.091
1.3	479	3059.2	0.116
1.4	558	3059.2	0.142
1.5	621	3059.2	0.163
1.6	776	3475.6	0.188
1.8	799	3475.6	0.194
1.9	925	3475.6	0.231
1.9	992	3475.6	0.250
2.0	1010	3475.6	0.255
2.2	1186	3475.6	0.306
2.3	1228	3475.6	0.318
2.4	1250	3475.6	0.324
2.5	1277	3475.6	0.332
2.7	1316	3475.6	0.343
2.8	1363	3475.6	0.357
2.9	1371	3475.6	0.359
3.1	1385	3475.6	0.363
3.2	1444	3475.6	0.380
3.3	1464	3475.6	0.386
3.5	1549	3475.6	0.410
3.6	1644	3475.6	0.438
3.7	1685	3475.6	0.449
3.8	1683	3475.6	0.449
4.0	1792	3475.6	0.480
4.1	1868	3475.6	0.502
4.3	1880	3475.6	0.506
4.4	1972	3475.6	0.532
4.5	2044	3475.6	0.553
4.7	2069	3475.6	0.560
4.7	2155	3475.6	0.585
4.8	2226	3475.6	0.605
4.9	2265	3475.6	0.616
5.0	2303	3475.6	0.627
5.1	2360	3475.6	0.644
5.2	2436	3475.6	0.665
5.4	2490	3475.6	0.681
5.5	2533	3475.6	0.693
5.6	2568	3475.6	0.703
5.7	2568	3475.6	0.703
5.8	2707	3475.6	0.743
5.9	2756	3475.6	0.758
5.9	2810	3475.6	0.773
6.0	2850	3475.6	0.785
6.1	2875	3475.6	0.792
6.1	2901	3475.6	0.799
6.2	2997	3475.6	0.827
6.3	3060	3475.6	0.845
6.4	3158	3475.6	0.873
6.5	3211	3475.6	0.888
6.5	3260	3475.6	0.903
6.6	3307	3475.6	0.916
6.6	3330	3475.6	0.923
6.7	3353	3475.6	0.929
6.8	3431	3475.6	0.952
6.9	3504	3475.6	0.973
6.9	3552	3475.6	0.987
7.0	3597	3475.6	1.000
7.0	3665	3475.6	1.019
7.1	3733	3475.6	1.039
7.2	3786	3475.6	1.054
7.2	3818	3475.6	1.063
7.3	3836	3475.6	1.068
7.4	3928	3475.6	1.095
7.4	4012	3475.6	1.119
7.5	4082	3475.6	1.139
7.5	4142	3475.6	1.156
7.6	4202	3475.6	1.174
7.7	4234	3475.6	1.183
7.7	4313	3475.6	1.206
7.8	4388	3475.6	1.227
7.8	4469	3475.6	1.250
7.9	4515	3475.6	1.264
7.9	4557	3475.6	1.276
8.1	4589	3475.6	1.285
8.2	4635	3475.6	1.298
8.2	4673	3475.6	1.309
8.3	4722	3475.6	1.323
8.4	4776	3475.6	1.339
8.5	3172	3475.6	0.877
8.6	3150	3475.6	0.871
8.6	3368	3475.6	0.934
8.8	3334	3475.6	0.924
8.8	3015	3475.6	0.832
8.9	2695	3475.6	0.740
8.9	2273	3475.6	0.619
9.0	1872	3475.6	0.503
9.0	1767	3475.6	0.473
9.3	1950	3475.6	0.526
9.5	2103	3475.6	0.570
9.8	2158	3475.6	0.586
10.1	2294	3475.6	0.625
10.2	2351	3475.6	0.641
10.3	2497	3475.6	0.683
10.4	2584	3475.6	0.708
10.5	2681	3475.6	0.736
10.6	2773	3475.6	0.762
10.8	2865	3475.6	0.789
10.9	2980	3475.6	0.822
11.0	3080	3475.6	0.851
11.2	3160	3475.6	0.874
11.3	3207	3475.6	0.887
11.5	3322	3475.6	0.920
11.6	3398	3475.6	0.942
11.7	3497	3475.6	0.971
11.8	3573	3475.6	0.993
12.0	3661	3475.6	1.018
12.1	3738	3475.6	1.040
12.2	3801	3475.6	1.058
12.3	3880	3475.6	1.081
12.4	3985	3475.6	1.111
12.5	4028	3475.6	1.124
12.6	4081	3475.6	1.139
12.7	4181	3475.6	1.168
12.9	4237	3475.6	1.184
12.9	4297	3475.6	1.201
13.0	4367	3475.6	1.221
13.1	4407	3475.6	1.233
13.1	4497	3475.6	1.258
13.2	4583	3475.6	1.283
13.3	4644	3475.6	1.301
13.4	4693	3475.6	1.315
13.4	2594	3475.6	0.711
13.6	2577	3475.6	0.706
13.6	2689	3475.6	0.738
13.9	2628	3475.6	0.721
13.9	2036	3475.6	0.550
14.0	1527	3475.6	0.404
14.0	1451	3475.6	0.382
14.4	1560	3475.6	0.413
14.8	1702	3475.6	0.454
15.3	1738	3475.6	0.465
15.9	1690	3475.6	0.451
16.4	1792	3475.6	0.480
17.0	1684	3475.6	0.449
17.5	1554	3475.6	0.412
18.1	1582	3475.6	0.420
18.2	1230	3475.6	0.319
18.2	1460	3475.6	0.385
18.7	590	3475.6	0.134
18.8	482	3475.6	0.103
19.2	534	3475.6	0.118
19.6	551	3475.6	0.123
20.0	534	3475.6	0.118
20.5	548	3475.6	0.122
21.0	538	3475.6	0.119
21.6	568	3475.6	0.128
22.0	582	3475.6	0.132
22.4	697	3475.6	0.165
22.7	632	3475.6	0.146
23.1	747	3475.6	0.180
23.3	839	3475.6	0.206
23.5	931	3475.6	0.232
23.6	1003	3475.6	0.253
23.8	1117	3475.6	0.286
23.8	1130	3475.6	0.290
23.9	1207	3475.6	0.312
24.0	1284	3475.6	0.334
24.0	1337	3475.6	0.349
24.2	1460	3475.6	0.385
24.3	1498	3475.6	0.396
24.3	1533	3475.6	0.406
24.4	1573	3475.6	0.417
24.5	1640	3475.6	0.436
24.5	1680	3475.6	0.448
24.6	1725	3475.6	0.461
24.8	1733	3475.6	0.463
25.0	1753	3475.6	0.469
25.1	1737	3475.6	0.464
25.3	1764	3475.6	0.472
25.4	1773	3475.6	0.475
25.6	1783	3475.6	0.478
25.8	1755	3475.6	0.470
26.3	1759	3475.6	0.471
26.7	1762	3475.6	0.472
27.2	1764	3475.6	0.472
27.7	1775	3475.6	0.475
28.1	1769	3475.6	0.474
28.6	1776	3475.6	0.476
29.0	1815	3475.6	0.487
29.5	1780	3475.6	0.477
30.0	1766	3475.6	0.473
30.4	1825	3475.6	0.490
31.0	1745	3475.6	0.467
31.5	1801	3475.6	0.483
32.0	1756	3475.6	0.470
32.4	1777	3475.6	0.476
32.9	1783	3475.6	0.478
33.2	1803	3475.6	0.483
33.9	1776	3475.6	0.476
34.4	1770	3475.6	0.474
35.0	1761	3475.6	0.471
35.5	1758	3475.6	0.470
35.9	1778	3475.6	0.476
36.5	1764	3475.6	0.472
37.0	1779	3475.6	0.476
37.4	1767	3475.6	0.473
38.0	1774	3475.6	0.475
38.5	1737	3475.6	0.464
39.0	1752	3475.6	0.469
39.4	1748	3475.6	0.468
39.9	1752	3475.6	0.469
40.5	1748	3475.6	0.468
41.1	1746	3475.6	0.467
41.8	1748	3475.6	0.468
42.3	1747	3475.6	0.467
42.8	1746	3475.6	0.467
43.2	1727	3475.6	0.462
43.7	1729	3475.6	0.462
44.2	1728	3475.6	0.462
44.7	1720	3475.6	0.459
45.2	1723	3475.6	0.460
45.7	1732	3475.6	0.463
46.2	1726	3475.6	0.461
46.8	1733	3475.6	0.463
47.3	1728	3475.6	0.462
47.7	1726	3475.6	0.461
48.2	1730	3475.6	0.462
48.8	1727	3475.6	0.462
49.3	1739	3475.6	0.465
49.8	1735	3475.6	0.464
50.3	1728	3475.6	0.462
50.7	1725	3475.6	0.461
51.2	1723	3475.6	0.460
51.8	1725	3475.6	0.461
52.6	1718	3475.6	0.459
54.0	1719	2964.6	0.538
55.4	1715	2964.6	0.537
56.6	1716	2964.6	0.537
58.0	1716	2964.6	0.537
59.3	1720	2964.6	0.539
62.9	1712	2964.6	0.536
66.5	1720	2964.6	0.539
68.4	1711	2964.6	0.536
69.6	1704	2964.6	0.533
71.5	1698	2964.6	0.531
73.3	1696	2964.6	0.531
74.8	1697	2964.6	0.531
75.9	1697	2964.6	0.531
77.3	1696	2964.6	0.531
78.9	1694	2531.6	0.621
80.3	1693	2531.6	0.620
82.5	1694	2531.6	0.621
84.8	1693	2098.6	0.748
86.0	1693	2098.6	0.748
87.8	1692	2098.6	0.748
89.0	1692	2098.6	0.748
90.5	1693	1665.6	0.943
91.7	1692	1665.6	0.942
93.1	1691	1665.6	0.941
94.3	1693	1665.6	0.943
96.6	1692	1665.6	0.942
98.1	1691	1665.6	0.941
99.2	1693	1665.6	0.943
100.5	1693	1665.6	0.943
101.7	1691	1665.6	0.941
102.8	1693	1665.6	0.943
104.5	1693	1665.6	0.943
105.8	1692	1665.6	0.942
107.0	1693	1665.6	0.943
108.6	1693	1665.6	0.943
109.7	1693	1665.6	0.943
110.8	1692	1665.6	0.942
112.2	1692	1665.6	0.942
113.5	1692	1665.6	0.942
114.9	1692	1665.6	0.942
116.2	1692	1665.6	0.942
117.7	1692	1665.6	0.942
119.0	1692	1665.6	0.942
120.8	1692	1665.6	0.942
122.4	1692	1665.6	0.942
123.5	1692	1665.6	0.942
124.6	1692	1665.6	0.942
126.2	1692	1665.6	0.942
128.1	1693	1665.6	0.943
130.6	1692	1665.6	0.942
132.0	1692	1665.6	0.942
133.6	1692	1665.6	0.942
135.9	1692	1665.6	0.942
137.1	1693	1665.6	0.943
138.5	1678	1665.6	0.934
