t	post_gc_MiB	sum_R_MiB	excess_over_R
0.8	177	511.0	0.117
0.9	243	511.0	0.247
1.2	174	511.0	0.112
1.4	271	511.0	0.301
1.6	340	511.0	0.436
1.7	415	511.0	0.583
1.9	472	511.0	0.695
2.0	454	511.0	0.659
2.0	564	511.0	0.875
2.2	588	511.0	0.922
2.2	663	511.0	1.068
2.2	723	511.0	1.186
2.3	748	511.0	1.235
2.4	791	511.0	1.319
2.5	815	511.0	1.366
2.5	883	511.0	1.499
2.5	935	511.0	1.601
2.7	939	511.0	1.609
2.7	979	511.0	1.687
2.7	1008	511.0	1.744
3.0	1079	511.0	1.883
3.3	1056	511.0	1.838
3.5	1152	511.0	2.025
3.7	1184	511.0	2.088
3.9	1220	511.0	2.159
4.1	1220	511.0	2.159
4.3	1222	511.0	2.162
4.5	1252	511.0	2.221
4.7	1296	511.0	2.307
4.9	1340	511.0	2.393
5.1	1428	511.0	2.566
5.3	1567	511.0	2.838
5.3	1671	511.0	3.041
5.5	1760	511.0	3.215
5.5	1839	511.0	3.370
5.5	1891	511.0	3.472
5.6	1898	511.0	3.485
5.8	1922	511.0	3.532
6.0	1970	511.0	3.626
6.3	1924	511.0	3.536
6.8	1924	511.0	3.536
7.3	1922	511.0	3.532
7.9	1922	511.0	3.532
8.6	1926	511.0	3.540
9.4	1922	511.0	3.532
10.0	1924	511.0	3.536
10.8	1924	511.0	3.536
11.4	1924	511.0	3.536
