t	post_gc_MiB	sum_R_MiB	excess_over_R
1.2	126	416.4	0.036
1.6	128	416.4	0.041
1.9	127	416.4	0.038
2.3	125	416.4	0.034
2.7	128	416.4	0.041
3.0	126	416.4	0.036
3.4	130	416.4	0.046
3.7	130	416.4	0.046
4.0	133	416.4	0.053
4.3	131	416.4	0.048
4.5	133	416.4	0.053
4.8	133	416.4	0.053
5.1	130	416.4	0.046
5.2	131	416.4	0.048
5.5	131	416.4	0.048
5.8	126	416.4	0.036
6.0	130	416.4	0.046
6.3	132	416.4	0.050
6.5	126	416.4	0.036
6.8	128	416.4	0.041
7.1	131	416.4	0.048
7.3	132	416.4	0.050
7.6	129	416.4	0.043
7.9	132	416.4	0.050
8.1	129	416.4	0.043
8.4	129	416.4	0.043
8.7	128	416.4	0.041
8.9	130	416.4	0.046
9.2	130	416.4	0.046
9.5	133	416.4	0.053
9.7	130	416.4	0.046
10.0	130	416.4	0.046
10.3	131	416.4	0.048
10.5	130	416.4	0.046
10.8	132	416.4	0.050
11.1	129	416.4	0.043
11.3	130	416.4	0.046
11.7	129	416.4	0.043
12.0	129	416.4	0.043
12.2	131	416.4	0.048
12.5	130	416.4	0.046
12.8	131	416.4	0.048
13.0	129	416.4	0.043
13.4	128	416.4	0.041
13.7	132	416.4	0.050
13.8	131	416.4	0.048
14.1	131	416.4	0.048
14.4	131	416.4	0.048
14.6	133	416.4	0.053
14.9	129	416.4	0.043
15.2	129	416.4	0.043
15.4	130	416.4	0.046
15.7	132	416.4	0.050
16.0	131	416.4	0.048
16.2	132	416.4	0.050
16.5	130	416.4	0.046
16.8	130	416.4	0.046
17.0	131	416.4	0.048
17.3	132	416.4	0.050
17.6	127	416.4	0.038
17.8	131	416.4	0.048
18.1	132	416.4	0.050
18.3	126	416.4	0.036
18.5	128	416.4	0.041
18.8	131	416.4	0.048
19.1	126	416.4	0.036
19.3	129	416.4	0.043
19.6	129	416.4	0.043
19.8	126	416.4	0.036
20.1	131	416.4	0.048
20.4	131	416.4	0.048
20.6	126	416.4	0.036
20.9	128	416.4	0.041
21.2	131	416.4	0.048
21.3	132	416.4	0.050
21.6	129	416.4	0.043
21.9	131	416.4	0.048
22.1	130	416.4	0.046
22.4	133	416.4	0.053
22.7	130	416.4	0.046
22.9	131	416.4	0.048
23.2	129	416.4	0.043
23.5	127	416.4	0.038
23.8	129	416.4	0.043
24.1	133	416.4	0.053
24.4	131	416.4	0.048
24.6	132	416.4	0.050
24.9	130	416.4	0.046
25.2	128	416.4	0.041
25.3	129	416.4	0.043
25.8	126	416.4	0.036
26.6	126	416.4	0.036
27.4	126	416.4	0.036
28.2	126	416.4	0.036
29.0	126	416.4	0.036
29.7	125	416.4	0.034
30.5	125	416.4	0.034
31.3	125	416.4	0.034
32.1	125	416.4	0.034
32.9	124	416.4	0.031
33.6	124	416.4	0.031
34.4	124	416.4	0.031
35.2	125	416.4	0.034
36.0	125	416.4	0.034
36.8	124	416.4	0.031
37.5	125	416.4	0.034
38.3	125	416.4	0.034
39.0	124	416.4	0.031
39.8	125	416.4	0.034
40.6	124	416.4	0.031
41.3	124	416.4	0.031
42.1	128	416.4	0.041
42.9	125	416.4	0.034
43.7	125	416.4	0.034
44.5	125	416.4	0.034
45.2	124	416.4	0.031
45.9	125	416.4	0.034
46.7	125	416.4	0.034
47.5	125	416.4	0.034
48.3	125	416.4	0.034
49.1	125	416.4	0.034
49.9	125	416.4	0.034
50.6	125	416.4	0.034
51.4	125	416.4	0.034
52.2	125	416.4	0.034
53.0	125	416.4	0.034
53.7	125	416.4	0.034
54.5	125	416.4	0.034
55.2	125	416.4	0.034
56.0	125	416.4	0.034
56.9	125	416.4	0.034
57.7	125	416.4	0.034
58.5	125	416.4	0.034
59.3	125	416.4	0.034
60.1	125	416.4	0.034
60.9	125	416.4	0.034
61.7	125	416.4	0.034
