t	post_gc_MiB	sum_R_MiB	excess_over_R
1.2	132	433.0	0.044
1.8	134	433.0	0.048
2.5	133	433.0	0.046
3.1	133	433.0	0.046
3.6	133	433.0	0.046
4.0	133	433.0	0.046
4.3	141	433.0	0.065
4.7	138	433.0	0.058
5.1	141	433.0	0.065
5.4	139	433.0	0.060
5.8	139	433.0	0.060
6.2	142	433.0	0.067
6.6	143	433.0	0.069
6.9	130	433.0	0.039
7.2	134	433.0	0.048
7.6	143	433.0	0.069
8.0	142	433.0	0.067
8.3	140	433.0	0.062
8.7	142	433.0	0.067
9.1	143	433.0	0.069
9.4	143	433.0	0.069
9.8	143	433.0	0.069
10.2	143	433.0	0.069
10.6	135	433.0	0.051
11.0	130	433.0	0.039
11.5	135	433.0	0.051
11.9	135	433.0	0.051
12.4	135	433.0	0.051
12.7	135	433.0	0.051
13.1	143	433.0	0.069
13.5	146	433.0	0.076
13.8	145	433.0	0.074
14.2	142	433.0	0.067
14.6	145	433.0	0.074
15.0	145	433.0	0.074
15.3	144	433.0	0.072
15.7	146	433.0	0.076
16.2	136	433.0	0.053
17.1	135	433.0	0.051
17.9	134	433.0	0.048
19.0	135	433.0	0.051
19.8	133	433.0	0.046
