t	component	rss_MiB
2.9	connect	3805
2.9	schema-registry	235
2.9	kafka	1925
2.9	mysql	721
2.9	postgres	337
13.4	connect	6849
13.4	schema-registry	140
13.4	kafka	2060
13.4	mysql	700
13.4	postgres	1140
23.8	connect	6045
23.8	schema-registry	139
23.8	kafka	2029
23.8	mysql	471
23.8	postgres	1306
37.5	connect	6040
37.5	schema-registry	141
37.5	kafka	2035
37.5	mysql	453
37.5	postgres	1373
48.2	connect	6040
48.2	schema-registry	142
48.2	kafka	2183
48.2	mysql	454
48.2	postgres	1413
56.8	connect	5609
56.8	schema-registry	127
56.8	kafka	2020
56.8	mysql	343
56.8	postgres	1309
73.2	connect	5610
73.2	schema-registry	128
73.2	kafka	2013
73.2	mysql	345
73.2	postgres	1310
78.7	connect	5611
78.7	schema-registry	131
78.7	kafka	2010
78.7	mysql	345
78.7	postgres	1162
84.3	connect	5613
84.3	schema-registry	131
84.3	kafka	2152
84.3	mysql	345
84.3	postgres	1021
70.0	connect	5614
70.0	schema-registry	133
70.0	kafka	2012
70.0	mysql	345
70.0	postgres	872
93.1	connect	5614
93.1	schema-registry	134
93.1	kafka	2151
93.1	mysql	345
93.1	postgres	873
105.5	connect	5614
105.5	schema-registry	135
105.5	kafka	2011
105.5	mysql	346
105.5	postgres	874
117.1	connect	5589
117.1	schema-registry	137
117.1	kafka	2012
117.1	mysql	346
117.1	postgres	896
131.6	connect	5581
131.6	schema-registry	137
131.6	kafka	2012
131.6	mysql	341
131.6	postgres	897
140.0	connect	5582
140.0	schema-registry	138
140.0	kafka	2153
140.0	mysql	342
140.0	postgres	898
146.5	connect	5582
146.5	schema-registry	139
146.5	kafka	2009
146.5	mysql	345
146.5	postgres	750
153.0	connect	5582
153.0	schema-registry	141
153.0	kafka	2010
153.0	mysql	345
153.0	postgres	609
157.3	connect	5581
157.3	schema-registry	141
157.3	kafka	2011
157.3	mysql	345
157.3	postgres	527
