1.4	local-env-connect-1	187.32%	1.229GiB / 15.6GiB
1.4	local-env-schema-registry-1	0.28%	183.4MiB / 15.6GiB
1.4	local-env-kafka-1	7.38%	2.02GiB / 15.6GiB
1.4	local-env-mysql-1	26.00%	344.4MiB / 15.6GiB
1.4	local-env-postgres-1	12.57%	230.1MiB / 15.6GiB
12.2	local-env-connect-1	152.01%	1.263GiB / 15.6GiB
12.2	local-env-schema-registry-1	0.35%	183.9MiB / 15.6GiB
12.2	local-env-kafka-1	8.74%	2.021GiB / 15.6GiB
12.2	local-env-mysql-1	26.91%	344.7MiB / 15.6GiB
12.2	local-env-postgres-1	50.01%	243MiB / 15.6GiB
22.9	local-env-connect-1	95.51%	1.271GiB / 15.6GiB
22.9	local-env-schema-registry-1	0.24%	185MiB / 15.6GiB
22.9	local-env-kafka-1	5.15%	2.026GiB / 15.6GiB
22.9	local-env-mysql-1	10.50%	345.7MiB / 15.6GiB
22.9	local-env-postgres-1	53.22%	253.3MiB / 15.6GiB
33.3	local-env-connect-1	42.54%	1.28GiB / 15.6GiB
33.3	local-env-schema-registry-1	0.27%	185.9MiB / 15.6GiB
33.3	local-env-kafka-1	1.12%	2.024GiB / 15.6GiB
33.3	local-env-mysql-1	0.72%	346.1MiB / 15.6GiB
33.3	local-env-postgres-1	54.21%	265.4MiB / 15.6GiB
44.3	local-env-connect-1	38.79%	1.281GiB / 15.6GiB
44.3	local-env-schema-registry-1	0.30%	186.6MiB / 15.6GiB
44.3	local-env-kafka-1	1.07%	2.025GiB / 15.6GiB
44.3	local-env-mysql-1	0.71%	346.2MiB / 15.6GiB
44.3	local-env-postgres-1	49.94%	277.8MiB / 15.6GiB
55.5	local-env-connect-1	43.35%	1.282GiB / 15.6GiB
55.5	local-env-schema-registry-1	0.25%	187.7MiB / 15.6GiB
55.5	local-env-kafka-1	1.09%	2.025GiB / 15.6GiB
55.5	local-env-mysql-1	0.75%	346.2MiB / 15.6GiB
55.5	local-env-postgres-1	52.54%	307.3MiB / 15.6GiB
