1.4	local-env-connect-1	285.58%	1.423GiB / 15.6GiB
1.4	local-env-schema-registry-1	1.11%	192.5MiB / 15.6GiB
1.4	local-env-kafka-1	21.72%	2.07GiB / 15.6GiB
1.4	local-env-mysql-1	27.86%	371.5MiB / 15.6GiB
1.4	local-env-postgres-1	23.26%	278.4MiB / 15.6GiB
11.4	local-env-connect-1	127.36%	1.453GiB / 15.6GiB
11.4	local-env-schema-registry-1	0.27%	193.2MiB / 15.6GiB
11.4	local-env-kafka-1	24.93%	2.085GiB / 15.6GiB
11.4	local-env-mysql-1	21.84%	371.6MiB / 15.6GiB
11.4	local-env-postgres-1	63.90%	322.4MiB / 15.6GiB
