t	post_gc_MiB	sum_R_MiB	excess_over_R
1.7	291	3475.6	0.052
1.9	373	3475.6	0.076
2.0	459	3475.6	0.100
2.1	495	3475.6	0.111
2.3	608	3475.6	0.143
2.4	772	3475.6	0.190
2.4	833	3475.6	0.208
2.5	845	3475.6	0.211
2.7	1049	3475.6	0.270
2.8	1137	3475.6	0.295
2.8	888	3475.6	0.224
2.8	793	3475.6	0.197
2.9	892	3475.6	0.225
2.9	860	3475.6	0.216
3.0	908	3475.6	0.230
3.0	777	3475.6	0.192
3.1	616	3475.6	0.146
3.1	611	3475.6	0.144
3.5	908	3475.6	0.230
3.7	1157	3475.6	0.301
3.9	1272	3475.6	0.334
4.1	1427	3475.6	0.379
4.2	1503	3475.6	0.401
4.3	1612	3475.6	0.432
4.6	1700	3475.6	0.457
4.8	1734	3475.6	0.467
4.9	1908	3475.6	0.517
5.0	1983	3475.6	0.539
5.1	2029	3475.6	0.552
5.2	2156	3475.6	0.589
5.2	2244	3475.6	0.614
5.3	2261	3475.6	0.619
5.3	2288	3475.6	0.627
5.4	2329	3475.6	0.638
5.5	2501	3475.6	0.688
5.6	2592	3475.6	0.714
5.6	2639	3475.6	0.728
5.7	2661	3475.6	0.734
5.8	2752	3475.6	0.760
5.8	2832	3475.6	0.783
6.0	2883	3475.6	0.798
6.0	2999	3475.6	0.831
6.1	3046	3475.6	0.845
6.1	3076	3475.6	0.853
6.2	3115	3475.6	0.865
6.3	3156	3475.6	0.876
6.4	3199	3475.6	0.889
6.4	3259	3475.6	0.906
6.5	3303	3475.6	0.919
6.5	3366	3475.6	0.937
6.6	3404	3475.6	0.948
6.6	3421	3475.6	0.953
6.7	3513	3475.6	0.979
6.7	3603	3475.6	1.005
6.8	3641	3475.6	1.016
6.8	3667	3475.6	1.023
6.9	3676	3475.6	1.026
7.0	3826	3475.6	1.069
7.0	3936	3475.6	1.101
7.1	3966	3475.6	1.109
7.1	3997	3475.6	1.118
7.2	4060	3475.6	1.136
7.2	4166	3475.6	1.167
7.3	4221	3475.6	1.183
7.3	4311	3475.6	1.209
7.3	4313	3475.6	1.209
7.4	4393	3475.6	1.232
7.4	4444	3475.6	1.247
7.4	1836	3475.6	0.497
7.5	2043	3475.6	0.556
7.5	1874	3475.6	0.508
7.5	1748	3475.6	0.471
7.6	1519	3475.6	0.405
7.6	1300	3475.6	0.342
7.7	1309	3475.6	0.345
7.8	1415	3475.6	0.375
7.9	1511	3475.6	0.403
8.0	1601	3475.6	0.429
8.1	1721	3475.6	0.464
8.2	1828	3475.6	0.494
8.4	1902	3475.6	0.516
8.5	1975	3475.6	0.537
8.6	2061	3475.6	0.561
8.7	2147	3475.6	0.586
8.8	2226	3475.6	0.609
9.0	2340	3475.6	0.642
9.1	2432	3475.6	0.668
9.2	2515	3475.6	0.692
9.3	2611	3475.6	0.720
9.5	2694	3475.6	0.743
9.6	2793	3475.6	0.772
9.7	2871	3475.6	0.794
9.8	2920	3475.6	0.808
9.9	2068	3475.6	0.563
9.9	2428	3475.6	0.667
10.1	1844	3475.6	0.499
10.1	1253	3475.6	0.329
10.2	1297	3475.6	0.342
10.4	1532	3475.6	0.409
10.6	1556	3475.6	0.416
10.6	1588	3475.6	0.425
10.7	1676	3475.6	0.451
10.7	1979	3475.6	0.538
11.0	1206	3475.6	0.315
11.0	1028	3475.6	0.264
11.5	1239	3475.6	0.325
11.9	1293	3475.6	0.340
12.3	1153	3475.6	0.300
12.8	1485	3475.6	0.396
13.2	1152	3475.6	0.300
13.8	1168	3475.6	0.304
14.5	1171	3475.6	0.305
14.9	1184	3475.6	0.309
15.5	1198	3475.6	0.313
16.0	1182	3475.6	0.308
16.5	1230	3475.6	0.322
17.3	1461	3475.6	0.389
17.5	1487	3475.6	0.396
17.7	1536	3475.6	0.410
17.7	1612	3475.6	0.432
17.9	1727	3475.6	0.465
18.0	1800	3475.6	0.486
18.1	1883	3475.6	0.510
18.3	1975	3475.6	0.537
18.4	2046	3475.6	0.557
18.5	2136	3475.6	0.583
18.6	2216	3475.6	0.606
18.7	2274	3475.6	0.623
18.8	2363	3475.6	0.648
18.8	2427	3475.6	0.667
19.0	2512	3475.6	0.691
19.1	2574	3475.6	0.709
19.2	2623	3475.6	0.723
19.3	2675	3475.6	0.738
19.4	2748	3475.6	0.759
19.5	2828	3475.6	0.782
19.6	2936	3475.6	0.813
19.6	3012	3475.6	0.835
19.7	3094	3475.6	0.859
19.8	3174	3475.6	0.882
19.9	3220	3475.6	0.895
20.1	3300	3475.6	0.918
20.2	3364	3475.6	0.936
20.4	3446	3475.6	0.960
20.5	3540	3475.6	0.987
20.6	3631	3475.6	1.013
20.7	3715	3475.6	1.037
20.8	3796	3475.6	1.061
20.9	3868	3475.6	1.081
21.1	3943	3475.6	1.103
21.2	4051	3475.6	1.134
21.3	4109	3475.6	1.151
21.5	4174	3475.6	1.169
21.6	4205	3475.6	1.178
21.7	4212	3475.6	1.180
21.8	1519	3475.6	0.405
21.8	1809	3475.6	0.489
21.9	1128	3475.6	0.293
21.9	609	3475.6	0.144
22.0	602	3475.6	0.142
22.3	732	3475.6	0.179
22.6	645	3475.6	0.154
22.8	657	3475.6	0.157
23.1	665	3475.6	0.160
23.5	701	3475.6	0.170
24.0	681	3475.6	0.164
24.5	662	3475.6	0.159
25.0	689	3475.6	0.167
25.6	677	3475.6	0.163
26.1	708	3475.6	0.172
27.0	720	3475.6	0.176
27.7	660	3475.6	0.158
28.7	700	3475.6	0.170
