t	post_gc_MiB	sum_R_MiB	excess_over_R
0.9	172	511.0	0.108
1.1	239	511.0	0.239
1.3	171	511.0	0.106
1.5	267	511.0	0.294
1.7	332	511.0	0.421
1.8	403	511.0	0.560
1.9	471	511.0	0.693
2.1	464	511.0	0.679
2.1	572	511.0	0.890
2.2	596	511.0	0.937
2.2	671	511.0	1.084
2.2	731	511.0	1.202
2.4	747	511.0	1.233
2.4	807	511.0	1.350
2.5	798	511.0	1.333
2.6	872	511.0	1.477
2.6	927	511.0	1.585
2.7	922	511.0	1.575
2.7	967	511.0	1.663
2.7	992	511.0	1.712
2.9	1054	511.0	1.834
3.2	1060	511.0	1.845
3.4	1014	511.0	1.755
3.6	1032	511.0	1.791
3.8	1080	511.0	1.885
3.9	1110	511.0	1.943
4.1	1184	511.0	2.088
4.2	1196	511.0	2.112
4.4	1248	511.0	2.213
4.5	1336	511.0	2.386
4.7	1355	511.0	2.423
4.9	1303	511.0	2.321
4.9	1302	511.0	2.319
5.1	1335	511.0	2.384
5.3	1448	511.0	2.605
5.5	1520	511.0	2.746
5.6	1502	511.0	2.710
5.8	1503	511.0	2.712
6.1	1503	511.0	2.712
6.3	1503	511.0	2.712
6.6	1503	511.0	2.712
6.9	1503	511.0	2.712
7.2	1491	511.0	2.689
7.5	1503	511.0	2.712
7.8	1507	511.0	2.720
8.1	1503	511.0	2.712
8.4	1507	511.0	2.720
8.8	1506	511.0	2.718
9.1	1506	511.0	2.718
9.5	1494	511.0	2.695
9.9	1503	511.0	2.712
10.2	1503	511.0	2.712
12.2	1486	511.0	2.679
