t	post_gc_MiB	sum_R_MiB	excess_over_R
1.3	133	416.4	0.034
1.7	133	416.4	0.034
2.1	132	416.4	0.031
2.5	134	416.4	0.036
2.8	133	416.4	0.034
3.2	135	416.4	0.038
3.6	139	416.4	0.048
3.8	139	416.4	0.048
4.1	140	416.4	0.050
4.4	139	416.4	0.048
4.5	137	416.4	0.043
4.8	139	416.4	0.048
5.1	133	416.4	0.034
5.3	137	416.4	0.043
5.6	137	416.4	0.043
5.8	135	416.4	0.038
6.1	138	416.4	0.046
6.4	136	416.4	0.041
6.5	136	416.4	0.041
6.8	138	416.4	0.046
7.1	140	416.4	0.050
7.3	141	416.4	0.053
7.6	139	416.4	0.048
7.9	137	416.4	0.043
8.1	140	416.4	0.050
8.4	140	416.4	0.050
8.7	141	416.4	0.053
8.9	138	416.4	0.046
9.2	139	416.4	0.048
9.5	137	416.4	0.043
9.6	141	416.4	0.053
9.9	139	416.4	0.048
10.2	140	416.4	0.050
10.4	139	416.4	0.048
10.7	138	416.4	0.046
11.0	136	416.4	0.041
11.2	138	416.4	0.046
11.5	139	416.4	0.048
11.8	134	416.4	0.036
11.9	140	416.4	0.050
12.2	138	416.4	0.046
12.5	134	416.4	0.036
12.7	139	416.4	0.048
13.0	136	416.4	0.041
13.4	137	416.4	0.043
13.6	139	416.4	0.048
13.9	141	416.4	0.053
14.2	137	416.4	0.043
14.3	139	416.4	0.048
14.6	137	416.4	0.043
14.9	134	416.4	0.036
15.1	136	416.4	0.041
15.4	140	416.4	0.050
15.7	134	416.4	0.036
15.9	138	416.4	0.046
16.2	140	416.4	0.050
16.4	135	416.4	0.038
16.6	138	416.4	0.046
16.9	141	416.4	0.053
17.2	134	416.4	0.036
17.4	140	416.4	0.050
17.7	141	416.4	0.053
17.9	135	416.4	0.038
18.2	137	416.4	0.043
18.5	138	416.4	0.046
18.6	139	416.4	0.048
18.9	141	416.4	0.053
19.3	140	416.4	0.050
19.4	139	416.4	0.048
19.7	138	416.4	0.046
20.1	138	416.4	0.046
20.2	140	416.4	0.050
20.5	138	416.4	0.046
20.8	139	416.4	0.048
21.0	137	416.4	0.043
21.3	142	416.4	0.055
21.6	139	416.4	0.048
21.8	140	416.4	0.050
22.1	140	416.4	0.050
22.3	140	416.4	0.050
22.5	141	416.4	0.053
22.8	140	416.4	0.050
23.1	142	416.4	0.055
23.3	141	416.4	0.053
23.7	140	416.4	0.050
23.9	140	416.4	0.050
24.1	142	416.4	0.055
24.4	139	416.4	0.048
24.7	139	416.4	0.048
24.9	140	416.4	0.050
25.4	135	416.4	0.038
26.2	135	416.4	0.038
27.0	135	416.4	0.038
27.8	135	416.4	0.038
28.5	135	416.4	0.038
29.3	135	416.4	0.038
30.1	134	416.4	0.036
30.8	134	416.4	0.036
31.6	134	416.4	0.036
32.4	134	416.4	0.036
33.1	134	416.4	0.036
34.0	134	416.4	0.036
34.8	134	416.4	0.036
35.6	134	416.4	0.036
36.4	134	416.4	0.036
37.1	134	416.4	0.036
37.8	134	416.4	0.036
38.6	134	416.4	0.036
39.4	134	416.4	0.036
40.2	134	416.4	0.036
40.9	134	416.4	0.036
41.7	134	416.4	0.036
42.4	134	416.4	0.036
43.2	134	416.4	0.036
44.1	134	416.4	0.036
44.8	134	416.4	0.036
45.6	134	416.4	0.036
46.4	134	416.4	0.036
47.1	134	416.4	0.036
48.1	134	416.4	0.036
48.8	134	416.4	0.036
49.5	134	416.4	0.036
50.3	134	416.4	0.036
51.1	134	416.4	0.036
51.9	134	416.4	0.036
52.7	134	416.4	0.036
53.5	134	416.4	0.036
54.2	134	416.4	0.036
55.0	134	416.4	0.036
55.8	134	416.4	0.036
56.6	134	416.4	0.036
57.4	134	416.4	0.036
58.1	134	416.4	0.036
58.9	134	416.4	0.036
59.7	134	416.4	0.036
60.4	134	416.4	0.036
61.2	134	416.4	0.036
