t	post_gc_MiB	sum_R_MiB	excess_over_R
1.4	129	433.0	0.035
2.0	129	433.0	0.035
2.6	130	433.0	0.037
3.2	131	433.0	0.039
3.7	137	433.0	0.053
4.1	138	433.0	0.055
4.4	137	433.0	0.053
4.8	138	433.0	0.055
5.2	139	433.0	0.058
5.6	140	433.0	0.060
6.0	141	433.0	0.062
6.3	130	433.0	0.037
6.6	135	433.0	0.048
7.0	143	433.0	0.067
7.3	138	433.0	0.055
7.7	139	433.0	0.058
8.1	139	433.0	0.058
8.4	138	433.0	0.055
8.8	140	433.0	0.060
9.2	141	433.0	0.062
9.5	129	433.0	0.035
9.8	131	433.0	0.039
10.2	140	433.0	0.060
10.5	141	433.0	0.062
10.9	136	433.0	0.051
11.3	139	433.0	0.058
11.7	138	433.0	0.055
12.0	138	433.0	0.055
12.4	138	433.0	0.055
12.8	139	433.0	0.058
13.2	140	433.0	0.060
13.6	130	433.0	0.037
13.9	127	433.0	0.030
14.2	136	433.0	0.051
14.6	134	433.0	0.046
15.0	138	433.0	0.055
15.3	138	433.0	0.055
15.7	138	433.0	0.055
16.7	131	433.0	0.039
17.6	128	433.0	0.032
18.5	129	433.0	0.035
19.4	129	433.0	0.035
20.3	130	433.0	0.037
