t	component	rss_MiB
2.8	connect	3636
2.8	schema-registry	153
2.8	kafka	1578
2.8	mysql	408
2.8	postgres	577
16.2	connect	6337
16.2	schema-registry	154
16.2	kafka	1884
16.2	mysql	409
16.2	postgres	1418
32.4	connect	5965
32.4	schema-registry	135
32.4	kafka	2070
32.4	mysql	409
32.4	postgres	1493
44.8	connect	5966
44.8	schema-registry	135
44.8	kafka	2072
44.8	mysql	409
44.8	postgres	1505
58.2	connect	5981
58.2	schema-registry	137
58.2	kafka	2075
58.2	mysql	363
58.2	postgres	1378
75.6	connect	5981
75.6	schema-registry	159
75.6	kafka	2073
75.6	mysql	363
75.6	postgres	1398
83.8	connect	5982
83.8	schema-registry	148
83.8	kafka	2217
83.8	mysql	363
83.8	postgres	1286
68.7	connect	5983
68.7	schema-registry	149
68.7	kafka	2074
68.7	mysql	364
68.7	postgres	1142
96.2	connect	5579
96.2	schema-registry	144
96.2	kafka	2073
96.2	mysql	363
96.2	postgres	1147
91.9	connect	5585
91.9	schema-registry	156
91.9	kafka	2073
91.9	mysql	363
91.9	postgres	1000
104.4	connect	5585
104.4	schema-registry	147
104.4	kafka	2068
104.4	mysql	363
104.4	postgres	1003
114.4	connect	5560
114.4	schema-registry	147
114.4	kafka	2141
114.4	mysql	363
114.4	postgres	1006
127.2	connect	5561
127.2	schema-registry	149
127.2	kafka	2057
127.2	mysql	364
127.2	postgres	1007
139.6	connect	5563
139.6	schema-registry	150
139.6	kafka	2061
139.6	mysql	359
139.6	postgres	1026
147.1	connect	5564
147.1	schema-registry	150
147.1	kafka	2060
147.1	mysql	359
147.1	postgres	1076
153.5	connect	5565
153.5	schema-registry	151
153.5	kafka	2061
153.5	mysql	360
153.5	postgres	936
160.1	connect	5575
160.1	schema-registry	152
160.1	kafka	2064
160.1	mysql	360
160.1	postgres	788
163.5	connect	5575
163.5	schema-registry	152
163.5	kafka	2060
163.5	mysql	360
163.5	postgres	639
