t	table	topic_end	pg_inserted
2.8	b_lob_1	214	0
2.8	b_narrow_1	246776	0
2.8	b_narrow_2	225216	0
2.8	b_narrow_3	246072	0
2.8	b_narrow_4	229735	0
2.8	b_wide_1	44378	0
2.8	b_wide_2	41882	0
2.8	b_wide_3	39195	0
9.3	b_lob_1	724	170
9.3	b_narrow_1	1048576	133969
9.3	b_narrow_2	1032550	128448
9.3	b_narrow_3	951296	124466
9.3	b_narrow_4	969197	118836
9.3	b_wide_1	147456	44021
9.3	b_wide_2	131072	44987
9.3	b_wide_3	134754	41892
12.5	b_lob_1	1000	287
12.5	b_narrow_1	1508327	203647
12.5	b_narrow_2	1526748	198665
12.5	b_narrow_3	1484800	220372
12.5	b_narrow_4	1506657	215444
12.5	b_wide_1	212992	71940
12.5	b_wide_2	196286	74170
12.5	b_wide_3	194117	69731
16.2	b_lob_1	1000	388
16.2	b_narrow_1	2050709	297911
16.2	b_narrow_2	2011952	290120
16.2	b_narrow_3	2012107	295045
16.2	b_narrow_4	2015241	287668
16.2	b_wide_1	275488	104228
16.2	b_wide_2	246718	104828
16.2	b_wide_3	252495	103682
22.0	b_lob_1	1000	542
22.0	b_narrow_1	2870113	424807
22.0	b_narrow_2	2798416	421684
22.0	b_narrow_3	2826418	433457
22.0	b_narrow_4	2773495	420155
22.0	b_wide_1	344599	145454
22.0	b_wide_2	315187	150774
22.0	b_wide_3	315635	143380
26.1	b_lob_1	1000	691
26.1	b_narrow_1	3538944	525247
26.1	b_narrow_2	3407872	513256
26.1	b_narrow_3	3538944	517665
26.1	b_narrow_4	3407910	508160
26.1	b_wide_1	433248	178633
26.1	b_wide_2	396169	184063
26.1	b_wide_3	403539	180091
32.4	b_lob_1	1000	811
32.4	b_narrow_1	4086784	597156
32.4	b_narrow_2	3927233	586512
32.4	b_narrow_3	4118901	615749
32.4	b_narrow_4	4070087	585246
32.4	b_wide_1	514465	205336
32.4	b_wide_2	481770	214343
32.4	b_wide_3	489816	207971
41.9	b_lob_1	1000	988
41.9	b_narrow_1	5120439	725018
41.9	b_narrow_2	4966400	734588
41.9	b_narrow_3	5242880	752415
41.9	b_narrow_4	5111808	733289
41.9	b_wide_1	600000	259389
41.9	b_wide_2	600000	273334
41.9	b_wide_3	600000	255151
58.2	b_lob_1	1000	1000
58.2	b_narrow_1	7765979	1210295
58.2	b_narrow_2	7572480	1178760
58.2	b_narrow_3	7772160	1210505
58.2	b_narrow_4	7423198	1182829
58.2	b_wide_1	600000	444161
58.2	b_wide_2	600000	449002
58.2	b_wide_3	600000	436947
68.7	b_lob_1	1000	1000
68.7	b_narrow_1	8000000	1520248
68.7	b_narrow_2	8000000	1488425
68.7	b_narrow_3	8000000	1523831
68.7	b_narrow_4	8000000	1544520
68.7	b_wide_1	600000	560749
68.7	b_wide_2	600000	563022
68.7	b_wide_3	600000	551352
91.9	b_lob_1	1000	1000
91.9	b_narrow_1	8000000	3322824
91.9	b_narrow_2	8000000	3292800
91.9	b_narrow_3	8000000	3326089
91.9	b_narrow_4	8000000	3271245
91.9	b_wide_1	600000	600000
91.9	b_wide_2	600000	600000
91.9	b_wide_3	600000	600000
104.4	b_lob_1	1000	1000
104.4	b_narrow_1	8000000	4445824
104.4	b_narrow_2	8000000	4408288
104.4	b_narrow_3	8000000	4453697
104.4	b_narrow_4	8000000	4446798
104.4	b_wide_1	600000	600000
104.4	b_wide_2	600000	600000
104.4	b_wide_3	600000	600000
111.2	b_lob_1	1000	1000
111.2	b_narrow_1	8000000	4988087
111.2	b_narrow_2	8000000	4949650
111.2	b_narrow_3	8000000	4991452
111.2	b_narrow_4	8000000	4882811
111.2	b_wide_1	600000	600000
111.2	b_wide_2	600000	600000
111.2	b_wide_3	600000	600000
114.4	b_lob_1	1000	1000
114.4	b_narrow_1	8000000	5297262
114.4	b_narrow_2	8000000	5254424
114.4	b_narrow_3	8000000	5296000
114.4	b_narrow_4	8000000	5293380
114.4	b_wide_1	600000	600000
114.4	b_wide_2	600000	600000
114.4	b_wide_3	600000	600000
120.6	b_lob_1	1000	1000
120.6	b_narrow_1	8000000	5873163
120.6	b_narrow_2	8000000	5829433
120.6	b_narrow_3	8000000	5873877
120.6	b_narrow_4	8000000	5883928
120.6	b_wide_1	600000	600000
120.6	b_wide_2	600000	600000
120.6	b_wide_3	600000	600000
123.8	b_lob_1	1000	1000
123.8	b_narrow_1	8000000	6189200
123.8	b_narrow_2	8000000	6146007
123.8	b_narrow_3	8000000	6192100
123.8	b_narrow_4	8000000	6189561
123.8	b_wide_1	600000	600000
123.8	b_wide_2	600000	600000
123.8	b_wide_3	600000	600000
127.2	b_lob_1	1000	1000
127.2	b_narrow_1	8000000	6619848
127.2	b_narrow_2	8000000	6576720
127.2	b_narrow_3	8000000	6623045
127.2	b_narrow_4	8000000	6529348
127.2	b_wide_1	600000	600000
127.2	b_wide_2	600000	600000
127.2	b_wide_3	600000	600000
132.9	b_lob_1	1000	1000
132.9	b_narrow_1	8000000	7089463
132.9	b_narrow_2	8000000	7045098
132.9	b_narrow_3	8000000	7098495
132.9	b_narrow_4	8000000	7091888
132.9	b_wide_1	600000	600000
132.9	b_wide_2	600000	600000
132.9	b_wide_3	600000	600000
136.2	b_lob_1	1000	1000
136.2	b_narrow_1	8000000	7400767
136.2	b_narrow_2	8000000	7357347
136.2	b_narrow_3	8000000	7407992
136.2	b_narrow_4	8000000	7402744
136.2	b_wide_1	600000	600000
136.2	b_wide_2	600000	600000
136.2	b_wide_3	600000	600000
139.6	b_lob_1	1000	1000
139.6	b_narrow_1	8000000	7730352
139.6	b_narrow_2	8000000	7690099
139.6	b_narrow_3	8000000	7737461
139.6	b_narrow_4	8000000	7725026
139.6	b_wide_1	600000	600000
139.6	b_wide_2	600000	600000
139.6	b_wide_3	600000	600000
145.7	b_lob_1	1000	1000
145.7	b_narrow_1	8000000	7976926
145.7	b_narrow_2	8000000	7937528
145.7	b_narrow_3	8000000	7984992
145.7	b_narrow_4	8000000	7983621
145.7	b_wide_1	600000	600000
145.7	b_wide_2	600000	600000
145.7	b_wide_3	600000	600000
