t	table	topic_end	pg_inserted
1.4	b_narrow_1	292559	0
6.0	b_narrow_1	1835008	366371
8.1	b_narrow_1	2502508	630516
10.2	b_narrow_1	3233992	897056
12.2	b_narrow_1	3932160	1159269
16.7	b_narrow_1	5380148	1799138
18.8	b_narrow_1	6123884	2063902
20.9	b_narrow_1	6815744	2321433
22.9	b_narrow_1	7539726	2575028
26.7	b_narrow_1	8000000	3133436
28.9	b_narrow_1	8000000	3423840
31.1	b_narrow_1	8000000	3707717
33.3	b_narrow_1	8000000	3996681
37.6	b_narrow_1	8000000	4705651
39.9	b_narrow_1	8000000	4990403
42.1	b_narrow_1	8000000	5287045
44.3	b_narrow_1	8000000	5567664
48.6	b_narrow_1	8000000	6271275
50.9	b_narrow_1	8000000	6558132
53.2	b_narrow_1	8000000	6839513
55.5	b_narrow_1	8000000	7263550
60.3	b_narrow_1	8000000	7842006
62.7	b_narrow_1	8000000	7985128
