t	event	current_bytes	high_bytes
2.8	memory/temptable/physical_disk	0	0
2.8	memory/temptable/physical_ram	9437472	135792016
2.8	session_temp_tablespace:365	54525952	54525952
2.8	session_temp_tablespace:370	54525952	54525952
2.8	session_temp_tablespace:360	54525952	54525952
2.8	session_temp_tablespace:385	18874368	18874368
2.8	session_temp_tablespace:375	54525952	54525952
2.8	session_temp_tablespace:390	18874368	18874368
2.8	session_temp_tablespace:380	18874368	18874368
2.8	session_temp_tablespace:395	18874368	18874368
2.8	session_temp_tablespace:397	81920	81920
16.2	memory/temptable/physical_disk	0	0
16.2	memory/temptable/physical_ram	8388864	135792016
16.2	session_temp_tablespace:365	54525952	54525952
16.2	session_temp_tablespace:370	54525952	54525952
16.2	session_temp_tablespace:360	54525952	54525952
16.2	session_temp_tablespace:385	18874368	18874368
16.2	session_temp_tablespace:375	54525952	54525952
16.2	session_temp_tablespace:390	18874368	18874368
16.2	session_temp_tablespace:380	18874368	18874368
16.2	session_temp_tablespace:395	18874368	18874368
16.2	session_temp_tablespace:400	81920	81920
32.4	memory/temptable/physical_disk	0	0
32.4	memory/temptable/physical_ram	8388864	135792016
32.4	session_temp_tablespace:365	54525952	54525952
32.4	session_temp_tablespace:370	54525952	54525952
32.4	session_temp_tablespace:360	54525952	54525952
32.4	session_temp_tablespace:385	18874368	18874368
32.4	session_temp_tablespace:375	54525952	54525952
32.4	session_temp_tablespace:390	18874368	18874368
32.4	session_temp_tablespace:380	18874368	18874368
32.4	session_temp_tablespace:395	18874368	18874368
32.4	session_temp_tablespace:403	81920	81920
44.8	memory/temptable/physical_disk	0	0
44.8	memory/temptable/physical_ram	24117632	135792016
44.8	session_temp_tablespace:365	54525952	54525952
44.8	session_temp_tablespace:370	54525952	54525952
44.8	session_temp_tablespace:360	54525952	54525952
44.8	session_temp_tablespace:385	18874368	18874368
44.8	session_temp_tablespace:375	54525952	54525952
44.8	session_temp_tablespace:390	18874368	18874368
44.8	session_temp_tablespace:380	18874368	18874368
44.8	session_temp_tablespace:395	18874368	18874368
44.8	session_temp_tablespace:404	81920	81920
58.2	memory/temptable/physical_disk	0	0
58.2	memory/temptable/physical_ram	7340256	135792016
58.2	session_temp_tablespace:365	54525952	54525952
58.2	session_temp_tablespace:370	54525952	54525952
58.2	session_temp_tablespace:360	54525952	54525952
58.2	session_temp_tablespace:385	18874368	18874368
58.2	session_temp_tablespace:390	18874368	18874368
58.2	session_temp_tablespace:380	18874368	18874368
58.2	session_temp_tablespace:395	18874368	18874368
58.2	session_temp_tablespace:407	81920	81920
75.6	memory/temptable/physical_disk	0	0
75.6	memory/temptable/physical_ram	7340256	135792016
