t	event	current_bytes	high_bytes
1.4	memory/temptable/physical_disk	0	0
1.4	memory/temptable/physical_ram	1048608	17825984
1.4	session_temp_tablespace:268	18874368	18874368
1.4	session_temp_tablespace:271	81920	81920
12.2	memory/temptable/physical_disk	0	0
12.2	memory/temptable/physical_ram	1048608	17825984
12.2	session_temp_tablespace:268	18874368	18874368
12.2	session_temp_tablespace:273	81920	81920
22.9	memory/temptable/physical_disk	0	0
22.9	memory/temptable/physical_ram	1048608	17825984
22.9	session_temp_tablespace:268	18874368	18874368
22.9	session_temp_tablespace:275	81920	81920
33.3	memory/temptable/physical_disk	0	0
33.3	memory/temptable/physical_ram	1048608	17825984
33.3	session_temp_tablespace:268	18874368	18874368
33.3	session_temp_tablespace:277	81920	81920
44.3	memory/temptable/physical_disk	0	0
44.3	memory/temptable/physical_ram	1048608	17825984
44.3	session_temp_tablespace:268	18874368	18874368
44.3	session_temp_tablespace:279	81920	81920
55.5	memory/temptable/physical_disk	0	0
55.5	memory/temptable/physical_ram	1048608	17825984
55.5	session_temp_tablespace:268	18874368	18874368
55.5	session_temp_tablespace:281	81920	81920
