2.4	local-env-connect-1	633.00%	4.941GiB / 15.6GiB
2.4	local-env-schema-registry-1	0.38%	190.5MiB / 15.6GiB
2.4	local-env-kafka-1	73.31%	1.989GiB / 15.6GiB
2.4	local-env-mysql-1	124.95%	456.5MiB / 15.6GiB
2.4	local-env-postgres-1	137.09%	191.9MiB / 15.6GiB
15.5	local-env-connect-1	368.55%	6.521GiB / 15.6GiB
15.5	local-env-schema-registry-1	0.36%	171.5MiB / 15.6GiB
15.5	local-env-kafka-1	41.66%	1.843GiB / 15.6GiB
15.5	local-env-mysql-1	59.88%	454MiB / 15.6GiB
15.5	local-env-postgres-1	165.13%	232.5MiB / 15.6GiB
26.6	local-env-connect-1	561.09%	5.467GiB / 15.6GiB
26.6	local-env-schema-registry-1	0.38%	178.9MiB / 15.6GiB
26.6	local-env-kafka-1	77.40%	2.057GiB / 15.6GiB
26.6	local-env-mysql-1	140.52%	448.2MiB / 15.6GiB
26.6	local-env-postgres-1	158.71%	209.8MiB / 15.6GiB
37.6	local-env-connect-1	468.32%	5.346GiB / 15.6GiB
37.6	local-env-schema-registry-1	0.36%	165.8MiB / 15.6GiB
37.6	local-env-kafka-1	27.18%	2.015GiB / 15.6GiB
37.6	local-env-mysql-1	95.78%	467.2MiB / 15.6GiB
37.6	local-env-postgres-1	199.93%	274.6MiB / 15.6GiB
46.1	local-env-connect-1	523.71%	5.362GiB / 15.6GiB
46.1	local-env-schema-registry-1	0.29%	166.2MiB / 15.6GiB
46.1	local-env-kafka-1	71.21%	2.06GiB / 15.6GiB
46.1	local-env-mysql-1	80.33%	469.4MiB / 15.6GiB
46.1	local-env-postgres-1	230.59%	257.2MiB / 15.6GiB
58.6	local-env-connect-1	138.27%	2.704GiB / 15.6GiB
58.6	local-env-schema-registry-1	0.31%	147.9MiB / 15.6GiB
58.6	local-env-kafka-1	7.36%	2.105GiB / 15.6GiB
58.6	local-env-mysql-1	2.71%	388MiB / 15.6GiB
58.6	local-env-postgres-1	251.06%	587MiB / 15.6GiB
74.3	local-env-connect-1	142.27%	2.91GiB / 15.6GiB
74.3	local-env-schema-registry-1	0.23%	131.4MiB / 15.6GiB
74.3	local-env-kafka-1	2.51%	2.097GiB / 15.6GiB
74.3	local-env-mysql-1	2.90%	355.5MiB / 15.6GiB
74.3	local-env-postgres-1	205.82%	370.2MiB / 15.6GiB
80.9	local-env-connect-1	156.29%	1.885GiB / 15.6GiB
80.9	local-env-schema-registry-1	0.25%	134.6MiB / 15.6GiB
80.9	local-env-kafka-1	1.53%	2.099GiB / 15.6GiB
80.9	local-env-mysql-1	2.11%	361.7MiB / 15.6GiB
80.9	local-env-postgres-1	207.30%	386.9MiB / 15.6GiB
87.7	local-env-connect-1	149.57%	1.52GiB / 15.6GiB
87.7	local-env-schema-registry-1	0.26%	124.2MiB / 15.6GiB
87.7	local-env-kafka-1	1.77%	2.14GiB / 15.6GiB
87.7	local-env-mysql-1	1.82%	363.6MiB / 15.6GiB
87.7	local-env-postgres-1	204.45%	406.8MiB / 15.6GiB
72.1	local-env-connect-1	152.39%	1.491GiB / 15.6GiB
72.1	local-env-schema-registry-1	1.58%	124.1MiB / 15.6GiB
72.1	local-env-kafka-1	2.57%	2.148GiB / 15.6GiB
72.1	local-env-mysql-1	3.71%	365MiB / 15.6GiB
72.1	local-env-postgres-1	199.42%	411.6MiB / 15.6GiB
95.4	local-env-connect-1	75.81%	1.492GiB / 15.6GiB
95.4	local-env-schema-registry-1	0.34%	123.1MiB / 15.6GiB
95.4	local-env-kafka-1	1.53%	2.182GiB / 15.6GiB
95.4	local-env-mysql-1	2.20%	363.5MiB / 15.6GiB
95.4	local-env-postgres-1	98.69%	423.9MiB / 15.6GiB
106.5	projo-list-87002-web-1	0.00%	11.02MiB / 15.6GiB
106.5	projo-list-87002-api-1	0.01%	84.73MiB / 15.6GiB
106.5	local-env-connect-1	127.13%	1.453GiB / 15.6GiB
106.5	local-env-schema-registry-1	0.33%	114.1MiB / 15.6GiB
106.5	local-env-kafka-1	1.88%	2.096GiB / 15.6GiB
106.5	local-env-mysql-1	2.29%	363.4MiB / 15.6GiB
106.5	local-env-postgres-1	156.96%	423.9MiB / 15.6GiB
106.5	projo-list-87039-api-1	2.24%	75.5MiB / 15.6GiB
106.5	projo-list-87039-web-1	0.23%	10.95MiB / 15.6GiB
117.7	local-env-connect-1	126.24%	1.456GiB / 15.6GiB
117.7	local-env-schema-registry-1	0.22%	112.2MiB / 15.6GiB
117.7	local-env-kafka-1	1.77%	2.192GiB / 15.6GiB
117.7	local-env-mysql-1	1.93%	364.1MiB / 15.6GiB
117.7	local-env-postgres-1	142.37%	440.3MiB / 15.6GiB
130.9	local-env-connect-1	144.11%	1.404GiB / 15.6GiB
130.9	local-env-schema-registry-1	0.28%	118.5MiB / 15.6GiB
130.9	local-env-kafka-1	1.84%	2.365GiB / 15.6GiB
130.9	local-env-mysql-1	3.45%	363.4MiB / 15.6GiB
130.9	local-env-postgres-1	202.56%	444.7MiB / 15.6GiB
141.8	local-env-connect-1	146.67%	1.404GiB / 15.6GiB
141.8	local-env-schema-registry-1	0.77%	121.1MiB / 15.6GiB
141.8	local-env-kafka-1	2.26%	2.38GiB / 15.6GiB
141.8	local-env-mysql-1	3.17%	370MiB / 15.6GiB
141.8	local-env-postgres-1	19.12%	452.1MiB / 15.6GiB
149.2	local-env-connect-1	11.04%	1.408GiB / 15.6GiB
149.2	local-env-schema-registry-1	0.44%	120.8MiB / 15.6GiB
149.2	local-env-kafka-1	2.67%	2.41GiB / 15.6GiB
149.2	local-env-mysql-1	3.76%	369.9MiB / 15.6GiB
149.2	local-env-postgres-1	12.61%	449.6MiB / 15.6GiB
157.2	local-env-connect-1	3.01%	1.408GiB / 15.6GiB
157.2	local-env-schema-registry-1	0.47%	121.1MiB / 15.6GiB
157.2	local-env-kafka-1	2.44%	2.44GiB / 15.6GiB
157.2	local-env-mysql-1	2.71%	379.5MiB / 15.6GiB
157.2	local-env-postgres-1	11.51%	444.5MiB / 15.6GiB
162.6	local-env-connect-1	3.80%	1.408GiB / 15.6GiB
162.6	local-env-schema-registry-1	0.42%	123.5MiB / 15.6GiB
162.6	local-env-kafka-1	163.67%	2.572GiB / 15.6GiB
162.6	local-env-mysql-1	2.93%	379.5MiB / 15.6GiB
162.6	local-env-postgres-1	8.51%	441.1MiB / 15.6GiB
167.1	local-env-connect-1	2.04%	1.408GiB / 15.6GiB
167.1	local-env-schema-registry-1	1.32%	123.7MiB / 15.6GiB
167.1	local-env-kafka-1	1.96%	2.456GiB / 15.6GiB
167.1	local-env-mysql-1	2.26%	378.9MiB / 15.6GiB
167.1	local-env-postgres-1	15.08%	437.2MiB / 15.6GiB
