1.4	local-env-connect-1	274.76%	1.314GiB / 15.6GiB
1.4	local-env-schema-registry-1	0.27%	186.8MiB / 15.6GiB
1.4	local-env-kafka-1	133.24%	2.165GiB / 15.6GiB
1.4	local-env-mysql-1	26.69%	421.3MiB / 15.6GiB
1.4	local-env-postgres-1	46.25%	185.3MiB / 15.6GiB
12.4	local-env-connect-1	157.23%	1.325GiB / 15.6GiB
12.4	local-env-schema-registry-1	0.25%	189.6MiB / 15.6GiB
12.4	local-env-kafka-1	9.15%	2.04GiB / 15.6GiB
12.4	local-env-mysql-1	28.11%	421.9MiB / 15.6GiB
12.4	local-env-postgres-1	51.14%	195.9MiB / 15.6GiB
23.7	local-env-connect-1	51.08%	1.325GiB / 15.6GiB
23.7	local-env-schema-registry-1	0.21%	191.8MiB / 15.6GiB
23.7	local-env-kafka-1	2.00%	2.046GiB / 15.6GiB
23.7	local-env-mysql-1	0.69%	422.3MiB / 15.6GiB
23.7	local-env-postgres-1	67.01%	206MiB / 15.6GiB
34.8	local-env-connect-1	43.16%	1.325GiB / 15.6GiB
34.8	local-env-schema-registry-1	1.60%	191.9MiB / 15.6GiB
34.8	local-env-kafka-1	2.07%	2.046GiB / 15.6GiB
34.8	local-env-mysql-1	0.77%	422.6MiB / 15.6GiB
34.8	local-env-postgres-1	55.19%	217.4MiB / 15.6GiB
46.0	local-env-connect-1	44.32%	1.326GiB / 15.6GiB
46.0	local-env-schema-registry-1	0.22%	193.8MiB / 15.6GiB
46.0	local-env-kafka-1	1.14%	2.047GiB / 15.6GiB
46.0	local-env-mysql-1	0.71%	422.9MiB / 15.6GiB
46.0	local-env-postgres-1	51.89%	230.8MiB / 15.6GiB
58.0	local-env-connect-1	49.50%	1.325GiB / 15.6GiB
58.0	local-env-schema-registry-1	0.31%	193.7MiB / 15.6GiB
58.0	local-env-kafka-1	0.97%	2.047GiB / 15.6GiB
58.0	local-env-mysql-1	0.70%	423.1MiB / 15.6GiB
58.0	local-env-postgres-1	53.10%	243.3MiB / 15.6GiB
