t	post_gc_MiB	sum_R_MiB	excess_over_R
1.7	175	3475.6	0.017
2.0	265	3475.6	0.043
2.2	378	3475.6	0.076
2.2	545	3475.6	0.124
2.4	574	3475.6	0.132
2.5	874	3475.6	0.218
2.5	1069	3475.6	0.274
2.6	630	3475.6	0.148
2.6	570	3475.6	0.131
2.7	705	3475.6	0.170
2.8	1077	3475.6	0.277
2.8	672	3475.6	0.160
2.8	740	3475.6	0.180
2.9	830	3475.6	0.206
2.9	774	3475.6	0.190
2.9	871	3475.6	0.218
3.1	1247	3475.6	0.326
3.1	1419	3475.6	0.375
3.4	939	3475.6	0.237
3.4	884	3475.6	0.221
3.8	1072	3475.6	0.275
4.0	1161	3475.6	0.301
4.4	1264	3475.6	0.331
4.7	1370	3475.6	0.361
5.0	1453	3475.6	0.385
5.2	1569	3475.6	0.418
5.5	1669	3475.6	0.447
5.7	1864	3475.6	0.503
5.8	2015	3475.6	0.547
6.0	2118	3475.6	0.576
6.1	2127	3475.6	0.579
6.3	2256	3475.6	0.616
6.3	2333	3475.6	0.638
6.5	2397	3475.6	0.657
6.5	2508	3475.6	0.689
6.6	2623	3475.6	0.722
6.6	2667	3475.6	0.734
6.7	2733	3475.6	0.753
6.8	2824	3475.6	0.779
6.9	2924	3475.6	0.808
7.0	2947	3475.6	0.815
7.1	2990	3475.6	0.827
7.1	3039	3475.6	0.841
7.2	3095	3475.6	0.857
7.3	3109	3475.6	0.861
7.4	3151	3475.6	0.874
7.5	3224	3475.6	0.895
7.5	3268	3475.6	0.907
7.6	3304	3475.6	0.918
7.7	3352	3475.6	0.931
7.8	3401	3475.6	0.945
7.9	3478	3475.6	0.968
7.9	3554	3475.6	0.989
8.0	3599	3475.6	1.002
8.0	3633	3475.6	1.012
8.1	3650	3475.6	1.017
8.2	3678	3475.6	1.025
8.2	3700	3475.6	1.031
8.3	3742	3475.6	1.044
8.3	3830	3475.6	1.069
8.4	3981	3475.6	1.112
8.4	4039	3475.6	1.129
8.5	4093	3475.6	1.145
8.5	4145	3475.6	1.160
8.6	4200	3475.6	1.175
8.7	4301	3475.6	1.204
8.8	4399	3475.6	1.233
8.8	4458	3475.6	1.250
8.9	4513	3475.6	1.265
8.9	4537	3475.6	1.272
9.0	4573	3475.6	1.283
9.0	4679	3475.6	1.313
9.1	4778	3475.6	1.342
9.2	4865	3475.6	1.367
9.2	4933	3475.6	1.386
9.3	4977	3475.6	1.399
9.4	5049	3475.6	1.420
9.4	5088	3475.6	1.431
9.5	5130	3475.6	1.443
9.5	5178	3475.6	1.457
9.6	5223	3475.6	1.470
9.7	5253	3475.6	1.478
9.7	5277	3475.6	1.485
9.8	5305	3475.6	1.493
9.9	5377	3475.6	1.514
9.9	5428	3475.6	1.529
