t	post_gc_MiB	sum_R_MiB	excess_over_R
0.9	174	511.0	0.110
1.1	240	511.0	0.239
1.4	172	511.0	0.106
1.5	275	511.0	0.307
1.7	343	511.0	0.440
1.9	415	511.0	0.581
2.0	491	511.0	0.730
2.0	592	511.0	0.928
2.1	643	511.0	1.027
2.1	696	511.0	1.131
2.2	744	511.0	1.225
2.3	772	511.0	1.280
2.3	807	511.0	1.348
2.3	831	511.0	1.395
2.3	852	511.0	1.436
2.8	875	511.0	1.481
3.2	988	511.0	1.703
3.5	986	511.0	1.699
3.8	1001	511.0	1.728
4.1	965	511.0	1.658
4.4	925	511.0	1.579
4.7	901	511.0	1.532
5.0	933	511.0	1.595
5.3	949	511.0	1.626
5.6	903	511.0	1.536
6.3	899	511.0	1.528
7.5	899	511.0	1.528
8.5	903	511.0	1.536
9.5	885	511.0	1.501
10.2	897	511.0	1.524
