t	post_gc_MiB	sum_R_MiB	excess_over_R
1.1	146	416.4	0.026
1.1	141	416.4	0.014
1.5	142	416.4	0.017
1.9	142	416.4	0.017
2.3	141	416.4	0.014
2.7	145	416.4	0.024
3.1	141	416.4	0.014
3.5	146	416.4	0.026
3.9	147	416.4	0.029
4.1	147	416.4	0.029
4.4	148	416.4	0.031
4.7	146	416.4	0.026
4.9	146	416.4	0.026
5.2	150	416.4	0.036
5.5	150	416.4	0.036
5.7	148	416.4	0.031
6.0	150	416.4	0.036
6.4	147	416.4	0.029
6.5	149	416.4	0.034
6.9	150	416.4	0.036
7.2	144	416.4	0.022
7.4	148	416.4	0.031
7.7	149	416.4	0.034
7.9	144	416.4	0.022
8.1	147	416.4	0.029
8.5	146	416.4	0.026
8.8	143	416.4	0.019
9.0	147	416.4	0.029
9.3	150	416.4	0.036
9.6	144	416.4	0.022
9.8	148	416.4	0.031
10.1	149	416.4	0.034
10.3	144	416.4	0.022
10.6	148	416.4	0.031
10.9	146	416.4	0.026
11.1	143	416.4	0.019
11.4	146	416.4	0.026
11.7	149	416.4	0.034
11.9	145	416.4	0.024
12.2	148	416.4	0.031
12.5	147	416.4	0.029
12.7	145	416.4	0.024
13.0	150	416.4	0.036
13.3	147	416.4	0.029
13.5	149	416.4	0.034
13.8	149	416.4	0.034
14.1	151	416.4	0.038
14.3	148	416.4	0.031
14.7	147	416.4	0.029
15.0	151	416.4	0.038
15.1	146	416.4	0.026
15.5	147	416.4	0.029
15.8	149	416.4	0.034
15.9	149	416.4	0.034
16.1	145	416.4	0.024
16.1	189	416.4	0.130
16.1	219	416.4	0.202
16.3	146	416.4	0.026
16.3	144	416.4	0.022
16.6	144	416.4	0.022
16.9	142	416.4	0.017
17.1	144	416.4	0.022
17.4	146	416.4	0.026
17.8	142	416.4	0.017
18.0	144	416.4	0.022
18.3	143	416.4	0.019
18.5	141	416.4	0.014
18.7	143	416.4	0.019
19.0	144	416.4	0.022
19.3	140	416.4	0.012
19.5	142	416.4	0.017
19.9	145	416.4	0.024
20.1	140	416.4	0.012
20.4	143	416.4	0.019
20.7	145	416.4	0.024
20.9	141	416.4	0.014
21.2	142	416.4	0.017
21.5	146	416.4	0.026
21.7	141	416.4	0.014
22.0	147	416.4	0.029
22.3	147	416.4	0.029
22.5	141	416.4	0.014
22.8	143	416.4	0.019
23.1	143	416.4	0.019
23.3	146	416.4	0.026
23.6	146	416.4	0.026
23.9	144	416.4	0.022
24.0	147	416.4	0.029
24.4	144	416.4	0.022
24.7	147	416.4	0.029
24.8	144	416.4	0.022
25.1	146	416.4	0.026
25.5	147	416.4	0.029
25.6	146	416.4	0.026
26.3	141	416.4	0.014
27.1	140	416.4	0.012
27.1	140	416.4	0.012
27.1	150	416.4	0.036
27.1	158	416.4	0.055
27.9	141	416.4	0.014
27.9	137	416.4	0.005
28.7	136	416.4	0.002
29.6	137	416.4	0.005
30.4	136	416.4	0.002
31.1	136	416.4	0.002
31.8	135	416.4	0.000
32.6	135	416.4	0.000
33.4	135	416.4	0.000
34.2	135	416.4	0.000
35.0	136	416.4	0.002
35.8	136	416.4	0.002
36.7	135	416.4	0.000
37.6	136	416.4	0.002
38.1	136	416.4	0.002
38.1	148	416.4	0.031
38.1	152	416.4	0.041
38.9	136	416.4	0.002
39.0	132	416.4	-0.007
39.8	132	416.4	-0.007
40.7	132	416.4	-0.007
41.5	132	416.4	-0.007
42.3	131	416.4	-0.010
43.1	132	416.4	-0.007
43.9	132	416.4	-0.007
44.7	132	416.4	-0.007
45.5	132	416.4	-0.007
46.3	132	416.4	-0.007
47.1	132	416.4	-0.007
47.9	132	416.4	-0.007
48.7	132	416.4	-0.007
49.5	132	416.4	-0.007
49.8	132	416.4	-0.007
49.8	142	416.4	0.017
49.8	148	416.4	0.031
50.6	132	416.4	-0.007
51.4	132	416.4	-0.007
52.2	132	416.4	-0.007
52.9	132	416.4	-0.007
53.8	132	416.4	-0.007
54.6	132	416.4	-0.007
55.3	132	416.4	-0.007
56.3	132	416.4	-0.007
57.1	132	416.4	-0.007
57.9	132	416.4	-0.007
58.8	132	416.4	-0.007
59.6	132	416.4	-0.007
60.3	132	416.4	-0.007
61.1	132	416.4	-0.007
61.8	132	416.4	-0.007
61.8	142	416.4	0.017
61.8	148	416.4	0.031
62.7	132	416.4	-0.007
63.4	132	416.4	-0.007
64.2	132	416.4	-0.007
