t	post_gc_MiB	sum_R_MiB	excess_over_R
1.3	128	433.0	0.042
1.8	130	433.0	0.046
2.5	129	433.0	0.044
3.0	130	433.0	0.046
3.6	126	433.0	0.037
3.9	133	433.0	0.053
4.3	136	433.0	0.060
4.6	139	433.0	0.067
5.0	139	433.0	0.067
5.3	139	433.0	0.067
5.7	139	433.0	0.067
6.1	137	433.0	0.062
6.5	129	433.0	0.044
6.9	126	433.0	0.037
7.4	132	433.0	0.051
7.7	136	433.0	0.060
8.1	136	433.0	0.060
8.4	137	433.0	0.062
8.8	135	433.0	0.058
9.2	135	433.0	0.058
9.6	138	433.0	0.065
10.0	137	433.0	0.062
10.3	128	433.0	0.042
10.6	127	433.0	0.039
11.0	131	433.0	0.048
11.5	127	433.0	0.039
11.9	127	433.0	0.039
12.3	134	433.0	0.055
12.6	137	433.0	0.062
13.0	135	433.0	0.058
13.4	137	433.0	0.062
13.8	141	433.0	0.072
14.1	139	433.0	0.067
14.5	136	433.0	0.060
14.9	137	433.0	0.062
15.2	139	433.0	0.067
15.6	126	433.0	0.037
16.1	128	433.0	0.042
16.2	127	433.0	0.039
16.3	141	433.0	0.072
16.3	141	433.0	0.072
17.1	128	433.0	0.042
17.9	127	433.0	0.039
19.1	126	433.0	0.037
19.9	128	433.0	0.042
