t	component	rss_MiB
2.4	connect	4074
2.4	schema-registry	178
2.4	kafka	1832
2.4	mysql	413
2.4	postgres	648
15.5	connect	6390
15.5	schema-registry	152
15.5	kafka	1794
15.5	mysql	413
15.5	postgres	1329
26.6	connect	5493
26.6	schema-registry	153
26.6	kafka	2029
26.6	mysql	414
26.6	postgres	1457
37.6	connect	5441
37.6	schema-registry	154
37.6	kafka	2031
37.6	mysql	413
37.6	postgres	1474
46.1	connect	5458
46.1	schema-registry	154
46.1	kafka	2032
46.1	mysql	414
46.1	postgres	1489
58.6	connect	2711
58.6	schema-registry	144
58.6	kafka	2033
58.6	mysql	333
58.6	postgres	1411
74.3	connect	2828
74.3	schema-registry	127
74.3	kafka	2032
74.3	mysql	334
74.3	postgres	1379
80.9	connect	1815
80.9	schema-registry	121
80.9	kafka	2033
80.9	mysql	334
80.9	postgres	1276
87.7	connect	1533
87.7	schema-registry	123
87.7	kafka	2033
87.7	mysql	334
87.7	postgres	1142
72.1	connect	1504
72.1	schema-registry	120
72.1	kafka	2033
72.1	mysql	334
72.1	postgres	999
95.4	connect	1504
95.4	schema-registry	121
95.4	kafka	2032
95.4	mysql	335
95.4	postgres	1001
106.5	connect	1453
106.5	schema-registry	118
106.5	kafka	2014
106.5	mysql	335
106.5	postgres	999
117.7	connect	1415
117.7	schema-registry	117
117.7	kafka	2017
117.7	mysql	335
117.7	postgres	1018
130.9	connect	1417
130.9	schema-registry	120
130.9	kafka	2015
130.9	mysql	335
130.9	postgres	1088
141.8	connect	1417
141.8	schema-registry	122
141.8	kafka	2015
141.8	mysql	335
141.8	postgres	1031
149.2	connect	1418
149.2	schema-registry	122
149.2	kafka	2018
149.2	mysql	334
149.2	postgres	1045
157.2	connect	1419
157.2	schema-registry	122
157.2	kafka	2019
157.2	mysql	335
157.2	postgres	899
162.6	connect	1419
162.6	schema-registry	125
162.6	kafka	2018
162.6	mysql	335
162.6	postgres	752
167.1	connect	1419
167.1	schema-registry	125
167.1	kafka	2019
167.1	mysql	336
167.1	postgres	605
