t	component	rss_MiB
1.4	connect	1306
1.4	schema-registry	174
1.4	kafka	2066
1.4	mysql	389
1.4	postgres	277
12.4	connect	1334
12.4	schema-registry	176
12.4	kafka	2068
12.4	mysql	389
12.4	postgres	426
23.7	connect	1335
23.7	schema-registry	178
23.7	kafka	2068
23.7	mysql	389
23.7	postgres	454
34.8	connect	1328
34.8	schema-registry	178
34.8	kafka	2070
34.8	mysql	390
34.8	postgres	427
46.0	connect	1329
46.0	schema-registry	178
46.0	kafka	2121
46.0	mysql	390
46.0	postgres	427
58.0	connect	1329
58.0	schema-registry	181
58.0	kafka	2068
58.0	mysql	390
58.0	postgres	427
