t	table	topic_end	pg_inserted
2.4	b_lob_1	95	0
2.4	b_narrow_1	222790	0
2.4	b_narrow_2	195723	0
2.4	b_narrow_3	169562	0
2.4	b_narrow_4	196628	0
2.4	b_wide_1	40608	0
2.4	b_wide_2	43411	0
2.4	b_wide_3	48248	0
9.1	b_lob_1	556	187
9.1	b_narrow_1	924836	107829
9.1	b_narrow_2	846997	106129
9.1	b_narrow_3	917504	104890
9.1	b_narrow_4	917504	108291
9.1	b_wide_1	147456	51669
9.1	b_wide_2	145070	51775
9.1	b_wide_3	144057	51712
12.2	b_lob_1	889	314
12.2	b_narrow_1	1369571	172453
12.2	b_narrow_2	1275478	171972
12.2	b_narrow_3	1310720	186084
12.2	b_narrow_4	1293520	203170
12.2	b_wide_1	196608	79964
12.2	b_wide_2	196608	74160
12.2	b_wide_3	196608	74502
15.5	b_lob_1	1000	408
15.5	b_narrow_1	1835008	257689
15.5	b_narrow_2	1703936	251794
15.5	b_narrow_3	1835008	250920
15.5	b_narrow_4	1773568	266346
15.5	b_wide_1	267722	107014
15.5	b_wide_2	262144	101511
15.5	b_wide_3	262144	102772
23.3	b_lob_1	1000	622
23.3	b_narrow_1	2398189	419650
23.3	b_narrow_2	2312014	408853
23.3	b_narrow_3	2448031	418865
23.3	b_narrow_4	2258300	429466
23.3	b_wide_1	299420	142198
23.3	b_wide_2	284837	171927
23.3	b_wide_3	303815	156364
26.6	b_lob_1	1000	770
26.6	b_narrow_1	2984047	507113
26.6	b_narrow_2	2832676	496267
26.6	b_narrow_3	2955264	507211
26.6	b_narrow_4	2814976	518160
26.6	b_wide_1	353378	173271
26.6	b_wide_2	341918	196908
26.6	b_wide_3	358835	190421
33.6	b_lob_1	1000	965
33.6	b_narrow_1	3985409	647115
33.6	b_narrow_2	3821712	630730
33.6	b_narrow_3	3964928	640666
33.6	b_narrow_4	3932160	657018
33.6	b_wide_1	497159	220464
33.6	b_wide_2	489423	250913
33.6	b_wide_3	491520	239571
37.6	b_lob_1	1000	973
37.6	b_narrow_1	4610704	688615
37.6	b_narrow_2	4477156	666230
37.6	b_narrow_3	4718592	681166
37.6	b_narrow_4	4524338	694503
37.6	b_wide_1	590531	224393
37.6	b_wide_2	571029	254296
37.6	b_wide_3	566255	243619
43.9	b_lob_1	1000	999
43.9	b_narrow_1	5956717	829790
43.9	b_narrow_2	5898240	820373
43.9	b_narrow_3	6038840	830590
43.9	b_narrow_4	5898240	849001
43.9	b_wide_1	600000	274016
43.9	b_wide_2	600000	300989
43.9	b_wide_3	600000	288761
58.6	b_lob_1	1000	1000
58.6	b_narrow_1	8000000	1319076
58.6	b_narrow_2	8000000	1292056
58.6	b_narrow_3	8000000	1319835
58.6	b_narrow_4	8000000	1330720
58.6	b_wide_1	600000	468261
58.6	b_wide_2	600000	498122
58.6	b_wide_3	600000	483987
72.1	b_lob_1	1000	1000
72.1	b_narrow_1	8000000	1694883
72.1	b_narrow_2	8000000	1673832
72.1	b_narrow_3	8000000	1705948
72.1	b_narrow_4	8000000	1709240
72.1	b_wide_1	600000	589625
72.1	b_wide_2	600000	596486
72.1	b_wide_3	600000	581730
95.4	b_lob_1	1000	1000
95.4	b_narrow_1	8000000	3973672
95.4	b_narrow_2	8000000	3959604
95.4	b_narrow_3	8000000	4001681
95.4	b_narrow_4	8000000	3988010
95.4	b_wide_1	600000	600000
95.4	b_wide_2	600000	600000
95.4	b_wide_3	600000	600000
102.0	b_lob_1	1000	1000
102.0	b_narrow_1	8000000	4402447
102.0	b_narrow_2	8000000	4365973
102.0	b_narrow_3	8000000	4407145
102.0	b_narrow_4	8000000	4406650
102.0	b_wide_1	600000	600000
102.0	b_wide_2	600000	600000
102.0	b_wide_3	600000	600000
106.5	b_lob_1	1000	1000
106.5	b_narrow_1	8000000	4623726
106.5	b_narrow_2	8000000	4581838
106.5	b_narrow_3	8000000	4633276
106.5	b_narrow_4	8000000	4630730
106.5	b_wide_1	600000	600000
106.5	b_wide_2	600000	600000
106.5	b_wide_3	600000	600000
114.1	b_lob_1	1000	1000
114.1	b_narrow_1	8000000	5199426
114.1	b_narrow_2	8000000	5235263
114.1	b_narrow_3	8000000	5211676
114.1	b_narrow_4	8000000	5207589
114.1	b_wide_1	600000	600000
114.1	b_wide_2	600000	600000
114.1	b_wide_3	600000	600000
117.7	b_lob_1	1000	1000
117.7	b_narrow_1	8000000	5516688
117.7	b_narrow_2	8000000	5475876
117.7	b_narrow_3	8000000	5528626
117.7	b_narrow_4	8000000	5527105
117.7	b_wide_1	600000	600000
117.7	b_wide_2	600000	600000
117.7	b_wide_3	600000	600000
124.2	b_lob_1	1000	1000
124.2	b_narrow_1	8000000	6095526
124.2	b_narrow_2	8000000	6043384
124.2	b_narrow_3	8000000	6107582
124.2	b_narrow_4	8000000	6108478
124.2	b_wide_1	600000	600000
124.2	b_wide_2	600000	600000
124.2	b_wide_3	600000	600000
127.5	b_lob_1	1000	1000
127.5	b_narrow_1	8000000	6355074
127.5	b_narrow_2	8000000	6404961
127.5	b_narrow_3	8000000	6370359
127.5	b_narrow_4	8000000	6366346
127.5	b_wide_1	600000	600000
127.5	b_wide_2	600000	600000
127.5	b_wide_3	600000	600000
130.9	b_lob_1	1000	1000
130.9	b_narrow_1	8000000	6764149
130.9	b_narrow_2	8000000	6722480
130.9	b_narrow_3	8000000	6773492
130.9	b_narrow_4	8000000	6768652
130.9	b_wide_1	600000	600000
130.9	b_wide_2	600000	600000
130.9	b_wide_3	600000	600000
137.5	b_lob_1	1000	1000
137.5	b_narrow_1	8000000	7341130
137.5	b_narrow_2	8000000	7395859
137.5	b_narrow_3	8000000	7355271
137.5	b_narrow_4	8000000	7344404
137.5	b_wide_1	600000	600000
137.5	b_wide_2	600000	600000
137.5	b_wide_3	600000	600000
141.8	b_lob_1	1000	1000
141.8	b_narrow_1	8000000	7684407
141.8	b_narrow_2	8000000	7664894
141.8	b_narrow_3	8000000	7703057
141.8	b_narrow_4	8000000	7684707
141.8	b_wide_1	600000	600000
141.8	b_wide_2	600000	600000
141.8	b_wide_3	600000	600000
147.7	b_lob_1	1000	1000
147.7	b_narrow_1	8000000	7923100
147.7	b_narrow_2	8000000	7905192
147.7	b_narrow_3	8000000	7939992
147.7	b_narrow_4	8000000	7920016
147.7	b_wide_1	600000	600000
147.7	b_wide_2	600000	600000
147.7	b_wide_3	600000	600000
