t	table	topic_end	pg_inserted
1.4	b_narrow_1	393216	0
6.1	b_narrow_1	1835008	319244
8.2	b_narrow_1	2508002	562271
10.3	b_narrow_1	3219452	801570
12.4	b_narrow_1	3920360	1165169
17.3	b_narrow_1	5458144	1649609
19.4	b_narrow_1	6160384	2014435
21.5	b_narrow_1	6815744	2249724
23.7	b_narrow_1	7528082	2509868
28.2	b_narrow_1	8000000	3048119
30.4	b_narrow_1	8000000	3467139
32.6	b_narrow_1	8000000	3751014
34.8	b_narrow_1	8000000	4031588
39.2	b_narrow_1	8000000	4550485
41.5	b_narrow_1	8000000	4949656
43.7	b_narrow_1	8000000	5228766
46.0	b_narrow_1	8000000	5500997
50.9	b_narrow_1	8000000	6181122
53.2	b_narrow_1	8000000	6464637
55.6	b_narrow_1	8000000	6862591
58.0	b_narrow_1	8000000	7128002
63.0	b_narrow_1	8000000	7809502
65.3	b_narrow_1	8000000	7951356
