t	event	current_bytes	high_bytes
2.4	memory/temptable/physical_disk	0	0
2.4	memory/temptable/physical_ram	8388864	135792016
2.4	session_temp_tablespace:557	54525952	54525952
2.4	session_temp_tablespace:562	54525952	54525952
2.4	session_temp_tablespace:567	54525952	54525952
2.4	session_temp_tablespace:587	18874368	18874368
2.4	session_temp_tablespace:572	54525952	54525952
2.4	session_temp_tablespace:577	18874368	18874368
2.4	session_temp_tablespace:592	18874368	18874368
2.4	session_temp_tablespace:582	18874368	18874368
2.4	session_temp_tablespace:595	81920	81920
15.5	memory/temptable/physical_disk	0	0
15.5	memory/temptable/physical_ram	8388864	135792016
15.5	session_temp_tablespace:557	54525952	54525952
15.5	session_temp_tablespace:562	54525952	54525952
15.5	session_temp_tablespace:567	54525952	54525952
15.5	session_temp_tablespace:587	18874368	18874368
15.5	session_temp_tablespace:572	54525952	54525952
15.5	session_temp_tablespace:577	18874368	18874368
15.5	session_temp_tablespace:592	18874368	18874368
15.5	session_temp_tablespace:582	18874368	18874368
15.5	session_temp_tablespace:597	81920	81920
26.6	memory/temptable/physical_disk	0	0
26.6	memory/temptable/physical_ram	31457760	135792016
26.6	session_temp_tablespace:557	54525952	54525952
26.6	session_temp_tablespace:562	54525952	54525952
26.6	session_temp_tablespace:567	54525952	54525952
26.6	session_temp_tablespace:587	18874368	18874368
26.6	session_temp_tablespace:572	54525952	54525952
26.6	session_temp_tablespace:577	18874368	18874368
26.6	session_temp_tablespace:592	18874368	18874368
26.6	session_temp_tablespace:582	18874368	18874368
26.6	session_temp_tablespace:599	81920	81920
37.6	memory/temptable/physical_disk	0	0
37.6	memory/temptable/physical_ram	8388864	135792016
37.6	session_temp_tablespace:557	54525952	54525952
37.6	session_temp_tablespace:562	54525952	54525952
37.6	session_temp_tablespace:567	54525952	54525952
37.6	session_temp_tablespace:587	18874368	18874368
37.6	session_temp_tablespace:572	54525952	54525952
37.6	session_temp_tablespace:577	18874368	18874368
37.6	session_temp_tablespace:592	18874368	18874368
37.6	session_temp_tablespace:582	18874368	18874368
37.6	session_temp_tablespace:601	81920	81920
46.1	memory/temptable/physical_disk	0	0
46.1	memory/temptable/physical_ram	8388864	135792016
46.1	session_temp_tablespace:557	54525952	54525952
46.1	session_temp_tablespace:562	54525952	54525952
46.1	session_temp_tablespace:567	54525952	54525952
46.1	session_temp_tablespace:587	18874368	18874368
46.1	session_temp_tablespace:572	54525952	54525952
46.1	session_temp_tablespace:577	18874368	18874368
46.1	session_temp_tablespace:592	18874368	18874368
46.1	session_temp_tablespace:582	18874368	18874368
46.1	session_temp_tablespace:603	81920	81920
58.6	memory/temptable/physical_disk	0	0
58.6	memory/temptable/physical_ram	7340256	135792016
58.6	session_temp_tablespace:557	54525952	54525952
58.6	session_temp_tablespace:562	54525952	54525952
58.6	session_temp_tablespace:567	54525952	54525952
58.6	session_temp_tablespace:587	18874368	18874368
58.6	session_temp_tablespace:577	18874368	18874368
58.6	session_temp_tablespace:592	18874368	18874368
58.6	session_temp_tablespace:582	18874368	18874368
58.6	session_temp_tablespace:606	81920	81920
74.3	memory/temptable/physical_disk	0	0
74.3	memory/temptable/physical_ram	7340256	135792016
74.3	session_temp_tablespace:557	54525952	54525952
74.3	session_temp_tablespace:562	54525952	54525952
74.3	session_temp_tablespace:567	54525952	54525952
74.3	session_temp_tablespace:587	18874368	18874368
74.3	session_temp_tablespace:577	18874368	18874368
74.3	session_temp_tablespace:592	18874368	18874368
74.3	session_temp_tablespace:582	18874368	18874368
74.3	session_temp_tablespace:608	81920	81920
80.9	memory/temptable/physical_disk	0	0
80.9	memory/temptable/physical_ram	6291648	135792016
80.9	session_temp_tablespace:557	54525952	54525952
80.9	session_temp_tablespace:562	54525952	54525952
80.9	session_temp_tablespace:587	18874368	18874368
80.9	session_temp_tablespace:577	18874368	18874368
80.9	session_temp_tablespace:592	18874368	18874368
80.9	session_temp_tablespace:582	18874368	18874368
80.9	session_temp_tablespace:609	81920	81920
87.7	memory/temptable/physical_disk	0	0
87.7	memory/temptable/physical_ram	5243040	135792016
87.7	session_temp_tablespace:557	54525952	54525952
87.7	session_temp_tablespace:587	18874368	18874368
87.7	session_temp_tablespace:577	18874368	18874368
87.7	session_temp_tablespace:592	18874368	18874368
87.7	session_temp_tablespace:582	18874368	18874368
87.7	session_temp_tablespace:611	81920	81920
72.1	memory/temptable/physical_disk	0	0
72.1	memory/temptable/physical_ram	4194432	135792016
72.1	session_temp_tablespace:587	18874368	18874368
72.1	session_temp_tablespace:577	18874368	18874368
72.1	session_temp_tablespace:592	18874368	18874368
72.1	session_temp_tablespace:582	18874368	18874368
72.1	session_temp_tablespace:613	81920	81920
95.4	memory/temptable/physical_disk	0	0
95.4	memory/temptable/physical_ram	4194432	135792016
95.4	session_temp_tablespace:587	18874368	18874368
95.4	session_temp_tablespace:577	18874368	18874368
95.4	session_temp_tablespace:592	18874368	18874368
95.4	session_temp_tablespace:582	18874368	18874368
95.4	session_temp_tablespace:614	81920	81920
106.5	memory/temptable/physical_disk	0	0
106.5	memory/temptable/physical_ram	4194432	135792016
106.5	session_temp_tablespace:587	18874368	18874368
106.5	session_temp_tablespace:577	18874368	18874368
106.5	session_temp_tablespace:592	18874368	18874368
