t	event	current_bytes	high_bytes
1.4	memory/temptable/physical_disk	0	0
1.4	memory/temptable/physical_ram	1048608	17825984
1.4	session_temp_tablespace:466	18874368	18874368
1.4	session_temp_tablespace:468	81920	81920
12.4	memory/temptable/physical_disk	0	0
12.4	memory/temptable/physical_ram	1048608	17825984
12.4	session_temp_tablespace:466	18874368	18874368
12.4	session_temp_tablespace:471	81920	81920
23.7	memory/temptable/physical_disk	0	0
23.7	memory/temptable/physical_ram	1048608	17825984
23.7	session_temp_tablespace:466	18874368	18874368
23.7	session_temp_tablespace:473	81920	81920
34.8	memory/temptable/physical_disk	0	0
34.8	memory/temptable/physical_ram	1048608	17825984
34.8	session_temp_tablespace:466	18874368	18874368
34.8	session_temp_tablespace:475	81920	81920
46.0	memory/temptable/physical_disk	0	0
46.0	memory/temptable/physical_ram	1048608	17825984
46.0	session_temp_tablespace:466	18874368	18874368
46.0	session_temp_tablespace:477	81920	81920
58.0	memory/temptable/physical_disk	0	0
58.0	memory/temptable/physical_ram	1048608	17825984
58.0	session_temp_tablespace:466	18874368	18874368
58.0	session_temp_tablespace:479	81920	81920
