2.5	projo-list-7159-api-1	0.00%	89.71MiB / 15.6GiB
2.5	local-env-connect-1	638.22%	5.847GiB / 15.6GiB
2.5	local-env-schema-registry-1	0.41%	185.7MiB / 15.6GiB
2.5	local-env-kafka-1	88.85%	1.961GiB / 15.6GiB
2.5	local-env-mysql-1	116.11%	564.1MiB / 15.6GiB
2.5	local-env-postgres-1	139.54%	195.2MiB / 15.6GiB
16.0	projo-list-8974-web-1	0.83%	11.66MiB / 15.6GiB
16.0	projo-list-8974-api-1	2.82%	78.85MiB / 15.6GiB
16.0	local-env-connect-1	621.77%	4.135GiB / 15.6GiB
16.0	local-env-schema-registry-1	1.08%	187MiB / 15.6GiB
16.0	local-env-kafka-1	58.28%	2.095GiB / 15.6GiB
16.0	local-env-mysql-1	127.81%	470.4MiB / 15.6GiB
16.0	local-env-postgres-1	129.67%	296.4MiB / 15.6GiB
27.0	projo-list-8974-api-1	0.00%	97.52MiB / 15.6GiB
27.0	local-env-connect-1	565.59%	6.135GiB / 15.6GiB
27.0	local-env-schema-registry-1	1.38%	195.5MiB / 15.6GiB
27.0	local-env-kafka-1	163.13%	2.32GiB / 15.6GiB
27.0	local-env-mysql-1	158.45%	448.6MiB / 15.6GiB
27.0	local-env-postgres-1	168.54%	285.9MiB / 15.6GiB
38.6	local-env-connect-1	481.03%	5.781GiB / 15.6GiB
38.6	local-env-schema-registry-1	0.34%	179.5MiB / 15.6GiB
38.6	local-env-kafka-1	197.01%	2.239GiB / 15.6GiB
38.6	local-env-mysql-1	140.40%	460.5MiB / 15.6GiB
38.6	local-env-postgres-1	82.69%	288MiB / 15.6GiB
54.9	local-env-connect-1	537.20%	5.926GiB / 15.6GiB
54.9	local-env-schema-registry-1	0.32%	155.1MiB / 15.6GiB
54.9	local-env-kafka-1	55.70%	2.719GiB / 15.6GiB
54.9	local-env-mysql-1	71.03%	477.1MiB / 15.6GiB
54.9	local-env-postgres-1	269.13%	341.4MiB / 15.6GiB
51.9	local-env-connect-1	125.28%	5.927GiB / 15.6GiB
51.9	local-env-schema-registry-1	0.35%	157.1MiB / 15.6GiB
51.9	local-env-kafka-1	5.96%	2.075GiB / 15.6GiB
51.9	local-env-mysql-1	3.64%	437.4MiB / 15.6GiB
51.9	local-env-postgres-1	217.09%	308.7MiB / 15.6GiB
68.3	projo-list-11493-web-1	0.03%	11.14MiB / 15.6GiB
68.3	projo-list-11493-api-1	23.44%	173.1MiB / 15.6GiB
68.3	local-env-connect-1	105.31%	5.928GiB / 15.6GiB
