1.5	local-env-connect-1	212.66%	1.179GiB / 15.6GiB
1.5	local-env-schema-registry-1	1.76%	175.6MiB / 15.6GiB
1.5	local-env-kafka-1	147.90%	2.276GiB / 15.6GiB
1.5	local-env-mysql-1	26.56%	444.3MiB / 15.6GiB
1.5	local-env-postgres-1	23.15%	231.8MiB / 15.6GiB
13.3	local-env-connect-1	145.56%	1.197GiB / 15.6GiB
13.3	local-env-schema-registry-1	0.51%	176.5MiB / 15.6GiB
13.3	local-env-kafka-1	95.97%	2.224GiB / 15.6GiB
13.3	local-env-mysql-1	29.51%	444MiB / 15.6GiB
13.3	local-env-postgres-1	49.76%	238.8MiB / 15.6GiB
23.6	local-env-connect-1	146.27%	1.214GiB / 15.6GiB
23.6	local-env-schema-registry-1	0.47%	177.1MiB / 15.6GiB
23.6	local-env-kafka-1	126.12%	2.161GiB / 15.6GiB
23.6	local-env-mysql-1	26.04%	444.4MiB / 15.6GiB
23.6	local-env-postgres-1	48.79%	241.8MiB / 15.6GiB
34.8	projo-list-493-web-1	0.00%	21.19MiB / 15.6GiB
34.8	projo-list-493-api-1	0.01%	80.25MiB / 15.6GiB
34.8	local-env-connect-1	44.25%	1.229GiB / 15.6GiB
34.8	local-env-schema-registry-1	0.25%	178.1MiB / 15.6GiB
34.8	local-env-kafka-1	108.42%	2.297GiB / 15.6GiB
34.8	local-env-mysql-1	0.81%	445.3MiB / 15.6GiB
34.8	local-env-postgres-1	53.36%	246.3MiB / 15.6GiB
44.8	projo-list-493-api-1	0.00%	48.54MiB / 15.6GiB
44.8	local-env-connect-1	38.98%	1.233GiB / 15.6GiB
44.8	local-env-schema-registry-1	0.28%	178.8MiB / 15.6GiB
44.8	local-env-kafka-1	1.12%	2.172GiB / 15.6GiB
44.8	local-env-mysql-1	0.72%	445.1MiB / 15.6GiB
44.8	local-env-postgres-1	48.96%	255.3MiB / 15.6GiB
57.0	local-env-connect-1	43.53%	1.236GiB / 15.6GiB
57.0	local-env-schema-registry-1	0.25%	180MiB / 15.6GiB
57.0	local-env-kafka-1	24.44%	2.214GiB / 15.6GiB
57.0	local-env-mysql-1	0.84%	445.9MiB / 15.6GiB
57.0	local-env-postgres-1	63.34%	258.8MiB / 15.6GiB
69.1	local-env-connect-1	42.47%	1.242GiB / 15.6GiB
69.1	local-env-schema-registry-1	0.30%	180.2MiB / 15.6GiB
69.1	local-env-kafka-1	92.32%	2.189GiB / 15.6GiB
69.1	local-env-mysql-1	0.75%	445.8MiB / 15.6GiB
69.1	local-env-postgres-1	51.46%	266.9MiB / 15.6GiB
