t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.8	222	3475.6	0.034	0
2.0	369	3475.6	0.077	0
2.1	371	3475.6	0.077	0
2.1	553	3475.6	0.129	0
2.3	579	3475.6	0.137	0
2.6	679	3475.6	0.166	0
2.7	803	3475.6	0.201	0
2.7	650	3475.6	0.157	0
2.7	644	3475.6	0.156	0
3.1	774	3475.6	0.193	0
3.2	814	3475.6	0.205	0
3.2	886	3475.6	0.225	0
3.2	660	3475.6	0.160	0
3.3	569	3475.6	0.134	0
3.5	652	3475.6	0.158	0
3.7	805	3475.6	0.202	0
3.9	860	3475.6	0.218	0
3.9	974	3475.6	0.251	0
4.0	1105	3475.6	0.288	0
4.2	1218	3475.6	0.321	0
4.3	1250	3475.6	0.330	0
4.4	1392	3475.6	0.371	0
4.4	1425	3475.6	0.380	0
4.6	1491	3475.6	0.399	0
4.7	1258	3475.6	0.332	0
4.7	1363	3475.6	0.363	0
4.8	1185	3475.6	0.311	0
4.9	1041	3475.6	0.270	0
5.1	1064	3475.6	0.276	0
5.4	1156	3475.6	0.303	0
5.7	1222	3475.6	0.322	0
5.8	1287	3475.6	0.341	0
6.2	1400	3475.6	0.373	0
6.7	1525	3475.6	0.409	0
7.0	1724	3475.6	0.466	0
7.3	1763	3475.6	0.478	0
7.6	1944	3475.6	0.530	0
8.0	2099	3475.6	0.574	0
8.3	2158	3475.6	0.591	0
8.5	2246	3475.6	0.617	0
8.7	2413	3475.6	0.665	0
8.8	2479	3475.6	0.684	0
8.9	2513	3475.6	0.693	0
8.9	2594	3475.6	0.717	0
9.0	2697	3475.6	0.746	0
9.3	2760	3475.6	0.764	0
9.3	2811	3475.6	0.779	0
9.4	2867	3475.6	0.795	0
9.4	2909	3475.6	0.807	0
9.5	2949	3475.6	0.819	0
9.6	2999	3475.6	0.833	0
9.7	3114	3475.6	0.866	0
9.8	3197	3475.6	0.890	0
9.9	3282	3475.6	0.915	0
9.9	3344	3475.6	0.933	0
10.0	3423	3475.6	0.955	0
10.1	3547	3475.6	0.991	0
10.2	3623	3475.6	1.013	0
10.4	3705	3475.6	1.036	0
10.5	3770	3475.6	1.055	0
10.6	3942	3475.6	1.105	0
10.8	4075	3475.6	1.143	0
10.9	4166	3475.6	1.169	0
11.2	4241	3475.6	1.191	0
11.2	4333	3475.6	1.217	0
11.3	4399	3475.6	1.236	0
11.4	4444	3475.6	1.249	0
11.4	2244	3475.6	0.616	0
11.5	2504	3475.6	0.691	0
11.6	2288	3475.6	0.629	0
11.6	2018	3475.6	0.551	0
11.7	1644	3475.6	0.443	0
11.8	1265	3475.6	0.334	0
12.0	1419	3475.6	0.379	0
12.3	1524	3475.6	0.409	0
12.6	1564	3475.6	0.420	0
13.0	1782	3475.6	0.483	0
13.3	2016	3475.6	0.550	0
13.7	2150	3475.6	0.589	0
14.2	2400	3475.6	0.661	0
14.5	2572	3475.6	0.710	0
14.9	2646	3475.6	0.732	0
15.2	2803	3475.6	0.777	0
15.5	2792	3475.6	0.774	0
15.8	2691	3475.6	0.745	0
16.2	2867	3475.6	0.795	0
16.5	3076	3475.6	0.855	0
16.9	3074	3475.6	0.855	0
17.3	3223	3475.6	0.898	0
17.8	3488	3475.6	0.974	0
18.0	3549	3475.6	0.991	0
18.1	3587	3475.6	1.002	0
18.1	3625	3475.6	1.013	0
18.2	3660	3475.6	1.023	0
18.3	3706	3475.6	1.037	0
18.3	3828	3475.6	1.072	0
18.3	3922	3475.6	1.099	0
19.0	3954	3475.6	1.108	0
19.2	4033	3475.6	1.131	0
19.3	4054	3475.6	1.137	0
19.4	4062	3475.6	1.139	0
