t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
0.9	175	511.0	0.141	0
1.1	241	511.0	0.270	0
1.3	172	511.0	0.135	0
1.5	258	511.0	0.303	0
1.6	329	511.0	0.442	0
1.8	403	511.0	0.587	0
1.9	437	511.0	0.654	0
1.9	579	511.0	0.932	0
1.9	449	511.0	0.677	0
1.9	462	511.0	0.703	0
2.1	557	511.0	0.888	0
2.1	479	511.0	0.736	0
2.2	624	511.0	1.020	0
2.3	377	511.0	0.536	0
2.3	377	511.0	0.536	0
2.4	432	511.0	0.644	0
2.4	424	511.0	0.628	0
2.5	509	511.0	0.795	0
2.7	524	511.0	0.824	0
2.8	504	511.0	0.785	0
3.0	496	511.0	0.769	0
3.1	510	511.0	0.796	0
3.3	512	511.0	0.800	0
3.4	560	511.0	0.894	0
3.5	536	511.0	0.847	0
3.6	634	511.0	1.039	0
3.7	585	511.0	0.943	0
3.8	722	511.0	1.211	0
3.9	724	511.0	1.215	0
3.9	793	511.0	1.350	0
3.9	866	511.0	1.493	0
4.0	897	511.0	1.554	0
4.1	926	511.0	1.611	0
4.4	1001	511.0	1.757	0
4.5	1076	511.0	1.904	0
4.7	1113	511.0	1.977	0
4.8	1126	511.0	2.002	0
5.0	1162	511.0	2.072	0
5.2	1178	511.0	2.104	0
5.3	1142	511.0	2.033	0
5.4	1188	511.0	2.123	0
5.5	1296	511.0	2.335	0
5.6	1235	511.0	2.215	0
5.9	1239	511.0	2.223	0
6.2	1238	511.0	2.221	0
6.5	1238	511.0	2.221	0
6.9	1236	511.0	2.217	0
7.2	1238	511.0	2.221	0
7.6	1242	511.0	2.229	0
7.9	1236	511.0	2.217	0
8.3	1235	511.0	2.215	0
8.6	1236	511.0	2.217	0
9.1	1236	511.0	2.217	0
9.6	1236	511.0	2.217	0
10.1	1239	511.0	2.223	0
10.4	1236	511.0	2.217	0
