t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.3	120	416.4	0.041	0
1.7	118	416.4	0.036	0
2.1	117	416.4	0.034	0
2.5	118	416.4	0.036	0
2.9	120	416.4	0.041	0
3.3	120	416.4	0.041	0
3.8	125	416.4	0.053	0
4.1	119	416.4	0.038	0
4.4	122	416.4	0.046	0
4.7	123	416.4	0.048	0
5.1	120	416.4	0.041	0
5.4	126	416.4	0.055	0
5.7	126	416.4	0.055	0
6.0	120	416.4	0.041	0
6.2	125	416.4	0.053	0
6.5	127	416.4	0.058	0
6.8	119	416.4	0.038	0
7.1	123	416.4	0.048	0
7.5	124	416.4	0.050	0
7.8	124	416.4	0.050	0
8.0	125	416.4	0.053	0
8.3	126	416.4	0.055	0
8.7	127	416.4	0.058	0
8.9	125	416.4	0.053	0
9.2	124	416.4	0.050	0
9.6	123	416.4	0.048	0
9.8	124	416.4	0.050	0
10.1	122	416.4	0.046	0
10.4	124	416.4	0.050	0
10.6	124	416.4	0.050	0
10.9	123	416.4	0.048	0
11.2	125	416.4	0.053	0
11.4	123	416.4	0.048	0
11.8	124	416.4	0.050	0
12.1	123	416.4	0.048	0
12.4	124	416.4	0.050	0
12.7	123	416.4	0.048	0
13.0	122	416.4	0.046	0
13.2	123	416.4	0.048	0
13.5	125	416.4	0.053	0
13.8	126	416.4	0.055	0
14.0	125	416.4	0.053	0
14.4	124	416.4	0.050	0
14.7	124	416.4	0.050	0
14.9	124	416.4	0.050	0
15.3	123	416.4	0.048	0
15.6	124	416.4	0.050	0
15.9	125	416.4	0.053	0
16.2	123	416.4	0.048	0
16.5	126	416.4	0.055	0
16.8	127	416.4	0.058	0
17.1	126	416.4	0.055	0
17.3	119	416.4	0.038	1
17.6	130	416.4	0.065	0
17.9	128	416.4	0.060	0
18.1	124	416.4	0.050	0
18.4	130	416.4	0.065	0
18.8	130	416.4	0.065	0
19.1	124	416.4	0.050	0
19.4	127	416.4	0.058	0
19.8	127	416.4	0.058	0
20.1	125	416.4	0.053	0
20.4	130	416.4	0.065	0
20.7	130	416.4	0.065	0
21.1	130	416.4	0.065	0
21.4	128	416.4	0.060	0
21.8	127	416.4	0.058	0
22.2	128	416.4	0.060	0
22.6	128	416.4	0.060	0
22.9	128	416.4	0.060	0
23.2	129	416.4	0.062	0
23.7	129	416.4	0.062	0
23.9	128	416.4	0.060	0
24.4	127	416.4	0.058	0
24.9	128	416.4	0.060	0
25.3	125	416.4	0.053	0
25.6	130	416.4	0.065	0
26.0	128	416.4	0.060	0
26.4	128	416.4	0.060	0
26.6	130	416.4	0.065	0
27.0	131	416.4	0.067	0
27.4	129	416.4	0.062	0
27.6	128	416.4	0.060	0
28.0	127	416.4	0.058	0
28.4	129	416.4	0.062	0
28.5	121	416.4	0.043	1
29.0	130	416.4	0.065	0
29.3	131	416.4	0.067	0
30.4	128	416.4	0.060	0
31.5	128	416.4	0.060	0
32.4	128	416.4	0.060	0
33.3	128	416.4	0.060	0
34.2	128	416.4	0.060	0
35.2	128	416.4	0.060	0
36.4	128	416.4	0.060	0
37.4	127	416.4	0.058	0
38.3	127	416.4	0.058	0
39.0	118	416.4	0.036	1
39.8	123	416.4	0.048	0
40.7	123	416.4	0.048	0
41.6	123	416.4	0.048	0
42.4	123	416.4	0.048	0
43.3	123	416.4	0.048	0
44.2	123	416.4	0.048	0
45.0	123	416.4	0.048	0
45.9	123	416.4	0.048	0
46.8	123	416.4	0.048	0
47.6	123	416.4	0.048	0
48.6	123	416.4	0.048	0
48.8	119	416.4	0.038	1
49.7	123	416.4	0.048	0
50.6	123	416.4	0.048	0
51.6	123	416.4	0.048	0
52.4	123	416.4	0.048	0
53.2	123	416.4	0.048	0
54.1	123	416.4	0.048	0
54.9	123	416.4	0.048	0
55.7	123	416.4	0.048	0
56.6	123	416.4	0.048	0
57.4	123	416.4	0.048	0
58.2	123	416.4	0.048	0
59.1	123	416.4	0.048	0
59.9	123	416.4	0.048	0
60.6	119	416.4	0.038	1
61.5	123	416.4	0.048	0
62.3	123	416.4	0.048	0
63.1	123	416.4	0.048	0
63.9	123	416.4	0.048	0
64.8	123	416.4	0.048	0
65.7	123	416.4	0.048	0
66.5	123	416.4	0.048	0
67.5	123	416.4	0.048	0
68.5	123	416.4	0.048	0
69.4	123	416.4	0.048	0
70.4	123	416.4	0.048	0
71.3	123	416.4	0.048	0
72.1	123	416.4	0.048	0
72.5	119	416.4	0.038	1
73.4	123	416.4	0.048	0
74.2	123	416.4	0.048	0
79.6	119	416.4	0.038	0
