t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.3	123	433.0	0.046	0
1.9	123	433.0	0.046	0
2.6	123	433.0	0.046	0
3.1	121	433.0	0.042	0
3.7	132	433.0	0.067	0
4.1	124	433.0	0.048	0
4.4	121	433.0	0.042	0
4.7	130	433.0	0.062	0
5.1	129	433.0	0.060	0
5.4	131	433.0	0.065	0
5.8	134	433.0	0.072	0
6.2	133	433.0	0.069	0
6.5	134	433.0	0.072	0
6.9	133	433.0	0.069	0
7.2	124	433.0	0.048	0
7.5	127	433.0	0.055	0
7.9	133	433.0	0.069	0
8.2	134	433.0	0.072	0
8.6	133	433.0	0.069	0
9.0	132	433.0	0.067	0
9.3	134	433.0	0.072	0
9.7	134	433.0	0.072	0
10.0	132	433.0	0.067	0
10.4	123	433.0	0.046	0
10.7	122	433.0	0.044	0
11.1	128	433.0	0.058	0
11.5	130	433.0	0.062	0
11.8	129	433.0	0.060	0
12.2	132	433.0	0.067	0
12.5	132	433.0	0.067	0
13.0	134	433.0	0.072	0
13.3	136	433.0	0.076	0
13.7	135	433.0	0.074	0
14.1	132	433.0	0.067	0
14.4	125	433.0	0.051	0
14.7	127	433.0	0.055	0
15.1	135	433.0	0.074	0
15.2	125	433.0	0.051	1
15.8	134	433.0	0.072	0
16.6	134	433.0	0.072	0
17.5	133	433.0	0.069	0
18.7	135	433.0	0.074	0
19.6	135	433.0	0.074	0
