t	component	rss_MiB
2.5	connect	4242
2.5	schema-registry	177
2.5	kafka	1824
2.5	mysql	462
2.5	postgres	678
16.0	connect	6552
16.0	schema-registry	172
16.0	kafka	1959
16.0	mysql	413
16.0	postgres	1231
27.0	connect	5785
27.0	schema-registry	174
27.0	kafka	2114
27.0	mysql	414
27.0	postgres	1372
38.6	connect	5982
38.6	schema-registry	170
38.6	kafka	2083
38.6	mysql	414
38.6	postgres	1448
54.9	connect	6027
54.9	schema-registry	136
54.9	kafka	2162
54.9	mysql	415
54.9	postgres	1463
51.9	connect	6021
51.9	schema-registry	137
51.9	kafka	2079
51.9	mysql	401
51.9	postgres	1324
68.3	connect	6021
68.3	schema-registry	137
68.3	kafka	2080
68.3	mysql	401
68.3	postgres	1344
81.6	connect	1473
81.6	schema-registry	138
81.6	kafka	2079
81.6	mysql	401
81.6	postgres	1405
90.2	connect	1475
90.2	schema-registry	138
90.2	kafka	2082
90.2	mysql	402
90.2	postgres	1257
95.7	connect	1476
95.7	schema-registry	139
95.7	kafka	2080
95.7	mysql	402
95.7	postgres	1110
79.3	connect	1487
79.3	schema-registry	140
79.3	kafka	2081
79.3	mysql	402
79.3	postgres	962
103.5	connect	1487
103.5	schema-registry	140
103.5	kafka	2080
103.5	mysql	402
103.5	postgres	962
116.1	connect	1487
116.1	schema-registry	140
116.1	kafka	2081
116.1	mysql	403
116.1	postgres	967
128.8	connect	1463
128.8	schema-registry	140
128.8	kafka	2081
128.8	mysql	403
128.8	postgres	998
141.4	connect	1464
141.4	schema-registry	141
141.4	kafka	2081
141.4	mysql	403
141.4	postgres	1018
149.6	connect	1464
149.6	schema-registry	141
149.6	kafka	2082
149.6	mysql	403
149.6	postgres	1018
155.4	connect	1464
155.4	schema-registry	141
155.4	kafka	2084
155.4	mysql	404
155.4	postgres	870
163.1	connect	1463
163.1	schema-registry	141
163.1	kafka	2082
163.1	mysql	404
163.1	postgres	722
170.5	connect	1464
170.5	schema-registry	141
170.5	kafka	2083
170.5	mysql	405
170.5	postgres	633
161.8	connect	1463
161.8	schema-registry	141
161.8	kafka	2082
161.8	mysql	405
161.8	postgres	485
