t	component	rss_MiB
1.5	connect	1161
1.5	schema-registry	173
1.5	kafka	2031
1.5	mysql	365
1.5	postgres	286
13.3	connect	1202
13.3	schema-registry	174
13.3	kafka	2031
13.3	mysql	365
13.3	postgres	433
23.6	connect	1219
23.6	schema-registry	175
23.6	kafka	2031
23.6	mysql	366
23.6	postgres	433
34.8	connect	1235
34.8	schema-registry	176
34.8	kafka	2037
34.8	mysql	366
34.8	postgres	433
44.8	connect	1240
44.8	schema-registry	177
44.8	kafka	2036
44.8	mysql	366
44.8	postgres	448
57.0	connect	1242
57.0	schema-registry	178
57.0	kafka	2035
57.0	mysql	366
57.0	postgres	454
69.1	connect	1248
69.1	schema-registry	178
69.1	kafka	2036
69.1	mysql	366
69.1	postgres	434
