t	table	topic_end	pg_inserted
2.5	b_lob_1	157	9
2.5	b_narrow_1	85304	0
2.5	b_narrow_2	109420	0
2.5	b_narrow_3	121489	0
2.5	b_narrow_4	130557	0
2.5	b_wide_1	31509	0
2.5	b_wide_2	34561	0
2.5	b_wide_3	34456	0
12.0	b_lob_1	586	170
12.0	b_narrow_1	786432	120110
12.0	b_narrow_2	786432	111624
12.0	b_narrow_3	874930	111498
12.0	b_narrow_4	823967	111695
12.0	b_wide_1	137000	46791
12.0	b_wide_2	137596	48305
12.0	b_wide_3	131072	47663
16.0	b_lob_1	924	250
16.0	b_narrow_1	1304640	192895
16.0	b_narrow_2	1301113	157696
16.0	b_narrow_3	1415123	160744
16.0	b_narrow_4	1295463	161244
16.0	b_wide_1	180224	64530
16.0	b_wide_2	196608	63853
16.0	b_wide_3	180224	63102
27.0	b_lob_1	1000	436
27.0	b_narrow_1	2283993	359951
27.0	b_narrow_2	2141372	331940
27.0	b_narrow_3	2253735	330668
27.0	b_narrow_4	2123209	334675
27.0	b_wide_1	290148	131987
27.0	b_wide_2	290842	121963
27.0	b_wide_3	283489	130755
34.8	b_lob_1	1000	630
34.8	b_narrow_1	3495155	498954
34.8	b_narrow_2	3348555	462312
34.8	b_narrow_3	3407872	469644
34.8	b_narrow_4	3277950	472787
34.8	b_wide_1	430037	187476
34.8	b_wide_2	434023	170409
34.8	b_wide_3	426883	185362
38.6	b_lob_1	1000	727
38.6	b_narrow_1	4100138	543788
38.6	b_narrow_2	3904512	525464
38.6	b_narrow_3	3987097	517727
38.6	b_narrow_4	3873178	517287
38.6	b_wide_1	497428	209300
38.6	b_wide_2	500554	189922
38.6	b_wide_3	499625	210477
46.1	b_lob_1	1000	861
46.1	b_narrow_1	5563370	671524
46.1	b_narrow_2	5472257	657701
46.1	b_narrow_3	5491388	648078
46.1	b_narrow_4	5263175	651454
46.1	b_wide_1	600000	246047
46.1	b_wide_2	600000	223819
46.1	b_wide_3	600000	248079
51.9	b_lob_1	1000	970
51.9	b_narrow_1	6983287	842502
51.9	b_narrow_2	6901353	830408
51.9	b_narrow_3	6887220	813268
