t	table	topic_end	pg_inserted
1.5	b_narrow_1	393216	0
6.4	b_narrow_1	1835008	362134
8.7	b_narrow_1	2490368	572498
11.0	b_narrow_1	3211118	802249
13.3	b_narrow_1	3932160	1128980
18.5	b_narrow_1	5426649	1646342
20.9	b_narrow_1	6160384	1881538
23.6	b_narrow_1	6830871	2021135
29.9	b_narrow_1	8000000	2484487
32.5	b_narrow_1	8000000	2838903
34.8	b_narrow_1	8000000	3060796
40.2	b_narrow_1	8000000	3650385
42.5	b_narrow_1	8000000	4027360
44.8	b_narrow_1	8000000	4288470
50.0	b_narrow_1	8000000	4898634
52.3	b_narrow_1	8000000	5149190
54.7	b_narrow_1	8000000	5548451
57.0	b_narrow_1	8000000	5817219
61.8	b_narrow_1	8000000	6456244
64.2	b_narrow_1	8000000	6726059
66.5	b_narrow_1	8000000	7094271
69.1	b_narrow_1	8000000	7314589
73.7	b_narrow_1	8000000	7946720
76.1	b_narrow_1	8000000	7946720
