t	event	current_bytes	high_bytes
2.5	memory/temptable/physical_disk	0	0
2.5	memory/temptable/physical_ram	11534656	135792016
2.5	session_temp_tablespace:781	54525952	54525952
2.5	session_temp_tablespace:770	54525952	54525952
2.5	session_temp_tablespace:775	54525952	54525952
2.5	session_temp_tablespace:786	54525952	54525952
2.5	session_temp_tablespace:796	18874368	18874368
2.5	session_temp_tablespace:791	18874368	18874368
2.5	session_temp_tablespace:806	18874368	18874368
2.5	session_temp_tablespace:801	18874368	18874368
2.5	session_temp_tablespace:808	81920	81920
16.0	memory/temptable/physical_disk	0	0
16.0	memory/temptable/physical_ram	8388864	135792016
16.0	session_temp_tablespace:781	54525952	54525952
16.0	session_temp_tablespace:770	54525952	54525952
16.0	session_temp_tablespace:775	54525952	54525952
16.0	session_temp_tablespace:786	54525952	54525952
16.0	session_temp_tablespace:796	18874368	18874368
16.0	session_temp_tablespace:791	18874368	18874368
16.0	session_temp_tablespace:806	18874368	18874368
16.0	session_temp_tablespace:801	18874368	18874368
16.0	session_temp_tablespace:811	81920	81920
27.0	memory/temptable/physical_disk	0	0
27.0	memory/temptable/physical_ram	8388864	135792016
27.0	session_temp_tablespace:781	54525952	54525952
27.0	session_temp_tablespace:770	54525952	54525952
27.0	session_temp_tablespace:775	54525952	54525952
27.0	session_temp_tablespace:786	54525952	54525952
27.0	session_temp_tablespace:796	18874368	18874368
27.0	session_temp_tablespace:791	18874368	18874368
27.0	session_temp_tablespace:806	18874368	18874368
27.0	session_temp_tablespace:801	18874368	18874368
27.0	session_temp_tablespace:813	81920	81920
38.6	memory/temptable/physical_disk	0	0
38.6	memory/temptable/physical_ram	8388864	135792016
38.6	session_temp_tablespace:781	54525952	54525952
38.6	session_temp_tablespace:770	54525952	54525952
38.6	session_temp_tablespace:775	54525952	54525952
38.6	session_temp_tablespace:786	54525952	54525952
38.6	session_temp_tablespace:796	18874368	18874368
38.6	session_temp_tablespace:791	18874368	18874368
38.6	session_temp_tablespace:806	18874368	18874368
38.6	session_temp_tablespace:801	18874368	18874368
38.6	session_temp_tablespace:815	81920	81920
