t	event	current_bytes	high_bytes
1.5	memory/temptable/physical_disk	0	0
1.5	memory/temptable/physical_ram	1048608	17825984
1.5	session_temp_tablespace:677	18874368	18874368
1.5	session_temp_tablespace:680	81920	81920
13.3	memory/temptable/physical_disk	0	0
13.3	memory/temptable/physical_ram	1048608	17825984
13.3	session_temp_tablespace:677	18874368	18874368
13.3	session_temp_tablespace:682	81920	81920
23.6	memory/temptable/physical_disk	0	0
23.6	memory/temptable/physical_ram	1048608	17825984
23.6	session_temp_tablespace:677	18874368	18874368
23.6	session_temp_tablespace:684	81920	81920
34.8	memory/temptable/physical_disk	0	0
34.8	memory/temptable/physical_ram	1048608	17825984
34.8	session_temp_tablespace:677	18874368	18874368
34.8	session_temp_tablespace:686	81920	81920
44.8	memory/temptable/physical_disk	0	0
44.8	memory/temptable/physical_ram	1048608	17825984
44.8	session_temp_tablespace:677	18874368	18874368
44.8	session_temp_tablespace:688	81920	81920
57.0	memory/temptable/physical_disk	0	0
57.0	memory/temptable/physical_ram	1048608	17825984
57.0	session_temp_tablespace:677	18874368	18874368
57.0	session_temp_tablespace:690	81920	81920
69.1	memory/temptable/physical_disk	0	0
69.1	memory/temptable/physical_ram	1048608	17825984
69.1	session_temp_tablespace:677	18874368	18874368
69.1	session_temp_tablespace:692	81920	81920
