t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
0.9	181	511.0	0.153	0
1.0	233	511.0	0.254	0
1.3	166	511.0	0.123	0
1.5	258	511.0	0.303	0
1.6	325	511.0	0.434	0
1.7	421	511.0	0.622	0
1.9	463	511.0	0.705	0
1.9	573	511.0	0.920	0
2.0	614	511.0	1.000	0
2.0	675	511.0	1.119	0
2.0	725	511.0	1.217	0
2.2	757	511.0	1.280	0
2.2	789	511.0	1.342	0
2.2	814	511.0	1.391	0
2.5	909	511.0	1.577	0
2.9	840	511.0	1.442	0
3.2	928	511.0	1.614	0
3.6	999	511.0	1.753	0
3.8	955	511.0	1.667	0
4.2	892	511.0	1.544	0
4.5	869	511.0	1.499	0
4.9	871	511.0	1.503	0
5.3	921	511.0	1.601	0
5.7	880	511.0	1.521	0
6.5	871	511.0	1.503	0
7.4	869	511.0	1.499	0
8.3	869	511.0	1.499	0
9.1	867	511.0	1.495	0
9.4	147	511.0	0.086	1
9.4	148	511.0	0.088	0
9.4	172	511.0	0.135	0
9.4	180	511.0	0.151	0
9.8	172	511.0	0.135	0
10.2	172	511.0	0.135	0
10.6	172	511.0	0.135	0
11.0	176	511.0	0.143	0
