t	event	current_bytes	high_bytes
1.4	memory/temptable/physical_disk	0	0
1.4	memory/temptable/physical_ram	1048608	18350384
1.4	session_temp_tablespace:875	54525952	54525952
1.4	session_temp_tablespace:877	81920	81920
6.3	memory/temptable/physical_disk	0	0
6.3	memory/temptable/physical_ram	1048608	18350384
6.3	session_temp_tablespace:875	54525952	54525952
6.3	session_temp_tablespace:879	81920	81920
10.5	memory/temptable/physical_disk	0	0
10.5	memory/temptable/physical_ram	0	18350384
10.5	session_temp_tablespace:881	81920	81920
