1.4	local-env-connect-1	394.08%	1.152GiB / 7.748GiB
1.4	local-env-kafka-1	28.67%	571.4MiB / 7.748GiB
1.4	local-env-schema-registry-1	16.53%	370.9MiB / 7.748GiB
1.4	local-env-mysql-1	21.20%	589.1MiB / 7.748GiB
1.4	local-env-postgres-1	27.50%	89MiB / 7.748GiB
11.9	local-env-connect-1	153.26%	1.161GiB / 7.748GiB
11.9	local-env-kafka-1	17.59%	1003MiB / 7.748GiB
11.9	local-env-schema-registry-1	0.44%	370.8MiB / 7.748GiB
11.9	local-env-mysql-1	26.39%	589.7MiB / 7.748GiB
11.9	local-env-postgres-1	50.96%	219.6MiB / 7.748GiB
22.7	local-env-connect-1	162.23%	1.165GiB / 7.748GiB
22.7	local-env-kafka-1	8.81%	1.027GiB / 7.748GiB
22.7	local-env-schema-registry-1	0.45%	371.5MiB / 7.748GiB
22.7	local-env-mysql-1	19.70%	589.2MiB / 7.748GiB
22.7	local-env-postgres-1	51.93%	229.4MiB / 7.748GiB
33.0	local-env-connect-1	44.22%	1.174GiB / 7.748GiB
33.0	local-env-kafka-1	1.61%	1.022GiB / 7.748GiB
33.0	local-env-schema-registry-1	0.57%	371.7MiB / 7.748GiB
33.0	local-env-mysql-1	2.14%	589.6MiB / 7.748GiB
33.0	local-env-postgres-1	56.22%	243MiB / 7.748GiB
44.2	local-env-connect-1	42.37%	1.175GiB / 7.748GiB
44.2	local-env-kafka-1	1.25%	1.021GiB / 7.748GiB
44.2	local-env-schema-registry-1	0.33%	373MiB / 7.748GiB
44.2	local-env-mysql-1	0.70%	503.8MiB / 7.748GiB
44.2	local-env-postgres-1	54.44%	251MiB / 7.748GiB
55.8	local-env-connect-1	44.16%	1.175GiB / 7.748GiB
55.8	local-env-kafka-1	2.35%	995.6MiB / 7.748GiB
55.8	local-env-schema-registry-1	0.36%	280.1MiB / 7.748GiB
55.8	local-env-mysql-1	0.63%	504.4MiB / 7.748GiB
55.8	local-env-postgres-1	52.05%	379.5MiB / 7.748GiB
