t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.2	281	2226.4	0.081	0
1.2	329	2226.4	0.102	0
1.4	364	2226.4	0.118	0
1.4	770	2226.4	0.300	0
1.5	785	2226.4	0.307	0
1.6	670	2226.4	0.256	0
1.6	714	2226.4	0.275	0
1.8	740	2226.4	0.287	0
1.8	894	2226.4	0.356	0
1.9	946	2226.4	0.380	0
2.1	818	2226.4	0.322	0
2.1	805	2226.4	0.316	0
2.2	804	2226.4	0.316	0
2.2	812	2226.4	0.319	0
2.2	838	2226.4	0.331	0
2.4	785	2226.4	0.307	0
2.5	804	2226.4	0.316	0
2.6	874	2226.4	0.347	0
2.6	898	2226.4	0.358	0
2.6	958	2226.4	0.385	0
2.7	806	2226.4	0.317	0
2.7	796	2226.4	0.312	0
2.9	901	2226.4	0.359	0
3.0	930	2226.4	0.372	0
3.1	972	2226.4	0.391	0
3.2	1058	2226.4	0.430	0
3.3	1148	2226.4	0.470	0
3.4	1057	2226.4	0.429	0
3.4	1169	2226.4	0.480	0
3.4	986	2226.4	0.398	0
3.5	843	2226.4	0.333	0
3.6	1040	2226.4	0.422	0
3.8	1093	2226.4	0.446	0
3.8	1096	2226.4	0.447	0
3.8	1108	2226.4	0.452	0
3.8	1109	2226.4	0.453	0
4.0	1190	2226.4	0.489	0
4.2	1277	2226.4	0.528	0
4.3	1203	2226.4	0.495	0
4.3	1341	2226.4	0.557	0
4.4	918	2226.4	0.367	0
4.4	904	2226.4	0.361	0
4.8	1157	2226.4	0.474	0
4.8	1163	2226.4	0.477	0
4.9	1192	2226.4	0.490	0
4.9	1394	2226.4	0.581	0
5.0	1533	2226.4	0.643	0
5.2	972	2226.4	0.391	0
5.2	932	2226.4	0.373	0
5.5	1049	2226.4	0.426	0
5.5	1054	2226.4	0.428	0
5.6	1272	2226.4	0.526	0
5.6	1368	2226.4	0.569	0
5.8	810	2226.4	0.318	0
5.8	847	2226.4	0.335	0
6.1	1023	2226.4	0.414	0
6.1	1029	2226.4	0.417	0
6.2	923	2226.4	0.369	0
6.2	1010	2226.4	0.408	0
6.4	570	2226.4	0.211	0
6.5	503	2226.4	0.181	0
6.8	606	2226.4	0.227	0
6.9	631	2226.4	0.238	0
7.2	637	2226.4	0.241	0
7.5	824	2226.4	0.325	0
7.5	720	2226.4	0.278	0
7.5	878	2226.4	0.349	0
7.8	497	2226.4	0.178	0
7.8	444	2226.4	0.154	0
8.2	552	2226.4	0.203	0
8.2	574	2226.4	0.212	0
8.3	894	2226.4	0.356	0
8.3	1103	2226.4	0.450	0
8.5	669	2226.4	0.255	0
8.6	636	2226.4	0.240	0
8.9	891	2226.4	0.355	0
9.0	925	2226.4	0.370	0
9.0	927	2226.4	0.371	0
9.0	933	2226.4	0.374	0
9.0	933	2226.4	0.374	0
9.0	1108	2226.4	0.452	0
9.1	1176	2226.4	0.483	0
9.3	654	2226.4	0.248	0
9.3	656	2226.4	0.249	0
9.5	914	2226.4	0.365	0
9.5	898	2226.4	0.358	0
9.6	774	2226.4	0.302	0
9.6	868	2226.4	0.345	0
9.7	381	2226.4	0.126	0
9.7	392	2226.4	0.131	0
9.9	436	2226.4	0.150	0
10.1	408	2226.4	0.138	0
10.2	912	2226.4	0.364	0
10.2	1018	2226.4	0.412	0
10.4	453	2226.4	0.158	0
10.5	420	2226.4	0.143	0
10.7	514	2226.4	0.186	0
10.7	516	2226.4	0.186	0
10.8	558	2226.4	0.205	0
10.8	632	2226.4	0.239	0
11.0	326	2226.4	0.101	0
11.0	288	2226.4	0.084	0
11.2	324	2226.4	0.100	0
11.2	322	2226.4	0.099	0
11.3	426	2226.4	0.146	0
11.3	555	2226.4	0.204	0
11.5	335	2226.4	0.105	0
11.5	324	2226.4	0.100	0
11.7	457	2226.4	0.160	0
11.7	458	2226.4	0.160	0
11.7	636	2226.4	0.240	0
11.8	735	2226.4	0.285	0
11.9	565	2226.4	0.208	0
11.9	531	2226.4	0.193	0
12.1	625	2226.4	0.235	0
12.1	630	2226.4	0.238	0
12.2	626	2226.4	0.236	0
12.2	660	2226.4	0.251	0
12.4	656	2226.4	0.249	0
12.5	602	2226.4	0.225	0
12.5	598	2226.4	0.223	0
12.5	568	2226.4	0.210	0
12.6	599	2226.4	0.224	0
12.9	623	2226.4	0.234	0
12.9	577	2226.4	0.214	0
12.9	602	2226.4	0.225	0
13.0	615	2226.4	0.231	0
13.0	730	2226.4	0.283	0
13.2	627	2226.4	0.236	0
13.2	574	2226.4	0.212	0
13.2	571	2226.4	0.211	0
13.3	774	2226.4	0.302	0
13.3	955	2226.4	0.384	0
13.4	653	2226.4	0.248	0
13.4	608	2226.4	0.228	0
13.4	608	2226.4	0.228	0
13.5	693	2226.4	0.266	0
13.5	790	2226.4	0.309	0
13.8	641	2226.4	0.243	0
13.8	606	2226.4	0.227	0
13.8	613	2226.4	0.230	0
13.9	607	2226.4	0.227	0
13.9	727	2226.4	0.281	0
14.3	689	2226.4	0.264	0
14.3	600	2226.4	0.224	0
14.3	597	2226.4	0.223	0
14.4	649	2226.4	0.246	0
14.4	783	2226.4	0.306	0
14.7	671	2226.4	0.256	0
14.7	610	2226.4	0.229	0
14.8	637	2226.4	0.241	0
14.9	656	2226.4	0.249	0
14.9	830	2226.4	0.327	0
15.2	707	2226.4	0.272	0
15.2	635	2226.4	0.240	0
15.2	630	2226.4	0.238	0
15.3	643	2226.4	0.243	0
15.3	756	2226.4	0.294	0
15.7	661	2226.4	0.252	0
15.7	632	2226.4	0.239	0
15.7	625	2226.4	0.235	0
15.8	667	2226.4	0.254	0
15.9	737	2226.4	0.286	0
16.2	654	2226.4	0.248	0
16.2	564	2226.4	0.208	0
16.2	560	2226.4	0.206	0
16.2	513	2226.4	0.185	0
16.3	552	2226.4	0.203	0
16.4	465	2226.4	0.163	0
16.4	404	2226.4	0.136	0
16.4	410	2226.4	0.139	0
16.5	566	2226.4	0.209	0
16.5	608	2226.4	0.228	0
16.7	386	2226.4	0.128	0
16.7	376	2226.4	0.124	0
16.9	414	2226.4	0.141	0
16.9	505	2226.4	0.181	0
17.0	611	2226.4	0.229	0
17.1	356	2226.4	0.115	0
17.2	324	2226.4	0.100	0
17.3	359	2226.4	0.116	0
17.3	472	2226.4	0.167	0
17.3	535	2226.4	0.195	0
17.5	379	2226.4	0.125	0
17.5	334	2226.4	0.105	0
17.5	346	2226.4	0.110	0
17.5	441	2226.4	0.153	0
17.6	553	2226.4	0.203	0
17.7	384	2226.4	0.127	0
17.7	361	2226.4	0.117	0
17.7	359	2226.4	0.116	0
17.7	362	2226.4	0.117	0
17.8	472	2226.4	0.167	0
17.8	570	2226.4	0.211	0
18.0	386	2226.4	0.128	0
18.0	367	2226.4	0.119	0
18.2	398	2226.4	0.133	0
18.2	396	2226.4	0.133	0
18.2	476	2226.4	0.168	0
18.2	558	2226.4	0.205	0
18.4	363	2226.4	0.118	0
18.4	341	2226.4	0.108	0
18.6	428	2226.4	0.147	0
18.6	422	2226.4	0.144	0
18.7	724	2226.4	0.280	0
