t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
0.7	208	511.0	0.209	0
0.8	117	511.0	0.031	0
0.8	217	511.0	0.227	0
0.9	265	511.0	0.321	0
1.0	155	511.0	0.106	0
1.0	235	511.0	0.262	0
1.1	121	511.0	0.039	0
1.2	267	511.0	0.325	0
1.3	203	511.0	0.200	0
1.4	159	511.0	0.114	0
1.6	127	511.0	0.051	0
1.6	276	511.0	0.342	0
1.7	200	511.0	0.194	0
1.9	159	511.0	0.114	0
2.0	127	511.0	0.051	0
2.0	271	511.0	0.333	0
2.2	199	511.0	0.192	0
2.3	153	511.0	0.102	0
2.5	118	511.0	0.033	0
2.5	269	511.0	0.329	0
2.6	191	511.0	0.176	0
2.7	151	511.0	0.098	0
2.9	117	511.0	0.031	0
2.9	261	511.0	0.313	0
3.0	193	511.0	0.180	0
3.1	396	511.0	0.577	0
3.1	397	511.0	0.579	0
3.5	179	511.0	0.153	0
3.7	139	511.0	0.074	0
3.8	271	511.0	0.333	0
3.9	145	511.0	0.086	0
3.9	271	511.0	0.333	0
4.0	141	511.0	0.078	0
4.0	229	511.0	0.250	0
4.1	279	511.0	0.348	0
4.2	141	511.0	0.078	0
4.2	265	511.0	0.321	0
4.3	141	511.0	0.078	0
4.3	255	511.0	0.301	0
4.4	193	511.0	0.180	0
4.5	207	511.0	0.207	0
4.5	315	511.0	0.419	0
4.6	145	511.0	0.086	0
4.6	269	511.0	0.329	0
4.7	131	511.0	0.059	0
4.8	229	511.0	0.250	0
4.8	241	511.0	0.274	0
4.9	175	511.0	0.145	0
4.9	311	511.0	0.411	0
5.0	141	511.0	0.078	0
5.2	207	511.0	0.207	0
5.3	141	511.0	0.078	0
5.4	141	511.0	0.078	0
5.6	143	511.0	0.082	0
5.8	141	511.0	0.078	0
6.0	133	511.0	0.063	0
6.2	141	511.0	0.078	0
6.4	143	511.0	0.082	0
6.7	143	511.0	0.082	0
7.0	141	511.0	0.078	0
7.2	143	511.0	0.082	0
7.5	131	511.0	0.059	0
8.0	143	511.0	0.082	0
8.3	139	511.0	0.074	0
8.5	141	511.0	0.078	0
8.8	142	511.0	0.080	0
9.0	144	511.0	0.084	0
9.2	132	511.0	0.061	0
9.4	144	511.0	0.084	0
9.6	140	511.0	0.076	0
9.9	142	511.0	0.080	0
10.0	142	511.0	0.080	0
10.2	144	511.0	0.084	0
10.4	132	511.0	0.061	0
10.6	144	511.0	0.084	0
10.8	140	511.0	0.076	0
10.9	142	511.0	0.080	0
11.1	142	511.0	0.080	0
11.3	144	511.0	0.084	0
