t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.3	118	416.4	0.043	0
1.8	120	416.4	0.048	0
2.2	120	416.4	0.048	0
2.6	118	416.4	0.043	0
3.0	117	416.4	0.041	0
3.3	117	416.4	0.041	0
3.8	123	416.4	0.055	0
4.1	118	416.4	0.043	0
4.4	122	416.4	0.053	0
4.7	122	416.4	0.053	0
4.9	118	416.4	0.043	0
5.1	124	416.4	0.058	0
5.4	120	416.4	0.048	0
5.7	118	416.4	0.043	0
6.0	120	416.4	0.048	0
6.3	120	416.4	0.048	0
6.6	119	416.4	0.046	0
6.8	122	416.4	0.053	0
7.1	125	416.4	0.060	0
7.4	122	416.4	0.053	0
7.6	122	416.4	0.053	0
7.9	121	416.4	0.050	0
8.2	119	416.4	0.046	0
8.4	124	416.4	0.058	0
8.7	121	416.4	0.050	0
9.0	123	416.4	0.055	0
9.2	124	416.4	0.058	0
9.5	122	416.4	0.053	0
9.8	123	416.4	0.055	0
10.0	123	416.4	0.055	0
10.3	121	416.4	0.050	0
10.7	123	416.4	0.055	0
10.9	120	416.4	0.048	0
11.2	121	416.4	0.050	0
11.5	123	416.4	0.055	0
11.7	123	416.4	0.055	0
12.0	120	416.4	0.048	0
12.3	121	416.4	0.050	0
12.5	118	416.4	0.043	0
12.9	121	416.4	0.050	0
13.2	122	416.4	0.053	0
13.4	117	416.4	0.041	0
13.7	121	416.4	0.050	0
14.0	123	416.4	0.055	0
14.2	118	416.4	0.043	0
14.4	120	416.4	0.048	0
14.7	121	416.4	0.050	0
14.9	118	416.4	0.043	0
15.2	122	416.4	0.053	0
15.5	122	416.4	0.053	0
15.7	117	416.4	0.041	0
16.0	121	416.4	0.050	0
16.3	120	416.4	0.048	0
16.5	118	416.4	0.043	0
16.8	122	416.4	0.053	0
17.1	123	416.4	0.055	0
17.4	118	416.4	0.043	0
17.6	123	416.4	0.055	0
17.9	121	416.4	0.050	0
18.1	117	416.4	0.041	0
18.4	124	416.4	0.058	0
18.7	120	416.4	0.048	0
18.9	122	416.4	0.053	0
19.2	122	416.4	0.053	0
19.5	123	416.4	0.055	0
19.6	122	416.4	0.053	0
19.9	121	416.4	0.050	0
20.2	121	416.4	0.050	0
20.4	123	416.4	0.055	0
20.7	125	416.4	0.060	0
21.0	121	416.4	0.050	0
21.2	121	416.4	0.050	0
21.4	122	416.4	0.053	0
21.7	122	416.4	0.053	0
21.9	125	416.4	0.060	0
22.2	123	416.4	0.055	0
22.5	119	416.4	0.046	0
22.7	120	416.4	0.048	0
23.0	123	416.4	0.055	0
23.3	118	416.4	0.043	0
23.5	120	416.4	0.048	0
23.8	122	416.4	0.053	0
24.1	118	416.4	0.043	0
24.3	123	416.4	0.055	0
24.6	120	416.4	0.048	0
24.8	117	416.4	0.041	0
25.0	120	416.4	0.048	0
25.3	124	416.4	0.058	0
25.5	118	416.4	0.043	0
26.3	117	416.4	0.041	0
27.1	117	416.4	0.041	0
27.9	117	416.4	0.041	0
28.7	117	416.4	0.041	0
29.4	117	416.4	0.041	0
30.2	117	416.4	0.041	0
30.9	116	416.4	0.038	0
31.8	116	416.4	0.038	0
32.6	116	416.4	0.038	0
33.4	116	416.4	0.038	0
34.2	116	416.4	0.038	0
35.0	116	416.4	0.038	0
35.9	116	416.4	0.038	0
36.7	116	416.4	0.038	0
37.5	116	416.4	0.038	0
38.3	117	416.4	0.041	0
39.2	116	416.4	0.038	0
40.1	116	416.4	0.038	0
40.9	116	416.4	0.038	0
41.7	116	416.4	0.038	0
42.6	116	416.4	0.038	0
43.4	116	416.4	0.038	0
44.2	116	416.4	0.038	0
45.0	116	416.4	0.038	0
45.8	116	416.4	0.038	0
46.6	116	416.4	0.038	0
47.4	116	416.4	0.038	0
48.2	116	416.4	0.038	0
48.9	116	416.4	0.038	0
49.7	116	416.4	0.038	0
50.6	116	416.4	0.038	0
51.4	116	416.4	0.038	0
52.2	116	416.4	0.038	0
53.1	116	416.4	0.038	0
53.8	116	416.4	0.038	0
54.6	116	416.4	0.038	0
55.4	116	416.4	0.038	0
56.2	117	416.4	0.041	0
57.0	116	416.4	0.038	0
57.8	116	416.4	0.038	0
58.6	116	416.4	0.038	0
59.4	116	416.4	0.038	0
60.2	116	416.4	0.038	0
61.0	116	416.4	0.038	0
61.8	116	416.4	0.038	0
62.6	116	416.4	0.038	0
63.4	116	416.4	0.038	0
