t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.4	124	433.0	0.055	0
2.0	120	433.0	0.046	0
2.7	122	433.0	0.051	0
3.3	116	433.0	0.037	0
3.9	128	433.0	0.065	0
4.2	119	433.0	0.044	0
4.5	120	433.0	0.046	0
4.9	128	433.0	0.065	0
5.3	130	433.0	0.069	0
5.7	130	433.0	0.069	0
6.0	133	433.0	0.076	0
6.4	130	433.0	0.069	0
6.8	130	433.0	0.069	0
7.2	130	433.0	0.069	0
7.5	131	433.0	0.072	0
7.9	132	433.0	0.074	0
8.3	131	433.0	0.072	0
8.7	120	433.0	0.046	0
9.0	119	433.0	0.044	0
9.3	124	433.0	0.055	0
9.7	127	433.0	0.062	0
10.1	129	433.0	0.067	0
10.5	129	433.0	0.067	0
10.9	131	433.0	0.072	0
11.3	130	433.0	0.069	0
11.6	128	433.0	0.065	0
12.0	131	433.0	0.072	0
12.4	132	433.0	0.074	0
12.8	130	433.0	0.069	0
13.2	128	433.0	0.065	0
13.6	128	433.0	0.065	0
14.0	123	433.0	0.053	0
14.3	117	433.0	0.039	0
14.7	122	433.0	0.051	0
15.1	127	433.0	0.062	0
15.5	131	433.0	0.072	0
15.9	122	433.0	0.051	0
16.8	118	433.0	0.042	0
17.7	119	433.0	0.044	0
18.7	120	433.0	0.046	0
19.6	120	433.0	0.046	0
20.6	120	433.0	0.046	0
