t	component	rss_MiB
1.4	connect	1178
1.4	kafka	520
1.4	schema-registry	288
1.4	mysql	535
1.4	postgres	69
11.9	connect	1205
11.9	kafka	912
11.9	schema-registry	292
11.9	mysql	535
11.9	postgres	217
22.7	connect	1209
22.7	kafka	1020
22.7	schema-registry	292
22.7	mysql	535
22.7	postgres	264
33.0	connect	1219
33.0	kafka	1017
33.0	schema-registry	292
33.0	mysql	535
33.0	postgres	324
44.2	connect	1219
44.2	kafka	1017
44.2	schema-registry	292
44.2	mysql	535
44.2	postgres	329
55.8	connect	1219
55.8	kafka	1018
55.8	schema-registry	292
55.8	mysql	535
55.8	postgres	339
