t	table	topic_end	pg_inserted
2.1	b_lob_1	80	0
2.1	b_narrow_1	0	0
2.1	b_narrow_2	0	0
2.1	b_narrow_3	0	0
2.1	b_narrow_4	215501	0
2.1	b_wide_1	35929	0
2.1	b_wide_2	32601	0
2.1	b_wide_3	35691	0
7.6	b_lob_1	768	195
7.6	b_narrow_1	0	0
7.6	b_narrow_2	0	0
7.6	b_narrow_3	0	0
7.6	b_narrow_4	1179648	130710
7.6	b_wide_1	169103	49534
7.6	b_wide_2	161634	49223
7.6	b_wide_3	160257	59672
10.9	b_lob_1	1000	351
10.9	b_narrow_1	0	0
10.9	b_narrow_2	0	0
10.9	b_narrow_3	0	0
10.9	b_narrow_4	1758188	240261
10.9	b_wide_1	234291	91858
10.9	b_wide_2	229361	91525
10.9	b_wide_3	218558	89176
13.8	b_lob_1	1000	420
13.8	b_narrow_1	0	0
13.8	b_narrow_2	0	0
13.8	b_narrow_3	0	0
13.8	b_narrow_4	2153699	361684
13.8	b_wide_1	265840	137912
13.8	b_wide_2	262770	136713
13.8	b_wide_3	244780	128597
19.6	b_lob_1	1000	684
19.6	b_narrow_1	0	0
19.6	b_narrow_2	0	0
19.6	b_narrow_3	0	0
19.6	b_narrow_4	3329938	524788
19.6	b_wide_1	404859	201321
19.6	b_wide_2	391262	207693
19.6	b_wide_3	366122	200447
22.5	b_lob_1	1000	755
22.5	b_narrow_1	0	0
22.5	b_narrow_2	0	0
22.5	b_narrow_3	0	0
22.5	b_narrow_4	4063232	655784
22.5	b_wide_1	500169	221754
22.5	b_wide_2	488192	220434
22.5	b_wide_3	458752	226117
25.5	b_lob_1	1000	924
25.5	b_narrow_1	0	0
25.5	b_narrow_2	0	0
25.5	b_narrow_3	0	0
25.5	b_narrow_4	4816171	770998
25.5	b_wide_1	589824	269283
25.5	b_wide_2	573633	280534
25.5	b_wide_3	549923	272013
31.4	b_lob_1	1000	988
31.4	b_narrow_1	0	0
31.4	b_narrow_2	0	0
31.4	b_narrow_3	0	0
31.4	b_narrow_4	6553600	1109187
31.4	b_wide_1	600000	395138
31.4	b_wide_2	600000	388926
31.4	b_wide_3	600000	402364
40.3	b_lob_1	1000	1000
40.3	b_narrow_1	873940	15500
40.3	b_narrow_2	0	0
40.3	b_narrow_3	872010	33000
40.3	b_narrow_4	8000000	1605362
40.3	b_wide_1	600000	571763
40.3	b_wide_2	600000	571787
40.3	b_wide_3	600000	568994
51.8	b_lob_1	1000	1000
51.8	b_narrow_1	2867212	528837
51.8	b_narrow_2	0	0
51.8	b_narrow_3	2833929	528597
51.8	b_narrow_4	8000000	2054897
51.8	b_wide_1	600000	594016
51.8	b_wide_2	600000	593414
51.8	b_wide_3	600000	595358
72.4	b_lob_1	1000	1000
72.4	b_narrow_1	8000000	2342486
72.4	b_narrow_2	1322572	184123
72.4	b_narrow_3	8000000	2322233
72.4	b_narrow_4	8000000	3807720
72.4	b_wide_1	600000	600000
72.4	b_wide_2	600000	600000
72.4	b_wide_3	600000	600000
78.3	b_lob_1	1000	1000
78.3	b_narrow_1	8000000	2852011
78.3	b_narrow_2	3145728	691595
78.3	b_narrow_3	8000000	2823606
78.3	b_narrow_4	8000000	4308104
78.3	b_wide_1	600000	600000
78.3	b_wide_2	600000	600000
78.3	b_wide_3	600000	600000
81.2	b_lob_1	1000	1000
81.2	b_narrow_1	8000000	3140155
81.2	b_narrow_2	4063232	972417
81.2	b_narrow_3	8000000	3107299
81.2	b_narrow_4	8000000	4591048
81.2	b_wide_1	600000	600000
81.2	b_wide_2	600000	600000
81.2	b_wide_3	600000	600000
84.2	b_lob_1	1000	1000
84.2	b_narrow_1	8000000	3464642
84.2	b_narrow_2	5012689	1299137
84.2	b_narrow_3	8000000	3429095
84.2	b_narrow_4	8000000	4913499
84.2	b_wide_1	600000	600000
84.2	b_wide_2	600000	600000
84.2	b_wide_3	600000	600000
89.9	b_lob_1	1000	1000
89.9	b_narrow_1	8000000	4042476
89.9	b_narrow_2	6815744	1861659
89.9	b_narrow_3	8000000	3998190
89.9	b_narrow_4	8000000	5485252
89.9	b_wide_1	600000	600000
89.9	b_wide_2	600000	600000
89.9	b_wide_3	600000	600000
93.0	b_lob_1	1000	1000
93.0	b_narrow_1	8000000	4290772
93.0	b_narrow_2	7604878	2110009
93.0	b_narrow_3	8000000	4252287
93.0	b_narrow_4	8000000	5739525
93.0	b_wide_1	600000	600000
93.0	b_wide_2	600000	600000
93.0	b_wide_3	600000	600000
96.0	b_lob_1	1000	1000
96.0	b_narrow_1	8000000	4608020
96.0	b_narrow_2	8000000	2445663
96.0	b_narrow_3	8000000	4572082
96.0	b_narrow_4	8000000	6066259
96.0	b_wide_1	600000	600000
96.0	b_wide_2	600000	600000
96.0	b_wide_3	600000	600000
101.8	b_lob_1	1000	1000
101.8	b_narrow_1	8000000	5249880
101.8	b_narrow_2	8000000	3076342
101.8	b_narrow_3	8000000	5199330
101.8	b_narrow_4	8000000	6696672
101.8	b_wide_1	600000	600000
101.8	b_wide_2	600000	600000
101.8	b_wide_3	600000	600000
105.2	b_lob_1	1000	1000
105.2	b_narrow_1	8000000	5584295
105.2	b_narrow_2	8000000	3323877
105.2	b_narrow_3	8000000	5448438
105.2	b_narrow_4	8000000	6944139
105.2	b_wide_1	600000	600000
105.2	b_wide_2	600000	600000
105.2	b_wide_3	600000	600000
108.7	b_lob_1	1000	1000
108.7	b_narrow_1	8000000	5902249
108.7	b_narrow_2	8000000	3742185
108.7	b_narrow_3	8000000	5860715
108.7	b_narrow_4	8000000	7358048
108.7	b_wide_1	600000	600000
108.7	b_wide_2	600000	600000
108.7	b_wide_3	600000	600000
114.8	b_lob_1	1000	1000
114.8	b_narrow_1	8000000	6573331
114.8	b_narrow_2	8000000	4305146
114.8	b_narrow_3	8000000	6524859
114.8	b_narrow_4	8000000	7913059
114.8	b_wide_1	600000	600000
114.8	b_wide_2	600000	600000
114.8	b_wide_3	600000	600000
124.3	b_lob_1	1000	1000
124.3	b_narrow_1	8000000	7651860
124.3	b_narrow_2	8000000	5490171
124.3	b_narrow_3	8000000	7602339
124.3	b_narrow_4	8000000	8000000
124.3	b_wide_1	600000	600000
124.3	b_wide_2	600000	600000
124.3	b_wide_3	600000	600000
130.0	b_lob_1	1000	1000
130.0	b_narrow_1	8000000	7998117
130.0	b_narrow_2	8000000	6257617
130.0	b_narrow_3	8000000	7955286
130.0	b_narrow_4	8000000	8000000
130.0	b_wide_1	600000	600000
130.0	b_wide_2	600000	600000
130.0	b_wide_3	600000	600000
142.4	b_lob_1	1000	1000
142.4	b_narrow_1	8000000	8000000
142.4	b_narrow_2	8000000	7881503
142.4	b_narrow_3	8000000	8000000
142.4	b_narrow_4	8000000	8000000
142.4	b_wide_1	600000	600000
142.4	b_wide_2	600000	600000
142.4	b_wide_3	600000	600000
147.2	b_lob_1	1000	1000
147.2	b_narrow_1	8000000	8000000
147.2	b_narrow_2	8000000	7881503
147.2	b_narrow_3	8000000	8000000
147.2	b_narrow_4	8000000	8000000
147.2	b_wide_1	600000	600000
147.2	b_wide_2	600000	600000
147.2	b_wide_3	600000	600000
