t	table	topic_end	pg_inserted
1.4	b_narrow_1	321315	0
5.5	b_narrow_1	1588857	288930
7.7	b_narrow_1	2295920	530788
9.8	b_narrow_1	3014656	781527
11.9	b_narrow_1	3670016	1002479
16.4	b_narrow_1	5127334	1633820
18.6	b_narrow_1	5849832	1904457
20.7	b_narrow_1	6553600	2180921
22.7	b_narrow_1	7220377	2447243
26.4	b_narrow_1	8000000	2860029
28.6	b_narrow_1	8000000	3284507
30.8	b_narrow_1	8000000	3573342
33.0	b_narrow_1	8000000	3841796
37.4	b_narrow_1	8000000	4386037
39.6	b_narrow_1	8000000	4769203
41.9	b_narrow_1	8000000	5041150
44.2	b_narrow_1	8000000	5316096
48.9	b_narrow_1	8000000	6015455
51.2	b_narrow_1	8000000	6288655
53.5	b_narrow_1	8000000	6700498
55.8	b_narrow_1	8000000	6976111
60.6	b_narrow_1	8000000	7672387
62.9	b_narrow_1	8000000	7945841
