t	event	current_bytes	high_bytes
2.1	memory/temptable/physical_disk	0	0
2.1	memory/temptable/physical_ram	20971808	85459888
2.1	session_temp_tablespace:123	54525952	54525952
2.1	session_temp_tablespace:128	54525952	54525952
2.1	session_temp_tablespace:133	54525952	54525952
2.1	session_temp_tablespace:138	54525952	54525952
2.1	session_temp_tablespace:143	18874368	18874368
2.1	session_temp_tablespace:146	81920	81920
13.8	memory/temptable/physical_disk	0	0
13.8	memory/temptable/physical_ram	5243040	85459888
13.8	session_temp_tablespace:123	54525952	54525952
13.8	session_temp_tablespace:128	54525952	54525952
13.8	session_temp_tablespace:133	54525952	54525952
13.8	session_temp_tablespace:138	54525952	54525952
13.8	session_temp_tablespace:143	18874368	18874368
13.8	session_temp_tablespace:148	81920	81920
25.5	memory/temptable/physical_disk	0	0
25.5	memory/temptable/physical_ram	5243040	85459888
25.5	session_temp_tablespace:123	54525952	54525952
25.5	session_temp_tablespace:128	54525952	54525952
25.5	session_temp_tablespace:133	54525952	54525952
25.5	session_temp_tablespace:138	54525952	54525952
25.5	session_temp_tablespace:143	18874368	18874368
25.5	session_temp_tablespace:150	81920	81920
33.5	memory/temptable/physical_disk	0	0
33.5	memory/temptable/physical_ram	5243040	85459888
33.5	session_temp_tablespace:123	54525952	54525952
33.5	session_temp_tablespace:128	54525952	54525952
33.5	session_temp_tablespace:133	54525952	54525952
33.5	session_temp_tablespace:138	54525952	54525952
33.5	session_temp_tablespace:143	18874368	18874368
33.5	session_temp_tablespace:151	81920	81920
40.3	memory/temptable/physical_disk	0	0
40.3	memory/temptable/physical_ram	6291648	101712864
40.3	session_temp_tablespace:123	54525952	54525952
40.3	session_temp_tablespace:128	54525952	54525952
40.3	session_temp_tablespace:133	54525952	54525952
40.3	session_temp_tablespace:143	18874368	18874368
40.3	session_temp_tablespace:156	18874368	18874368
40.3	session_temp_tablespace:161	18874368	18874368
40.3	session_temp_tablespace:164	81920	81920
53.8	memory/temptable/physical_disk	0	0
53.8	memory/temptable/physical_ram	6291648	101712864
53.8	session_temp_tablespace:123	54525952	54525952
53.8	session_temp_tablespace:128	54525952	54525952
53.8	session_temp_tablespace:133	54525952	54525952
53.8	session_temp_tablespace:143	18874368	18874368
53.8	session_temp_tablespace:156	18874368	18874368
53.8	session_temp_tablespace:161	18874368	18874368
53.8	session_temp_tablespace:165	81920	81920
57.9	memory/temptable/physical_disk	0	0
57.9	memory/temptable/physical_ram	5243040	101712864
57.9	session_temp_tablespace:123	54525952	54525952
57.9	session_temp_tablespace:128	54525952	54525952
57.9	session_temp_tablespace:143	18874368	18874368
57.9	session_temp_tablespace:156	18874368	18874368
57.9	session_temp_tablespace:161	18874368	18874368
57.9	session_temp_tablespace:167	81920	81920
63.7	memory/temptable/physical_disk	0	0
63.7	memory/temptable/physical_ram	4194432	101712864
63.7	session_temp_tablespace:123	54525952	54525952
63.7	session_temp_tablespace:143	18874368	18874368
63.7	session_temp_tablespace:156	18874368	18874368
63.7	session_temp_tablespace:161	18874368	18874368
63.7	session_temp_tablespace:168	81920	81920
51.8	memory/temptable/physical_disk	0	0
51.8	memory/temptable/physical_ram	4194432	101712864
51.8	session_temp_tablespace:143	18874368	18874368
51.8	session_temp_tablespace:156	18874368	18874368
51.8	session_temp_tablespace:161	18874368	18874368
51.8	session_temp_tablespace:173	18874368	18874368
51.8	session_temp_tablespace:175	81920	81920
72.4	memory/temptable/physical_disk	0	0
72.4	memory/temptable/physical_ram	4194432	101712864
72.4	session_temp_tablespace:143	18874368	18874368
72.4	session_temp_tablespace:156	18874368	18874368
72.4	session_temp_tablespace:161	18874368	18874368
72.4	session_temp_tablespace:173	18874368	18874368
72.4	session_temp_tablespace:177	81920	81920
84.2	memory/temptable/physical_disk	0	0
84.2	memory/temptable/physical_ram	4194432	101712864
84.2	session_temp_tablespace:143	18874368	18874368
84.2	session_temp_tablespace:156	18874368	18874368
84.2	session_temp_tablespace:161	18874368	18874368
84.2	session_temp_tablespace:173	18874368	18874368
84.2	session_temp_tablespace:179	81920	81920
96.0	memory/temptable/physical_disk	0	0
96.0	memory/temptable/physical_ram	4194432	101712864
96.0	session_temp_tablespace:143	18874368	18874368
96.0	session_temp_tablespace:156	18874368	18874368
96.0	session_temp_tablespace:161	18874368	18874368
96.0	session_temp_tablespace:173	18874368	18874368
96.0	session_temp_tablespace:181	81920	81920
108.7	memory/temptable/physical_disk	0	0
108.7	memory/temptable/physical_ram	4194432	101712864
108.7	session_temp_tablespace:143	18874368	18874368
108.7	session_temp_tablespace:156	18874368	18874368
108.7	session_temp_tablespace:161	18874368	18874368
108.7	session_temp_tablespace:173	18874368	18874368
108.7	session_temp_tablespace:183	81920	81920
116.9	memory/temptable/physical_disk	0	0
116.9	memory/temptable/physical_ram	4194432	101712864
116.9	session_temp_tablespace:143	18874368	18874368
116.9	session_temp_tablespace:156	18874368	18874368
116.9	session_temp_tablespace:161	18874368	18874368
116.9	session_temp_tablespace:173	18874368	18874368
116.9	session_temp_tablespace:185	81920	81920
124.3	memory/temptable/physical_disk	0	0
124.3	memory/temptable/physical_ram	3145824	101712864
124.3	session_temp_tablespace:156	18874368	18874368
124.3	session_temp_tablespace:161	18874368	18874368
124.3	session_temp_tablespace:173	18874368	18874368
124.3	session_temp_tablespace:187	81920	81920
131.3	memory/temptable/physical_disk	0	0
131.3	memory/temptable/physical_ram	3145824	101712864
131.3	session_temp_tablespace:156	18874368	18874368
131.3	session_temp_tablespace:161	18874368	18874368
131.3	session_temp_tablespace:173	18874368	18874368
131.3	session_temp_tablespace:188	81920	81920
136.9	memory/temptable/physical_disk	0	0
136.9	memory/temptable/physical_ram	2097216	101712864
136.9	session_temp_tablespace:156	18874368	18874368
136.9	session_temp_tablespace:173	18874368	18874368
136.9	session_temp_tablespace:190	81920	81920
142.4	memory/temptable/physical_disk	0	0
142.4	memory/temptable/physical_ram	1048608	101712864
142.4	session_temp_tablespace:173	18874368	18874368
142.4	session_temp_tablespace:191	81920	81920
148.5	memory/temptable/physical_disk	0	0
148.5	memory/temptable/physical_ram	1048608	101712864
148.5	session_temp_tablespace:173	18874368	18874368
148.5	session_temp_tablespace:193	81920	81920
