t	event	current_bytes	high_bytes
1.4	memory/temptable/physical_disk	0	0
1.4	memory/temptable/physical_ram	1048608	17825984
1.4	session_temp_tablespace:32	18874368	18874368
1.4	session_temp_tablespace:34	81920	81920
11.9	memory/temptable/physical_disk	0	0
11.9	memory/temptable/physical_ram	1048608	17825984
11.9	session_temp_tablespace:32	18874368	18874368
11.9	session_temp_tablespace:37	81920	81920
22.7	memory/temptable/physical_disk	0	0
22.7	memory/temptable/physical_ram	1048608	17825984
22.7	session_temp_tablespace:32	18874368	18874368
22.7	session_temp_tablespace:38	81920	81920
33.0	memory/temptable/physical_disk	0	0
33.0	memory/temptable/physical_ram	1048608	17825984
33.0	session_temp_tablespace:32	18874368	18874368
33.0	session_temp_tablespace:41	81920	81920
44.2	memory/temptable/physical_disk	0	0
44.2	memory/temptable/physical_ram	1048608	17825984
44.2	session_temp_tablespace:32	18874368	18874368
44.2	session_temp_tablespace:43	81920	81920
55.8	memory/temptable/physical_disk	0	0
55.8	memory/temptable/physical_ram	1048608	17825984
55.8	session_temp_tablespace:32	18874368	18874368
55.8	session_temp_tablespace:45	81920	81920
