t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.9	283	2226.4	0.082	0
2.0	346	2226.4	0.110	0
2.1	371	2226.4	0.122	0
2.1	445	2226.4	0.155	0
2.1	486	2226.4	0.173	0
2.1	501	2226.4	0.180	0
2.4	755	2226.4	0.294	0
2.5	1069	2226.4	0.435	0
2.5	1078	2226.4	0.439	0
2.7	809	2226.4	0.318	0
2.7	817	2226.4	0.322	0
2.7	829	2226.4	0.327	0
2.8	941	2226.4	0.378	0
2.8	1035	2226.4	0.420	0
2.9	893	2226.4	0.356	0
2.9	896	2226.4	0.358	0
2.9	897	2226.4	0.358	0
3.0	887	2226.4	0.353	0
3.0	951	2226.4	0.382	0
3.3	902	2226.4	0.360	0
3.3	898	2226.4	0.358	0
3.3	910	2226.4	0.364	0
3.3	913	2226.4	0.365	0
3.3	957	2226.4	0.385	0
3.4	1020	2226.4	0.413	0
3.6	946	2226.4	0.380	0
3.6	936	2226.4	0.375	0
3.9	1177	2226.4	0.484	0
3.9	1171	2226.4	0.481	0
4.0	1189	2226.4	0.489	0
4.0	1257	2226.4	0.520	0
4.1	868	2226.4	0.345	0
4.2	925	2226.4	0.371	0
4.6	1127	2226.4	0.461	0
4.6	1132	2226.4	0.464	0
4.6	1206	2226.4	0.497	0
4.7	1243	2226.4	0.513	0
4.9	1133	2226.4	0.464	0
4.9	1106	2226.4	0.452	0
4.9	1103	2226.4	0.451	0
4.9	1138	2226.4	0.466	0
5.0	1209	2226.4	0.498	0
5.2	1119	2226.4	0.458	0
5.2	1089	2226.4	0.444	0
5.2	1087	2226.4	0.443	0
5.3	1193	2226.4	0.491	0
5.3	1362	2226.4	0.567	0
5.4	1133	2226.4	0.464	0
5.5	1083	2226.4	0.442	0
5.5	1081	2226.4	0.441	0
5.5	1239	2226.4	0.512	0
5.5	1419	2226.4	0.592	0
5.8	1140	2226.4	0.467	0
5.8	1100	2226.4	0.449	0
5.8	1095	2226.4	0.447	0
5.8	1040	2226.4	0.422	0
5.8	1066	2226.4	0.434	0
6.2	1122	2226.4	0.459	0
6.2	1090	2226.4	0.445	0
6.4	1262	2226.4	0.522	0
6.4	1273	2226.4	0.527	0
6.4	1287	2226.4	0.533	0
6.5	1470	2226.4	0.615	0
6.5	1205	2226.4	0.496	0
6.6	1043	2226.4	0.424	0
6.6	1045	2226.4	0.424	0
6.6	1038	2226.4	0.421	0
6.6	1128	2226.4	0.462	0
6.8	1027	2226.4	0.416	0
6.8	939	2226.4	0.377	0
6.8	942	2226.4	0.378	0
6.9	672	2226.4	0.257	0
6.9	738	2226.4	0.287	0
7.1	598	2226.4	0.224	0
7.1	578	2226.4	0.215	0
7.1	578	2226.4	0.215	0
7.2	490	2226.4	0.175	0
7.2	541	2226.4	0.198	0
7.3	490	2226.4	0.175	0
7.3	430	2226.4	0.148	0
7.3	432	2226.4	0.149	0
7.4	820	2226.4	0.323	0
7.4	980	2226.4	0.395	0
7.5	475	2226.4	0.168	0
7.5	484	2226.4	0.172	0
7.5	485	2226.4	0.173	0
7.6	796	2226.4	0.313	0
7.6	849	2226.4	0.336	0
7.7	383	2226.4	0.127	0
7.8	400	2226.4	0.135	0
7.8	393	2226.4	0.132	0
7.8	781	2226.4	0.306	0
7.8	937	2226.4	0.376	0
7.9	479	2226.4	0.170	0
7.9	468	2226.4	0.165	0
8.0	491	2226.4	0.176	0
8.0	498	2226.4	0.179	0
8.0	694	2226.4	0.267	0
8.0	984	2226.4	0.397	0
8.3	700	2226.4	0.269	0
8.3	694	2226.4	0.267	0
8.3	695	2226.4	0.267	0
8.3	821	2226.4	0.324	0
8.3	861	2226.4	0.342	0
8.6	734	2226.4	0.285	0
8.6	672	2226.4	0.257	0
8.7	709	2226.4	0.274	0
8.8	999	2226.4	0.404	0
8.8	1168	2226.4	0.480	0
9.0	658	2226.4	0.251	0
9.0	624	2226.4	0.235	0
9.0	822	2226.4	0.324	0
9.0	828	2226.4	0.327	0
9.1	814	2226.4	0.321	0
9.1	935	2226.4	0.375	0
9.4	928	2226.4	0.372	0
9.4	888	2226.4	0.354	0
9.5	938	2226.4	0.376	0
9.5	946	2226.4	0.380	0
9.5	1215	2226.4	0.501	0
9.5	1338	2226.4	0.556	0
9.9	1100	2226.4	0.449	0
9.9	1065	2226.4	0.433	0
9.9	1068	2226.4	0.435	0
10.3	1664	2226.4	0.702	0
10.3	1742	2226.4	0.738	0
10.5	1050	2226.4	0.427	0
10.5	1017	2226.4	0.412	0
10.5	1020	2226.4	0.413	0
10.6	1092	2226.4	0.446	0
10.6	1186	2226.4	0.488	0
10.7	1039	2226.4	0.422	0
10.7	1012	2226.4	0.410	0
10.8	1041	2226.4	0.423	0
10.8	1053	2226.4	0.428	0
10.9	1101	2226.4	0.450	0
11.0	1034	2226.4	0.420	0
11.0	1023	2226.4	0.415	0
11.0	1025	2226.4	0.415	0
11.0	1112	2226.4	0.455	0
11.1	1203	2226.4	0.495	0
11.3	1043	2226.4	0.424	0
11.3	1019	2226.4	0.413	0
11.3	1027	2226.4	0.416	0
11.4	1046	2226.4	0.425	0
11.4	1103	2226.4	0.451	0
11.6	1107	2226.4	0.452	0
11.6	1118	2226.4	0.457	0
11.6	1119	2226.4	0.458	0
11.7	1093	2226.4	0.446	0
11.8	1205	2226.4	0.496	0
12.2	1047	2226.4	0.425	0
12.3	1012	2226.4	0.410	0
12.3	1020	2226.4	0.413	0
12.3	751	2226.4	0.292	0
12.3	814	2226.4	0.321	0
12.5	678	2226.4	0.260	0
12.5	634	2226.4	0.240	0
12.5	648	2226.4	0.246	0
12.5	847	2226.4	0.336	0
12.6	954	2226.4	0.384	0
12.7	505	2226.4	0.182	0
12.8	400	2226.4	0.135	0
13.0	525	2226.4	0.191	0
13.0	521	2226.4	0.189	0
13.0	700	2226.4	0.269	0
13.1	762	2226.4	0.297	0
13.3	677	2226.4	0.259	0
13.3	634	2226.4	0.240	0
13.3	641	2226.4	0.243	0
13.4	829	2226.4	0.327	0
13.4	932	2226.4	0.374	0
13.7	756	2226.4	0.295	0
13.7	750	2226.4	0.292	0
13.7	746	2226.4	0.290	0
13.8	820	2226.4	0.323	0
13.8	899	2226.4	0.359	0
14.1	680	2226.4	0.261	0
14.1	630	2226.4	0.238	0
14.3	776	2226.4	0.304	0
14.3	782	2226.4	0.306	0
14.3	902	2226.4	0.360	0
14.4	1080	2226.4	0.440	0
14.5	699	2226.4	0.269	0
14.6	649	2226.4	0.247	0
14.6	669	2226.4	0.256	0
14.6	583	2226.4	0.217	0
14.7	664	2226.4	0.253	0
14.9	503	2226.4	0.181	0
14.9	426	2226.4	0.146	0
14.9	430	2226.4	0.148	0
15.0	600	2226.4	0.225	0
15.0	702	2226.4	0.270	0
15.2	413	2226.4	0.141	0
15.2	387	2226.4	0.129	0
15.2	382	2226.4	0.127	0
15.2	483	2226.4	0.172	0
15.2	600	2226.4	0.225	0
15.5	410	2226.4	0.139	0
15.5	357	2226.4	0.115	0
15.6	404	2226.4	0.137	0
15.6	450	2226.4	0.157	0
15.6	508	2226.4	0.183	0
15.8	365	2226.4	0.119	0
15.9	331	2226.4	0.104	0
15.9	333	2226.4	0.105	0
15.9	560	2226.4	0.207	0
15.9	695	2226.4	0.267	0
16.1	373	2226.4	0.123	0
16.1	350	2226.4	0.112	0
16.1	352	2226.4	0.113	0
16.1	456	2226.4	0.160	0
16.1	530	2226.4	0.193	0
16.3	339	2226.4	0.107	0
16.3	322	2226.4	0.100	0
16.3	322	2226.4	0.100	0
16.4	582	2226.4	0.216	0
16.4	793	2226.4	0.311	0
16.5	378	2226.4	0.125	0
16.5	364	2226.4	0.119	0
16.5	367	2226.4	0.120	0
16.5	467	2226.4	0.165	0
16.5	543	2226.4	0.199	0
16.7	380	2226.4	0.126	0
16.7	344	2226.4	0.110	0
16.8	348	2226.4	0.111	0
16.9	490	2226.4	0.175	0
16.9	570	2226.4	0.211	0
17.1	406	2226.4	0.137	0
17.1	341	2226.4	0.108	0
17.1	341	2226.4	0.108	0
17.1	531	2226.4	0.194	0
17.1	587	2226.4	0.219	0
17.3	362	2226.4	0.118	0
17.3	348	2226.4	0.111	0
17.3	360	2226.4	0.117	0
17.3	498	2226.4	0.179	0
17.3	598	2226.4	0.224	0
17.5	402	2226.4	0.136	0
17.5	362	2226.4	0.118	0
17.6	367	2226.4	0.120	0
17.6	425	2226.4	0.146	0
17.6	494	2226.4	0.177	0
17.8	337	2226.4	0.106	0
17.8	352	2226.4	0.113	0
17.8	359	2226.4	0.116	0
17.8	573	2226.4	0.212	0
17.8	661	2226.4	0.252	0
17.9	396	2226.4	0.133	0
17.9	368	2226.4	0.120	0
17.9	366	2226.4	0.119	0
18.0	510	2226.4	0.184	0
18.0	592	2226.4	0.221	0
18.1	398	2226.4	0.134	0
18.1	386	2226.4	0.128	0
18.3	459	2226.4	0.161	0
18.5	506	2226.4	0.182	0
18.6	566	2226.4	0.209	0
18.6	638	2226.4	0.242	0
18.7	356	2226.4	0.115	0
18.7	323	2226.4	0.100	0
19.0	382	2226.4	0.127	0
19.0	378	2226.4	0.125	0
19.0	504	2226.4	0.181	0
19.0	595	2226.4	0.222	0
19.2	340	2226.4	0.108	0
19.2	301	2226.4	0.090	0
19.5	389	2226.4	0.130	0
19.5	383	2226.4	0.127	0
19.5	629	2226.4	0.238	0
19.6	688	2226.4	0.264	0
19.7	306	2226.4	0.093	0
19.7	294	2226.4	0.087	0
20.2	392	2226.4	0.131	0
20.3	429	2226.4	0.148	0
20.3	561	2226.4	0.207	0
20.3	633	2226.4	0.239	0
20.4	416	2226.4	0.142	0
