t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
0.7	234	511.0	0.260	0
0.7	285	511.0	0.360	0
0.8	271	511.0	0.333	0
0.8	307	511.0	0.403	0
0.8	331	511.0	0.450	0
0.8	408	511.0	0.601	0
0.9	320	511.0	0.429	0
1.0	397	511.0	0.579	0
1.0	428	511.0	0.640	0
1.1	151	511.0	0.098	0
1.2	186	511.0	0.166	0
1.4	232	511.0	0.256	0
1.6	255	511.0	0.301	0
1.6	334	511.0	0.456	0
1.6	334	511.0	0.456	0
2.0	124	511.0	0.045	0
2.3	227	511.0	0.247	0
2.5	130	511.0	0.057	0
2.5	238	511.0	0.268	0
2.6	148	511.0	0.092	0
2.6	246	511.0	0.284	0
2.8	152	511.0	0.100	0
2.8	250	511.0	0.292	0
2.9	154	511.0	0.104	0
2.9	250	511.0	0.292	0
3.1	154	511.0	0.104	0
3.2	124	511.0	0.045	0
3.3	276	511.0	0.342	0
3.4	220	511.0	0.233	0
3.5	141	511.0	0.078	0
3.5	259	511.0	0.309	0
3.6	165	511.0	0.125	0
3.7	221	511.0	0.235	0
3.7	249	511.0	0.290	0
3.8	171	511.0	0.137	0
3.8	291	511.0	0.372	0
4.0	187	511.0	0.168	0
4.0	299	511.0	0.387	0
4.1	145	511.0	0.086	0
4.1	273	511.0	0.337	0
4.2	147	511.0	0.090	0
4.3	237	511.0	0.266	0
4.3	225	511.0	0.243	0
4.4	187	511.0	0.168	0
4.4	297	511.0	0.384	0
4.5	147	511.0	0.090	0
4.6	279	511.0	0.348	0
4.7	145	511.0	0.086	0
4.7	267	511.0	0.325	0
4.8	145	511.0	0.086	0
4.9	229	511.0	0.250	0
4.9	217	511.0	0.227	0
5.0	203	511.0	0.200	0
5.0	311	511.0	0.411	0
5.1	191	511.0	0.176	0
5.2	299	511.0	0.387	0
5.3	141	511.0	0.078	0
5.4	143	511.0	0.082	0
5.6	141	511.0	0.078	0
5.8	143	511.0	0.082	0
6.0	141	511.0	0.078	0
6.1	143	511.0	0.082	0
6.4	141	511.0	0.078	0
6.5	143	511.0	0.082	0
6.8	143	511.0	0.082	0
6.9	141	511.0	0.078	0
7.1	143	511.0	0.082	0
7.3	141	511.0	0.078	0
7.5	143	511.0	0.082	0
7.7	141	511.0	0.078	0
7.9	143	511.0	0.082	0
8.1	139	511.0	0.074	0
8.2	145	511.0	0.086	0
8.4	139	511.0	0.074	0
8.5	145	511.0	0.086	0
8.8	141	511.0	0.078	0
9.0	143	511.0	0.082	0
9.3	141	511.0	0.078	0
9.4	139	511.0	0.074	0
9.7	141	511.0	0.078	0
9.8	139	511.0	0.074	0
10.0	145	511.0	0.086	0
10.2	141	511.0	0.078	0
10.4	143	511.0	0.082	0
