t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.1	119	416.4	0.046	0
1.5	117	416.4	0.041	0
1.8	117	416.4	0.041	0
2.2	120	416.4	0.048	0
2.6	118	416.4	0.043	0
3.0	119	416.4	0.046	0
3.4	120	416.4	0.048	0
3.8	123	416.4	0.055	0
4.0	121	416.4	0.050	0
4.3	123	416.4	0.055	0
4.6	122	416.4	0.053	0
4.8	120	416.4	0.048	0
5.1	119	416.4	0.046	0
5.4	118	416.4	0.043	0
5.6	122	416.4	0.053	0
5.9	123	416.4	0.055	0
6.2	117	416.4	0.041	0
6.4	120	416.4	0.048	0
6.8	123	416.4	0.055	0
7.1	119	416.4	0.046	0
7.3	120	416.4	0.048	0
7.6	123	416.4	0.055	0
7.9	121	416.4	0.050	0
8.1	121	416.4	0.050	0
8.4	122	416.4	0.053	0
8.8	121	416.4	0.050	0
9.0	120	416.4	0.048	0
9.3	120	416.4	0.048	0
9.6	122	416.4	0.053	0
9.8	121	416.4	0.050	0
10.1	122	416.4	0.053	0
10.4	121	416.4	0.050	0
10.6	120	416.4	0.048	0
10.9	120	416.4	0.048	0
11.3	119	416.4	0.046	0
11.4	123	416.4	0.055	0
11.7	121	416.4	0.050	0
12.0	118	416.4	0.043	0
12.2	120	416.4	0.048	0
12.5	123	416.4	0.055	0
12.7	117	416.4	0.041	0
13.0	119	416.4	0.046	0
13.3	120	416.4	0.048	0
13.5	117	416.4	0.041	0
13.8	121	416.4	0.050	0
14.1	124	416.4	0.058	0
14.3	117	416.4	0.041	0
14.5	122	416.4	0.053	0
14.8	124	416.4	0.058	0
15.0	121	416.4	0.050	0
15.3	122	416.4	0.053	0
15.6	120	416.4	0.048	0
15.8	122	416.4	0.053	0
16.1	119	416.4	0.046	0
16.4	123	416.4	0.055	0
16.6	120	416.4	0.048	0
16.9	120	416.4	0.048	0
17.1	120	416.4	0.048	0
17.3	120	416.4	0.048	0
17.6	121	416.4	0.050	0
17.9	119	416.4	0.046	0
18.1	122	416.4	0.053	0
18.4	123	416.4	0.055	0
18.7	118	416.4	0.043	0
18.9	123	416.4	0.055	0
19.2	120	416.4	0.048	0
19.4	117	416.4	0.041	0
19.7	123	416.4	0.055	0
20.0	124	416.4	0.058	0
20.2	117	416.4	0.041	0
20.4	120	416.4	0.048	0
20.7	122	416.4	0.053	0
20.9	117	416.4	0.041	0
21.2	122	416.4	0.053	0
21.5	123	416.4	0.055	0
21.8	118	416.4	0.043	0
22.0	123	416.4	0.055	0
22.3	119	416.4	0.046	0
22.5	122	416.4	0.053	0
22.8	121	416.4	0.050	0
23.1	123	416.4	0.055	0
23.3	121	416.4	0.050	0
23.6	123	416.4	0.055	0
23.9	120	416.4	0.048	0
24.0	120	416.4	0.048	0
24.4	122	416.4	0.053	0
24.7	120	416.4	0.048	0
24.9	120	416.4	0.048	0
25.2	124	416.4	0.058	0
25.6	118	416.4	0.043	0
26.4	117	416.4	0.041	0
27.2	117	416.4	0.041	0
28.0	117	416.4	0.041	0
28.8	117	416.4	0.041	0
29.7	117	416.4	0.041	0
30.4	117	416.4	0.041	0
31.3	117	416.4	0.041	0
32.1	116	416.4	0.038	0
33.1	116	416.4	0.038	0
33.9	116	416.4	0.038	0
34.7	116	416.4	0.038	0
35.6	116	416.4	0.038	0
36.4	116	416.4	0.038	0
37.2	116	416.4	0.038	0
37.9	116	416.4	0.038	0
38.7	116	416.4	0.038	0
39.5	116	416.4	0.038	0
40.4	116	416.4	0.038	0
41.1	116	416.4	0.038	0
41.9	116	416.4	0.038	0
42.8	116	416.4	0.038	0
43.6	116	416.4	0.038	0
44.3	116	416.4	0.038	0
45.1	116	416.4	0.038	0
45.8	117	416.4	0.041	0
46.7	116	416.4	0.038	0
47.5	116	416.4	0.038	0
48.2	116	416.4	0.038	0
49.0	116	416.4	0.038	0
49.7	116	416.4	0.038	0
50.5	117	416.4	0.041	0
51.3	116	416.4	0.038	0
52.1	117	416.4	0.041	0
53.0	116	416.4	0.038	0
53.8	116	416.4	0.038	0
54.7	117	416.4	0.041	0
55.6	116	416.4	0.038	0
56.4	116	416.4	0.038	0
57.1	116	416.4	0.038	0
57.9	117	416.4	0.041	0
58.7	117	416.4	0.041	0
59.5	116	416.4	0.038	0
60.3	116	416.4	0.038	0
61.0	117	416.4	0.041	0
61.8	117	416.4	0.041	0
62.6	117	416.4	0.041	0
