t	post_gc_MiB	sum_R_MiB	excess_over_R	full_gc
1.3	123	433.0	0.051	0
1.8	122	433.0	0.048	0
2.5	121	433.0	0.046	0
3.1	117	433.0	0.037	0
3.7	130	433.0	0.067	0
4.1	125	433.0	0.055	0
4.4	119	433.0	0.042	0
4.7	126	433.0	0.058	0
5.1	130	433.0	0.067	0
5.4	130	433.0	0.067	0
5.8	131	433.0	0.069	0
6.2	128	433.0	0.062	0
6.5	129	433.0	0.065	0
6.9	132	433.0	0.072	0
7.2	122	433.0	0.048	0
7.5	124	433.0	0.053	0
7.8	131	433.0	0.069	0
8.2	131	433.0	0.069	0
8.6	132	433.0	0.072	0
8.9	130	433.0	0.067	0
9.3	131	433.0	0.069	0
9.7	131	433.0	0.069	0
10.0	129	433.0	0.065	0
10.4	120	433.0	0.044	0
10.7	118	433.0	0.039	0
11.0	125	433.0	0.055	0
11.4	129	433.0	0.065	0
11.7	128	433.0	0.062	0
12.1	131	433.0	0.069	0
12.4	130	433.0	0.067	0
12.8	127	433.0	0.060	0
13.2	130	433.0	0.067	0
13.5	131	433.0	0.069	0
13.9	124	433.0	0.053	0
14.2	115	433.0	0.032	0
14.5	122	433.0	0.048	0
14.9	127	433.0	0.060	0
15.3	120	433.0	0.044	0
16.1	120	433.0	0.044	0
16.9	121	433.0	0.046	0
17.8	122	433.0	0.048	0
18.7	119	433.0	0.042	0
