t	component	rss_MiB
1.4	connect	1174
1.4	kafka	866
1.4	schema-registry	164
1.4	mysql	321
1.4	postgres	251
12.5	connect	1210
12.5	kafka	868
12.5	schema-registry	165
12.5	mysql	321
12.5	postgres	399
23.4	connect	1215
23.4	kafka	866
23.4	schema-registry	166
23.4	mysql	321
23.4	postgres	399
34.9	connect	1223
34.9	kafka	866
34.9	schema-registry	167
34.9	mysql	321
34.9	postgres	399
45.8	connect	1224
45.8	kafka	871
45.8	schema-registry	168
45.8	mysql	321
45.8	postgres	400
57.0	connect	1224
57.0	kafka	868
57.0	schema-registry	169
57.0	mysql	322
57.0	postgres	401
