t	table	topic_end	pg_inserted
1.8	b_lob_1	0	0
1.8	b_narrow_1	0	0
1.8	b_narrow_2	0	0
1.8	b_narrow_3	0	0
1.8	b_narrow_4	0	0
1.8	b_wide_1	0	0
1.8	b_wide_2	0	0
1.8	b_wide_3	0	0
4.0	b_lob_1	0	0
4.0	b_narrow_1	0	0
4.0	b_narrow_2	0	0
4.0	b_narrow_3	0	0
4.0	b_narrow_4	0	0
4.0	b_wide_1	0	0
4.0	b_wide_2	0	0
4.0	b_wide_3	0	0
6.4	b_lob_1	31	34
6.4	b_narrow_1	0	0
6.4	b_narrow_2	0	0
6.4	b_narrow_3	0	0
6.4	b_narrow_4	0	0
6.4	b_wide_1	0	0
6.4	b_wide_2	0	0
6.4	b_wide_3	0	0
8.7	b_lob_1	323	179
8.7	b_narrow_1	0	0
8.7	b_narrow_2	0	0
8.7	b_narrow_3	0	0
8.7	b_narrow_4	7721	0
8.7	b_wide_1	0	0
8.7	b_wide_2	0	0
8.7	b_wide_3	0	0
11.2	b_lob_1	388	360
11.2	b_narrow_1	211256	65234
11.2	b_narrow_2	218638	72214
11.2	b_narrow_3	59816	58036
11.2	b_narrow_4	229244	71613
11.2	b_wide_1	1150	961
11.2	b_wide_2	528	378
11.2	b_wide_3	1221	1161
16.2	b_lob_1	484	451
16.2	b_narrow_1	404869	129234
16.2	b_narrow_2	444620	144214
16.2	b_narrow_3	186441	119570
16.2	b_narrow_4	439144	134613
16.2	b_wide_1	7822	8062
16.2	b_wide_2	2937	3056
16.2	b_wide_3	4816	4991
19.2	b_lob_1	538	501
19.2	b_narrow_1	515422	200734
19.2	b_narrow_2	571023	191163
19.2	b_narrow_3	296941	171381
19.2	b_narrow_4	553253	203613
19.2	b_wide_1	12979	13034
19.2	b_wide_2	6199	6241
19.2	b_wide_3	8751	8751
22.0	b_lob_1	538	531
22.0	b_narrow_1	570790	218390
22.0	b_narrow_2	629753	230663
22.0	b_narrow_3	355408	203381
22.0	b_narrow_4	607269	224113
22.0	b_wide_1	15250	15129
22.0	b_wide_2	7739	7655
22.0	b_wide_3	10581	10460
24.6	b_lob_1	538	531
24.6	b_narrow_1	583547	225890
24.6	b_narrow_2	641247	236663
24.6	b_narrow_3	368270	213381
24.6	b_narrow_4	619500	228568
24.6	b_wide_1	15701	15624
24.6	b_wide_2	8089	7991
24.6	b_wide_3	11087	10988
27.2	b_lob_1	538	531
27.2	b_narrow_1	594916	228890
27.2	b_narrow_2	653639	239663
27.2	b_narrow_3	379633	216381
27.2	b_narrow_4	628161	231568
27.2	b_wide_1	16020	15811
27.2	b_wide_2	8271	8278
27.2	b_wide_3	11384	11406
