t	table	topic_end	pg_inserted
1.3	b_narrow_1	0	0
3.3	b_narrow_1	0	0
5.3	b_narrow_1	417333	134021
7.4	b_narrow_1	1725993	392021
9.5	b_narrow_1	3236607	663249
11.5	b_narrow_1	4722405	943749
13.5	b_narrow_1	6187374	1224000
15.6	b_narrow_1	7660000	1505500
17.6	b_narrow_1	8000000	1825000
19.7	b_narrow_1	8000000	2140775
24.1	b_narrow_1	8000000	2798708
26.2	b_narrow_1	8000000	3120208
28.3	b_narrow_1	8000000	3440761
30.5	b_narrow_1	8000000	3919365
32.6	b_narrow_1	8000000	4241865
34.7	b_narrow_1	8000000	4560365
36.9	b_narrow_1	8000000	4884493
39.1	b_narrow_1	8000000	5205493
41.3	b_narrow_1	8000000	5487077
43.4	b_narrow_1	8000000	5939577
47.0	b_narrow_1	8000000	6354520
49.3	b_narrow_1	8000000	6662055
51.5	b_narrow_1	8000000	7087999
53.9	b_narrow_1	8000000	7355499
56.2	b_narrow_1	8000000	7651999
58.4	b_narrow_1	8000000	7966309
