t	table	topic_end	pg_inserted
1.4	b_narrow_1	0	0
3.4	b_narrow_1	0	0
5.4	b_narrow_1	560954	140830
7.5	b_narrow_1	2004820	403832
9.6	b_narrow_1	3411397	667832
11.7	b_narrow_1	4877562	936332
13.8	b_narrow_1	6368868	1210879
15.8	b_narrow_1	7908274	1469379
17.9	b_narrow_1	8000000	1770383
20.1	b_narrow_1	8000000	2083883
23.7	b_narrow_1	8000000	2659685
25.9	b_narrow_1	8000000	2972185
28.0	b_narrow_1	8000000	3287382
30.2	b_narrow_1	8000000	3593382
32.3	b_narrow_1	8000000	4030455
34.5	b_narrow_1	8000000	4331455
36.7	b_narrow_1	8000000	4640465
38.9	b_narrow_1	8000000	4967965
41.0	b_narrow_1	8000000	5286478
43.1	b_narrow_1	8000000	5604478
47.5	b_narrow_1	8000000	6389058
49.7	b_narrow_1	8000000	6709561
51.9	b_narrow_1	8000000	7024952
54.1	b_narrow_1	8000000	7321952
56.5	b_narrow_1	8000000	7774443
58.7	b_narrow_1	8000000	7930443
